CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1143,1,27,66,35,1,3,0,3,0,0,6,2,0,0,0,143,3,146,283
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1144,1,43,76,10,1,1,0,0,0,0,5,4,0,0,0,140,4,144,210
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1145,2,146,358,56,13,8,7,4,0,8,15,20,1,0,0,636,13,649,1050
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1146,2,119,260,36,4,10,4,29,1,3,0,3,0,0,0,469,17,486,873
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1147,3,294,503,148,9,4,13,27,1,2,3,4,3,0,0,1011,18,1029,1732
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1148,2,244,379,90,10,7,3,21,1,7,2,5,0,0,3,769,18,790,1472
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1149,2,187,429,38,2,2,1,10,1,11,6,1,0,0,0,688,4,692,1103
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1150,3,378,529,19,9,4,11,17,2,10,2,4,0,0,1,985,10,996,1663
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1151,2,276,403,107,8,5,6,9,1,9,1,3,0,0,0,828,10,838,1391
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1152,2,218,437,99,3,4,11,9,1,3,2,4,0,0,0,791,10,801,1381
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1153,2,192,315,100,2,0,0,1,0,1,0,1,0,0,4,612,4,620,896
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1154,1,38,74,11,0,0,0,0,0,0,1,1,0,0,0,125,3,128,189
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1155,2,353,623,32,0,2,6,1,2,1,5,4,2,1,0,1032,8,1040,1395
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1156,3,471,952,53,3,11,13,11,1,8,3,7,4,0,0,1537,18,1555,2113
