ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
26,SONORA,1,ACONCHI,2,5,867,790,14,4,4,27,35,1,2,22,13,19,1,0,1799,29,1828,2271,0.8049
26,SONORA,2,AGUA PRIETA,30,97,17431,6765,495,232,489,2229,395,120,101,813,107,401,7,7,29585,561,30153,60676,0.4970
26,SONORA,62,ALAMOS,29,41,5560,5958,70,78,47,95,111,17,4,166,155,20,6,1,12287,240,12528,18909,0.6625
26,SONORA,3,ALTAR,7,12,1417,1956,721,10,151,48,21,2,3,20,12,7,0,8,4368,63,4439,6217,0.7140
26,SONORA,4,ARIVECHI,3,4,448,543,6,2,2,1,12,0,2,11,4,2,0,0,1033,11,1044,1278,0.8169
26,SONORA,5,ARIZPE,5,7,948,993,260,6,5,11,2,1,0,82,18,33,2,0,2361,24,2385,2846,0.8380
26,SONORA,6,ATIL,1,1,291,299,1,2,0,0,3,1,9,1,2,2,0,0,611,13,624,740,0.8432
26,SONORA,7,BACADEHUACHI,1,2,335,443,5,14,2,53,2,3,1,10,4,17,0,0,889,22,911,1033,0.8819
26,SONORA,8,BACANORA,4,4,470,292,8,248,6,10,11,3,5,8,10,0,0,0,1071,13,1084,1605,0.6754
26,SONORA,9,BACERAC,2,2,473,336,125,5,1,9,0,0,2,16,0,0,0,0,967,11,978,1130,0.8655
26,SONORA,10,BACOACHI,2,3,291,499,162,2,6,7,4,1,0,39,8,20,0,0,1039,29,1068,1416,0.7542
26,SONORA,58,BACUM,13,30,2438,5087,1981,117,82,59,145,22,79,12,10,5,1,2,10038,204,10244,17328,0.5912
