ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,153,350,18611,8130,2023,2270,26418,2073,1410,1306,12974,1281,2130,1406,0,0,0,0,0,0,0,0,0,0,0,0,253,80032,5742,86027,206695,0.4162
7,CHIAPAS,2,TUXTLA GUTIERREZ PONIENTE,79,317,26064,11848,1508,1457,18773,1633,867,901,9930,790,1554,1169,3021,98,42,72,7,28,1384,14,24,36,44,11,165,81275,4120,85560,202230,0.4231
7,CHIAPAS,3,CHIAPA DE CORZO,69,206,3570,17705,1034,2078,24804,1190,1271,9230,9823,517,747,9186,0,0,0,0,0,0,0,0,0,0,0,0,94,81155,3508,84757,121872,0.6955
7,CHIAPAS,4,VENUSTIANO CARRANZA,44,128,490,10298,3279,3017,17913,2660,439,3161,2141,325,157,3036,0,0,0,0,0,0,0,0,0,0,0,0,10,46916,3174,50100,73794,0.6789
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,62,240,4044,7957,5318,1494,21001,1470,743,3335,11250,1263,2690,9085,0,0,0,0,0,0,0,0,0,0,0,0,86,69650,5800,75536,144014,0.5245
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,109,306,1333,31259,1764,1479,46901,566,835,3320,5327,496,623,18698,0,0,0,0,0,0,0,0,0,0,0,0,112,112601,6512,119225,178462,0.6681
7,CHIAPAS,7,OCOSINGO,119,446,8149,29990,1861,1918,54619,9761,1504,6920,9211,929,418,12758,0,0,0,0,0,0,0,0,0,0,0,0,19,138038,8792,146849,230399,0.6374
7,CHIAPAS,8,YAJALON,57,192,816,9392,8321,1706,37619,682,607,3676,7175,497,0,6174,0,0,0,0,0,0,0,0,0,0,0,0,513,76665,4426,81604,104890,0.778
7,CHIAPAS,9,PALENQUE,70,236,3419,3077,1755,4518,19112,1331,1363,8939,5176,689,161,7340,0,0,0,0,0,0,0,0,0,0,0,0,10,56880,2924,59814,132404,0.4518
7,CHIAPAS,10,BOCHIL,46,150,1269,22797,3220,1090,19803,1149,445,2181,3471,211,186,4209,0,0,0,0,0,0,0,0,0,0,0,0,4,60031,2953,62988,76842,0.8197
7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,31,94,2716,5632,7558,1120,9887,925,210,1040,3004,156,164,8137,0,0,0,0,0,0,0,0,0,0,0,0,8,40549,2893,43450,50207,0.8654
7,CHIAPAS,12,PICHUCALCO,88,227,2232,16635,5772,1903,34569,1328,3113,3195,3375,376,783,8283,0,0,0,0,0,0,0,0,0,0,0,0,36,81564,3834,85434,117654,0.7261
7,CHIAPAS,13,COPAINALA,69,172,3378,14226,3768,1971,21577,1497,1144,2801,7409,546,338,7278,0,0,0,0,0,0,0,0,0,0,0,0,31,65933,4103,70067,88950,0.7877
7,CHIAPAS,14,CINTALAPA,104,296,4713,17063,5498,1933,30263,7859,3138,16421,7678,1091,1947,10443,0,0,0,0,0,0,0,0,0,0,0,0,77,108047,5263,113387,170086,0.6666
7,CHIAPAS,15,TONALA,116,300,7688,16387,4057,4805,26159,3164,3477,10363,6838,1213,327,8041,0,0,0,0,0,0,0,0,0,0,0,0,18,92519,3768,96305,158604,0.6072
7,CHIAPAS,16,HUIXTLA,121,318,4829,14935,7930,5219,26235,1586,1647,19631,14059,1016,738,8138,0,0,0,0,0,0,0,0,0,0,0,0,45,105963,5612,111620,169920,0.6569
7,CHIAPAS,17,MOTOZINTLA,134,367,1485,15627,7435,3555,23010,1504,527,16435,3591,632,142,1103,0,0,0,0,0,0,0,0,0,0,0,0,19,75046,5188,80253,194184,0.4133
7,CHIAPAS,18,TAPACHULA NORTE,69,159,2424,7155,1121,1601,8116,708,400,1408,10639,544,449,2198,0,0,0,0,0,0,0,0,0,0,0,0,25,36763,2345,39133,85828,0.4559
