ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA NOMINAL,PARTICIPACION
7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,153,350,18064,7939,1974,2020,25735,1956,1340,1223,12635,1221,2066,1354,0,253,77527,5526,83053,206695,0.4018
7,CHIAPAS,2,TUXTLA GUTIERREZ PONIENTE,79,317,26064,12624,1508,1457,19579,1633,946,1000,9930,790,1554,1169,3021,165,81275,4120,85395,202230,0.4223
7,CHIAPAS,3,CHIAPA DE CORZO,69,206,3531,17708,1035,2079,24910,1191,1269,9210,9853,519,725,9200,0,94,81230,3510,84740,121872,0.6953
7,CHIAPAS,4,VENUSTIANO CARRANZA,44,128,490,11421,3279,3024,18100,2528,481,3203,2156,313,160,3020,0,10,48175,3200,51375,73794,0.6962
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,62,240,4044,8035,5318,1494,21146,1465,770,3369,11254,1257,2700,9080,0,86,69932,5809,75741,144014,0.5259
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,109,306,1278,31635,1661,1490,47406,561,813,3303,5312,513,564,18863,0,112,113399,6554,119953,178462,0.6721
7,CHIAPAS,7,OCOSINGO,119,446,8043,29889,1847,1902,54857,9737,1535,6927,9273,781,412,12786,0,19,137989,8501,146490,230399,0.6358
7,CHIAPAS,8,YAJALON,57,192,764,9567,8535,1688,38058,676,586,3597,7216,506,0,6172,0,513,77365,4170,81535,104890,0.7773
7,CHIAPAS,9,PALENQUE,70,236,3430,3099,1176,4481,16226,1345,1358,8986,5228,700,166,7388,0,10,53583,2940,56523,132404,0.4269
7,CHIAPAS,10,BOCHIL,46,150,1268,22715,3082,1106,19627,1216,492,2248,3588,218,188,4230,0,4,59978,2923,62901,76842,0.8186
7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,31,94,2716,5684,7562,1121,9887,925,210,967,3004,141,94,8187,0,8,40498,2901,43399,50207,0.8644
7,CHIAPAS,12,PICHUCALCO,88,227,2229,16873,5797,1811,35008,1349,3148,3235,3414,381,796,8442,0,36,82483,3987,86470,117654,0.735
7,CHIAPAS,13,COPAINALA,69,172,3367,14258,3750,1971,21585,1496,1146,2799,7411,546,239,7358,0,31,65926,4101,70027,88950,0.7873
7,CHIAPAS,14,CINTALAPA,104,296,4703,17063,5498,1905,30257,7859,3157,16432,7672,1091,1945,10461,0,77,108043,5266,113309,170086,0.6662
7,CHIAPAS,15,TONALA,116,300,7689,16412,4069,4854,26055,3251,3559,10410,6862,1210,323,8134,0,18,92828,3717,96545,158604,0.6087
7,CHIAPAS,16,HUIXTLA,121,318,4923,15164,7670,5321,26511,1612,1718,19778,14154,1018,702,8254,0,45,106825,5637,112462,169920,0.6619
7,CHIAPAS,17,MOTOZINTLA,134,367,1472,28206,6687,5828,37662,2550,799,16653,4885,672,264,2482,0,19,108160,7914,116074,194184,0.5978
7,CHIAPAS,18,TAPACHULA NORTE,69,159,2386,7245,1140,1671,8469,708,470,1448,10641,551,447,2204,0,25,37380,2348,39728,85828,0.4629
7,CHIAPAS,19,TAPACHULA SUR,103,244,3381,13295,1034,889,14914,1052,842,2041,15975,950,544,3310,0,62,58227,2447,60674,132975,0.4563
7,CHIAPAS,20,LAS MARGARITAS,63,219,277,3561,12019,617,33772,615,665,13890,896,392,59,3371,0,18,70134,6141,76275,110274,0.6917
7,CHIAPAS,21,TENEJAPA,61,193,514,19787,9451,462,26551,367,0,2757,2654,327,402,1279,0,296,64551,9334,73885,94106,0.7851
7,CHIAPAS,22,CHAMULA,103,296,400,45225,6070,3350,44585,279,676,8687,1338,139,2881,44,0,35,113674,4490,118164,149383,0.791
7,CHIAPAS,23,VILLAFLORES,116,313,3242,16228,8567,4261,32431,2016,1848,15866,9934,1103,1334,17408,0,36,114238,4953,119191,174738,0.6821
7,CHIAPAS,24,CACAHOATAN,77,189,7353,14702,3931,1838,19398,2040,508,2657,8208,785,336,8119,0,13,69875,3297,73172,103586,0.7064
