"source_file","district","municipality","# iddistritolocal","nombredistrito","idmunicipio","nombremunicipio","seccion","numcasilla","tipocasilla","ex_contigua","PAN","PRI","PRD","PT","PVEM","MC","MORENA","PNAH","PAN_PRI_PRD","MORENA_PNAH","CI_01","CI_02","CNR","VN","TOTAL"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","291","1","C","0","16","171","28","24",NA,"4",NA,NA,NA,"158",NA,NA,"3","12","416"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","292","1","B","0","20","128","32","20",NA,"2",NA,NA,NA,"139",NA,NA,"2","8","351"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","292","1","C","0","11","109","25","40",NA,"3",NA,NA,NA,"161",NA,NA,"5","13","367"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","292","2","C","0","12","106","35","36",NA,"5",NA,NA,NA,"143",NA,NA,"1","12","350"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","293","1","B","0","18","60","29","6",NA,"3",NA,NA,NA,"81",NA,NA,"5","10","212"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","294","1","B","0","100","39","30","9",NA,"5",NA,NA,NA,"120",NA,NA,"0","18","321"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","295","1","B","0","16","73","12","9",NA,"3",NA,NA,NA,"60",NA,NA,"0","9","182"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","297","1","B","0","17","85","42","27",NA,"6",NA,NA,NA,"176",NA,NA,"0","32","385"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","299","1","B","0","0","55","17","2",NA,"3",NA,NA,NA,"41",NA,NA,"1","6","125"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","302","1","B","0","23","161","65","12",NA,"3",NA,NA,NA,"118",NA,NA,"2","11","395"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","303","1","B","0","10","57","2","0",NA,"3",NA,NA,NA,"49",NA,NA,"1","6","128"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","305","1","B","0","39","82","25","12",NA,"7",NA,NA,NA,"185",NA,NA,"3","28","381"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","306","1","B","0","4","60","28","4",NA,"2",NA,NA,NA,"39",NA,NA,"0","5","142"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","307","1","B","0","9","205","4","11",NA,"5",NA,NA,NA,"143",NA,NA,"0","25","402"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","308","1","B","0","7","128","42","4",NA,"6",NA,NA,NA,"167",NA,NA,"0","18","372"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","309","1","B","0","6","197","77","5",NA,"8",NA,NA,NA,"162",NA,NA,"1","19","475"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","309","1","C","0","5","204","96","5",NA,"7",NA,NA,NA,"158",NA,NA,"8","22","505"
