ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PRI_PVEM_NA_CP,PVEM_NA,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,AHUALULCO,14,27,,2039,2423,118,1215,603,,238,345,19,2293,,,,,,,,,,,,,26,33,1,5,,,,,,,,,,,,,9358,0,384,9742,14228,
24,SAN LUIS POTOSI,2,ALAQUINES,19,20,1130,,,22,,,,1289,74,12,,,,,1727,,,,,,,,,5,2,0,7,,,,,,,,,,,,,4268,1,184,4453,6358,
24,SAN LUIS POTOSI,3,AQUISMON,26,60,10965,,712,363,,,128,,343,77,,,,,9621,,,,,580,223,55,10,21,22,3,5,,,,,,,,,,,,,23128,12,1470,24610,31756,
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,10,10,487,,95,33,,,16,,51,26,,,,1918,,,,,,37,12,4,0,9,4,2,3,,,,,,,,,,,,68,2765,6,166,2937,3925,
24,SAN LUIS POTOSI,5,CARDENAS,20,29,1922,501,177,167,,460,275,,456,27,,,,,,,,,4605,111,20,17,4,70,20,7,11,,,,,,,,,,,,,8850,2,233,9085,14091,
24,SAN LUIS POTOSI,6,CATORCE,18,20,,1370,,81,1228,63,,,52,6,2386,,,,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,5194,0,203,5397,6892,
24,SAN LUIS POTOSI,7,CEDRAL,17,29,51,,12,1836,,,13,282,2662,227,,,,,,,3525,,,1,2,0,0,396,107,43,60,,,,,,,,,,,,,9217,0,237,9454,13706,
24,SAN LUIS POTOSI,8,CERRITOS,26,40,,,1201,1079,,1488,,90,1028,94,1570,,,,,,2936,,,,,,,113,60,6,50,,,,,,,,,,,,,9715,2,398,10115,16883,
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,10,,,21,13,150,90,,,147,20,1083,1599,,,,,,,,,,,,4,2,0,1,,,,,,,,,,,,,3130,2,94,3226,3937,
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,48,6431,,459,43,,18,270,95,313,7,,,,,,,5787,,,403,164,77,5,16,6,10,1,,,,,,,,,,,,,14105,71,522,14698,22149,
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,64,,,6851,247,2970,,,,978,130,4394,,5112,,,,,,,,,,,52,33,3,9,,,,,,,,,,,,,20779,3,863,21645,35118,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,26,3003,,3576,84,,,,167,331,10,,,,,3003,,,,,,,,,12,4,3,2,,,,,,,,,,,,,10195,35,660,10890,14091,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,224,18639,,1771,888,,,4672,,5962,453,,,,,,,,13007,,1131,361,162,52,170,110,26,71,28536,,,,,,,,,,,,76011,71,2573,78655,126191,
24,SAN LUIS POTOSI,14,COXCATLAN,13,23,1221,,206,575,,,1602,,778,72,,,,2603,,,,,,322,36,69,31,235,61,11,21,,,,,,,,,,,,,7843,0,521,8364,11724,
24,SAN LUIS POTOSI,15,CHARCAS,21,33,,1703,1596,181,2571,13,,957,375,22,2193,,,,,,,,,,,,,25,12,0,4,,,,,,,,,,,,,9652,2,504,10158,15416,
24,SAN LUIS POTOSI,16,EBANO,32,55,8120,1486,4272,244,1937,,,,1778,120,,,,,,,,,,,,,,99,46,15,33,,,,,,,,,,,,,18150,1,765,18916,29766,
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,41,1403,5785,1158,64,3767,,80,26,191,26,,,,,,,,,,247,110,11,9,9,4,0,0,,,,,,,,,,,,,12890,0,565,13455,18548,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,300,,1013,278,2289,,,,346,82,,2958,,,,,,,,,,,,79,20,4,8,,,,,,,,,,,,,7377,1,620,7998,10654,
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,338,,65,1313,,,16,,103,44,,,,959,,,,,,25,10,1,0,128,76,24,5,,,,,,,,,,,,,3107,0,180,3287,4802,
24,SAN LUIS POTOSI,20,MATEHUALA,64,129,7154,6029,887,353,,364,275,,3077,141,,,,,,,,,17456,433,177,88,18,95,34,7,51,,,,,,,,,,,1364,,38003,7,1338,39348,70638,
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,75,,,2550,1699,1349,,,231,1159,144,8914,,,,,10122,,,,,,,,193,97,11,30,,,,,,,1607,,,,,,28106,11,1218,29335,41669,
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,30,4807,,,61,316,,26,23,105,15,,,,,,3934,,,,,,,,16,1,4,2,,,,,,,,,,,,,9310,2,442,9754,14246,
24,SAN LUIS POTOSI,23,RAYON,18,26,733,,49,175,,2405,24,,482,48,,,,982,,,,,,94,15,6,0,1377,37,15,28,,,,,,,,390,,,,,6860,0,356,7216,12312,
24,SAN LUIS POTOSI,24,RIOVERDE,87,150,14804,,566,1932,1779,,421,,4856,365,,,13500,,,,,,,483,233,157,18,305,94,18,95,,,,,,,,,,,,,39626,17,2328,41971,75639,
24,SAN LUIS POTOSI,25,SALINAS,23,41,254,5481,226,478,3182,31,1937,,977,184,,,,,,,,,,,,,,183,51,6,33,,,,,,,,,,,,,13023,4,435,13462,21523,
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,13,1395,,36,266,,,21,,380,1036,,,,,,,1601,,,105,26,7,1,232,30,23,71,,,,,,,,,,,,,5230,0,182,5412,6750,
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,16,19,1600,,45,1387,,,78,,496,,,,,900,,,,,,173,26,36,3,,,,,,,453,,,,,,,,,,5197,2,214,5413,8668,
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,372,1022,,,89894,6681,8033,,,,54100,4797,153892,,28048,,,,,,,,,,,2102,551,154,407,,,,,,,,,,,,,348659,274,9697,358630,615758,
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,,989,3596,97,86,56,,1377,404,27,4251,,,,,,,,,,,,,17,10,2,4,,,,,,,,,,,,,10916,1,579,11496,15263,
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,11,12,107,624,12,176,11,1101,15,,850,40,,,,,,,,,,2,3,5,0,128,48,9,27,,,,,,,,,,15,,,3173,0,133,3306,4883,
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,3396,,1102,87,74,,,,134,22,,,4092,,,,,,,,,,,18,2,2,2,,,,,,,,,,,,,8931,1,405,9337,11267,
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,20,46,,779,1775,2182,,,,39,16,,,618,,,,,,,,,,,96,29,24,5,,,,,,,,,,,,,5609,0,347,5956,8437,
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,30,61,,,2167,120,5020,,,,520,38,4587,7608,,,,,,,,,,,,34,13,0,2,,,,,,,,,,,,,20109,1,846,20956,30535,
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,24,1428,3627,90,388,,,41,,517,30,,,,,,,,,,116,13,13,13,95,41,3,4,,,,,,,,,,,,,6419,306,231,6956,9620,
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,89,330,,,46888,3489,5033,2200,,,27080,2033,9051,16410,,,,,,,,,,,,894,238,65,313,,,,,,,,,,,,,113694,106,4627,118427,212807,
24,SAN LUIS POTOSI,36,TAMASOPO,17,40,1400,,2066,384,,976,522,1938,699,117,,,,,,,2971,,,243,132,37,64,77,36,14,30,,,,,2267,,,,,,,,13973,3,661,14637,21169,
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,125,9052,,1912,1165,707,7045,889,,3504,377,,12827,,,,,,,,614,240,132,40,247,75,24,85,,,,,,,,,,,,,38935,10,2904,41849,68202,
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,23,3023,1855,688,151,1693,,138,855,112,,,,,,,,,,,,,,55,33,11,25,,,,,,,,,,,,,8662,0,316,8978,11303,
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,21,,,3111,50,,,,3200,125,26,,,,,,,657,,,,,,,8,6,0,2,,,,,,,,,,,,,7185,0,331,7516,9916,
24,SAN LUIS POTOSI,40,TAMUIN,35,53,,,3059,833,,33,,2328,3009,234,1440,,,,,,4403,,,,,,,249,85,32,75,,,,,,,,,,,,,15780,5,606,16391,25868,
24,SAN LUIS POTOSI,41,TANLAJAS,16,25,,1348,63,814,202,2207,,1474,2396,132,714,,,,,,,,,,,,,149,88,14,51,,,,,,,,,,,,,9652,1,404,10057,12999,
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,11,19,1565,,2013,114,,,,1588,461,44,,,,,,,1584,,,,,,,62,24,0,9,,,,,,,,,,,,,7464,2,273,7739,10054,
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,15,,,1387,26,,,,,70,8,1539,,,,,,1482,,,,,,,6,1,1,2,,,,,,,,,,,,,4522,0,224,4746,7459,
24,SAN LUIS POTOSI,44,VANEGAS,13,14,466,,343,,2133,,47,,144,,,344,,,,,,,,102,12,4,6,,,,,,,,,,,,,,,,,3601,3,115,3719,5301,
24,SAN LUIS POTOSI,45,VENADO,20,25,1421,,,312,741,743,2337,,377,38,,444,,,,,,,,,,,,55,24,3,11,,,,,,,,,1008,,,,7514,3,316,7833,10624,
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,23,,,,691,,,,,530,44,2896,,,,,,2992,,,,,,,113,56,11,19,,,,,,,,,,,,,7352,2,315,7669,11283,
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,26,206,,1439,357,,153,42,51,1259,51,,,,,,,5439,,,127,68,3,27,128,58,5,21,,,,,,,,,,,,,9434,1,373,9808,12488,
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,18,,,1870,,74,8,,,,,1586,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,4998,1,197,5196,7560,
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,,265,147,20,173,163,,1304,91,7,545,,,,,,,,,,,,,2,1,0,2,,,,,,,,,,,,,2720,3,79,2802,3908,
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,52,6250,,568,203,,,702,,167,35,,,,,,,9398,,,1050,144,144,16,4,14,0,3,,,,,,,,,,,,,18698,2,903,19603,26890,
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,64,435,,9400,208,189,7903,,,443,68,,6595,,,,,,,,,,,,31,11,2,11,,776,,,,,,,,,,,26072,0,1108,27180,35720,
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,29,1837,,260,,,,718,,,,,,,,,,,5234,,151,69,42,31,,,,,,,,,,,,,,,,,8342,13,375,8730,11862,
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,127,2412,680,50,15,,1752,29,77,3,,,,,,,,,,,,,,14,5,0,6,,,,,,,,,,,,,5170,0,334,5504,8948,
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,43,3616,5390,5676,183,,70,,391,775,64,,,,,,,,,,,,,,36,12,1,10,,,,,,,,,,,,,16224,2,917,17143,23238,
24,SAN LUIS POTOSI,55,XILITLA,47,72,7479,5714,223,175,71,,1680,1913,1116,69,,,,,,,,,,,,,,64,30,14,73,,,,3160,,,,,,,,,21781,3,1458,23242,35131,
24,SAN LUIS POTOSI,56,ZARAGOZA,22,37,,,4026,134,,,,,243,22,151,,,,,4704,,,3304,,,,,17,8,1,5,,,,,,,,,,,,,12615,2,556,13173,18390,
24,SAN LUIS POTOSI,57,EL NARANJO,17,28,1972,1466,57,118,,,230,,544,31,,,,,,,,,3615,214,44,51,5,70,12,7,19,,,,,,1227,,,,,,,9682,1,343,10026,14660,
24,SAN LUIS POTOSI,58,MATLAPA,17,40,5958,5238,217,116,,339,148,94,1803,70,,,,,,,,,,275,146,56,7,92,26,7,45,,,,,,,,,,,,,14637,0,699,15336,21103,
