ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PRI_PVEM_NA_CP,PVEM_NA,PAN_PRD_MC,PT_MORENA_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,AHUALULCO,14,27,,2039,2423,,1215,603,,238,,,2293,,,,,,,,,,547,,,,,,,,,,,,,9358,0,384,9742,14228,
24,SAN LUIS POTOSI,2,ALAQUINES,19,20,1130,,,,,,,1289,,,,,,,1727,,,,,,122,,,,,,,,,,,,,4268,1,184,4453,6358,
24,SAN LUIS POTOSI,3,AQUISMON,26,60,,,,,,,,,,,,,,,9621,,,,,12673,834,,,,,,,,,,,,,23128,12,1470,24610,31756,
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,10,10,,,,,,,,,,,,,,1918,,,,,,651,128,,,,,,,,,,,,68,2765,6,166,2937,3925,
24,SAN LUIS POTOSI,5,CARDENAS,20,29,,501,,,,460,,,,,,,,,,,,,4605,2526,758,,,,,,,,,,,,,8850,2,233,9085,14091,
24,SAN LUIS POTOSI,6,CATORCE,18,20,,1370,,,1228,63,,,,,2386,,,,,,,,,,147,,,,,,,,,,,,,5194,0,203,5397,6892,
24,SAN LUIS POTOSI,7,CEDRAL,17,29,,,,,,,,282,,,,,,,,,3525,,,79,5331,,,,,,,,,,,,,9217,0,237,9454,13706,
24,SAN LUIS POTOSI,8,CERRITOS,26,40,,,1201,,,1488,,90,,,1570,,,,,,2936,,,,2430,,,,,,,,,,,,,9715,2,398,10115,16883,
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,10,,,21,,150,90,,,,,1083,1599,,,,,,,,,187,,,,,,,,,,,,,3130,2,94,3226,3937,
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,48,,,,,,18,,95,,,,,,,,,5787,,,7809,396,,,,,,,,,,,,,14105,71,522,14698,22149,
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,64,,,6851,,2970,,,,,,4394,,5112,,,,,,,,1452,,,,,,,,,,,,,20779,3,863,21645,35118,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,26,3003,,3576,,,,,167,,,,,,,3003,,,,,,446,,,,,,,,,,,,,10195,35,660,10890,14091,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,224,,,,,,,,,,,,,,,,,,13007,,26788,7680,28536,,,,,,,,,,,,76011,71,2573,78655,126191,
24,SAN LUIS POTOSI,14,COXCATLAN,13,23,,,,,,,,,,,,,,2603,,,,,,3487,1753,,,,,,,,,,,,,7843,0,521,8364,11724,
24,SAN LUIS POTOSI,15,CHARCAS,21,33,,1703,1596,,2571,13,,957,,,2193,,,,,,,,,,619,,,,,,,,,,,,,9652,2,504,10158,15416,
24,SAN LUIS POTOSI,16,EBANO,32,55,8120,1486,4272,,1937,,,,,,,,,,,,,,,,2335,,,,,,,,,,,,,18150,1,765,18916,29766,
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,41,,5785,,,3767,,,26,,,,,,,,,,,,3018,294,,,,,,,,,,,,,12890,0,565,13455,18548,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,300,,1013,,2289,,,,,,,2958,,,,,,,,,817,,,,,,,,,,,,,7377,1,620,7998,10654,
