CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,C_COMUN_PAN_PRD_PRS_PHBCS,PRI,PT,PVEM,MC,NA,MORENA,ES,BCSC,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,1,B,1,0,B,119,158,7,17,9,3,161,7,4,2,,,,,487,1,14,502,742,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,2,B,1,0,B,84,71,11,4,12,3,120,1,3,0,,,,,309,0,2,311,459,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,3,B,1,0,B,68,65,4,9,13,3,173,4,5,5,,,,,349,0,14,363,535,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,3,C,1,0,C01,87,71,5,7,8,4,153,6,6,4,,,,,351,0,12,363,535,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,3,C,2,0,C02,64,77,5,8,8,3,155,9,7,4,,,,,340,1,6,347,534,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,4,B,1,0,B,119,136,3,8,6,5,133,11,6,2,,,,,429,2,11,442,687,Grupo de Recuento,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,5,B,1,0,B,62,75,2,12,8,0,122,2,4,5,,,,,292,0,12,304,465,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,5,C,1,0,C01,79,77,1,17,14,3,94,4,2,4,,,,,295,1,5,301,464,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,6,B,1,0,B,94,119,1,16,7,1,126,13,5,2,,,,,384,0,12,396,694,Acta Casilla,,,
,3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,1,COMONDU,7,B,1,0,B,86,104,1,10,8,6,127,10,5,4,,,,,361,1,15,377,542,Acta Casilla,,,
