ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PRS,NA,MORENA,ES,PHBCS,BCSC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,11,56,1757,850,1549,2120,1042,0,1033,168,5855,271,826,608,,1817,,,17896,7,642,18545,35350,
3,BAJA CALIFORNIA SUR,2,LA PAZ,45,65,1681,2070,1482,362,1471,1075,988,302,6674,441,790,583,2243,,,,20162,14,1004,21180,34497,
3,BAJA CALIFORNIA SUR,3,LA PAZ,39,65,1866,1506,1645,553,698,352,1097,462,8104,548,877,1093,,,,,18801,19,1060,19880,32336,
3,BAJA CALIFORNIA SUR,4,LA PAZ,35,69,1644,1157,1449,442,712,471,966,569,9699,675,772,937,,,,,19493,21,702,20216,37466,
3,BAJA CALIFORNIA SUR,5,LA PAZ,37,68,1710,1906,1508,384,1135,469,1005,470,8189,933,804,1077,,,,,19590,39,928,20557,33423,
3,BAJA CALIFORNIA SUR,6,LA PAZ,33,70,1171,1139,1032,474,3149,246,688,486,7217,406,550,636,,,,,17194,0,898,18092,31884,
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,31,63,992,1578,874,2494,1045,0,583,299,6410,240,466,450,,,,,15431,14,654,16099,33173,
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,22,56,1296,710,1141,4122,693,0,761,233,6747,270,608,1261,,,,,17842,34,614,18490,35147,
3,BAJA CALIFORNIA SUR,9,CABO SAN LUCAS,30,60,962,529,848,3758,705,0,565,185,5751,238,452,699,,,,,14692,6,804,15502,32948,
3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,29,55,1400,2366,1233,310,232,174,822,1253,5825,512,657,292,,,,,15076,8,783,15867,27571,
3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,43,59,1663,3820,1466,347,341,472,977,220,5895,465,782,233,,,,,16681,15,787,17483,26095,
3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,17,58,1355,1772,1194,4840,784,0,796,384,5181,280,637,310,,,,,17533,10,752,18295,31767,
3,BAJA CALIFORNIA SUR,13,LORETO,31,64,2430,2196,2143,643,1596,0,1428,2632,3305,319,1143,362,,,,,18197,4,1326,19527,28804,
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,23,46,1201,1378,1058,361,397,0,705,1873,4787,721,564,104,,,,,13149,0,726,13875,24179,
3,BAJA CALIFORNIA SUR,15,LA PAZ,34,60,1972,2215,1737,390,614,394,1158,1468,7724,545,926,1447,,,1220,,21810,18,951,22779,33424,
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,23,64,1361,787,1199,3572,740,0,799,350,6703,277,639,1573,,,,1076,19076,18,675,19769,38082,
