id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN-PNA,PRI,PRI-PVEM,PRI-PVEM-PS,PRI-PS,PRD,PRD-PC-PT,PRD-PC,PRD-PT,PRD-PT2,PRD-PC-PT2,PT,PT-PC,PVEM,CONVERGENCIA,PS,PAC,PP,PLT,PPT,Nulos,Total
29,4/7/2010,12,Ayuntamientos,29,0,305,1,B,Basica,0,21,NANACAMILPA DE MARIANO ARISTA,336,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,51,82,,,,24,,,,,,,,2,11,3,25,3,0,0,6,207
29,4/7/2010,12,Ayuntamientos,29,0,307,1,B,Basica,0,21,NANACAMILPA DE MARIANO ARISTA,467,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,49,80,,,,37,,,,,,,,2,23,11,47,1,0,0,18,268
29,4/7/2010,12,Ayuntamientos,29,0,58,1,B,Basica,0,34,TLAXCO,147,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,20,,40,,,12,,,,,,0,,,,7,,1,23,3,6,112
29,4/7/2010,12,Ayuntamientos,29,0,413,1,B,Basica,0,31,TETLA DE LA SOLIDARIDAD,553,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,90,,25,,,61,,,,,,92,,,6,12,49,,0,3,15,353
29,4/7/2010,12,Ayuntamientos,29,0,414,1,B,Basica,0,31,TETLA DE LA SOLIDARIDAD,844,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,97,,75,,,40,,,,,,100,,,8,6,65,,0,10,18,419
29,4/7/2010,12,Ayuntamientos,29,0,415,1,B,Basica,0,31,TETLA DE LA SOLIDARIDAD,537,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,67,,51,,,24,,,,,,53,,,5,3,30,,0,14,10,257
29,4/7/2010,12,Ayuntamientos,29,0,417,1,B,Basica,0,31,TETLA DE LA SOLIDARIDAD,271,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,87,,23,,,23,,,,,,34,,,1,4,31,,0,4,11,218
29,4/7/2010,12,Ayuntamientos,29,0,420,1,C,Contigua,0,31,TETLA DE LA SOLIDARIDAD,799,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,109,,127,,,35,,,,,,47,,,0,6,165,,0,5,16,510
29,4/7/2010,12,Ayuntamientos,29,0,421,1,B,Basica,0,31,TETLA DE LA SOLIDARIDAD,436,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,124,,106,,,40,,,,,,65,,,1,3,122,,0,6,35,502
29,4/7/2010,12,Ayuntamientos,29,0,472,1,B,Basica,0,34,TLAXCO,521,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,66,,133,,,18,,,,,,3,,,,53,,4,51,4,19,351
29,4/7/2010,12,Ayuntamientos,29,0,474,1,B,Basica,0,34,TLAXCO,662,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,72,,69,,,61,,,,,,3,,,,81,,14,128,8,12,448
29,4/7/2010,12,Ayuntamientos,29,0,479,1,B,Basica,0,34,TLAXCO,274,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,37,,72,,,6,,,,,,3,,,,13,,6,1,8,6,152
29,4/7/2010,12,Ayuntamientos,29,0,481,1,B,Basica,0,34,TLAXCO,603,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,48,,69,,,31,,,,,,1,,,,36,,4,173,7,22,391
29,4/7/2010,12,Ayuntamientos,29,0,484,1,B,Basica,0,34,TLAXCO,753,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,257,,71,,,14,,,,,,5,,,,126,,0,3,17,16,509
29,4/7/2010,12,Ayuntamientos,29,0,485,1,B,Basica,0,34,TLAXCO,573,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,131,,97,,,59,,,,,,21,,,,32,,3,6,7,11,367
29,4/7/2010,12,Ayuntamientos,29,0,488,1,B,Basica,0,34,TLAXCO,540,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,90,,124,,,47,,,,,,9,,,,44,,1,6,6,22,349
29,4/7/2010,12,Ayuntamientos,29,0,491,1,C,Contigua,0,34,TLAXCO,764,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,104,,148,,,61,,,,,,2,,,,74,,3,18,4,25,439
29,4/7/2010,12,Ayuntamientos,29,0,563,1,C,Contigua,0,41,PAPALOTLA DE XICOHTENCATL,571,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,46,,151,,,126,,,,,,3,,,17,2,,,,,22,367
29,4/7/2010,12,Ayuntamientos,29,0,563,2,C,Contigua,0,41,PAPALOTLA DE XICOHTENCATL,571,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,35,,160,,,138,,,,,,3,,,17,4,,,,,11,368
