CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0078,B,01,0,B,34,65,,5,21,15,,25,147,16,3,0,0,0,6,2,0,1,,,,,,,,340,0,23,363,681,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0078,C,01,0,C01,34,60,,13,20,10,,32,149,20,1,2,0,4,1,0,0,2,,,,,,,,348,0,15,363,681,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0078,C,02,0,C02,53,70,,11,11,11,,23,142,17,1,1,1,1,6,1,0,2,,,,,,,,351,0,20,371,680,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0078,C,03,0,C03,38,65,,9,17,12,,16,167,14,2,1,1,0,6,1,0,1,,,,,,,,350,0,22,372,680,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0078,C,04,0,C04,39,49,,8,13,18,,26,148,19,2,0,2,1,6,3,0,2,,,,,,,,336,1,27,364,680,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0078,C,05,0,C05,45,61,,11,15,8,,25,160,11,1,0,0,0,7,1,0,2,,,,,,,,347,0,17,364,680,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0079,B,01,0,B,37,75,,12,15,9,,38,201,22,2,0,0,0,6,1,0,3,,,,,,,,421,0,15,436,710,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0079,C,01,0,C01,41,66,,5,27,13,,40,197,15,1,0,0,0,3,4,2,0,,,,,,,,414,0,26,440,709,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0079,C,02,0,C02,51,75,,11,19,8,,31,178,18,0,1,1,1,8,2,1,1,,,,,,,,406,0,13,419,709,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0079,S,01,0,SMR01,6,13,,0,3,0,,2,23,0,0,0,0,0,0,0,0,0,,,,,,,,47,0,0,47,0,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0080,B,01,0,B,54,89,,9,8,15,,29,205,18,0,2,0,0,3,3,4,0,,,,,,,,439,3,20,462,699,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0080,C,01,0,C01,40,72,,9,18,13,,23,171,15,5,1,0,0,5,2,0,4,,,,,,,,378,0,24,402,698,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0081,B,01,0,B,36,49,,10,19,12,,26,170,13,3,0,2,0,6,3,0,4,,,,,,,,353,0,9,362,589,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0081,C,01,0,C01,39,48,,6,24,5,,14,166,19,1,0,0,0,3,4,0,1,,,,,,,,330,0,18,348,589,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0081,C,02,0,C02,48,55,,9,13,4,,28,165,11,1,0,1,0,2,0,1,1,,,,,,,,339,0,18,357,589,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0082,B,01,0,B,66,72,,7,19,12,,22,166,16,0,1,0,1,6,0,1,2,,,,,,,,391,1,16,408,689,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0082,C,01,0,C01,58,54,,8,13,13,,39,193,11,4,0,1,0,4,1,0,3,,,,,,,,402,0,10,412,688,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0082,C,02,0,C02,40,53,,10,27,13,,29,187,12,0,0,0,0,10,2,0,0,,,,,,,,383,0,14,397,688,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0083,B,01,0,B,38,64,,8,8,15,,41,156,17,0,1,0,0,3,0,0,0,,,,,,,,351,0,20,371,626,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0083,C,01,0,C01,43,72,,8,12,6,,37,159,13,0,1,2,0,7,0,0,3,,,,,,,,363,0,11,374,626,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0083,C,02,0,C02,56,61,,5,17,11,,31,143,7,0,0,0,0,12,3,0,2,,,,,,,,348,0,23,371,625,Acta  casilla,,,
1,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0083,C,03,0,C03,44,55,,6,7,10,,25,160,12,1,0,0,0,4,4,0,4,,,,,,,,332,0,18,350,625,Acta  casilla,,,
