ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN_PRD_PAC,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PT,PT_MORENA_ES,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA,,,
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,97,7988,7138,,,17975,877,,,,,,,,,,,33978,11,1386,35375,57924,,,,
29,TLAXCALA,2,TLAXCO DE MORELOS,60,109,6742,,3832,,12777,356,2662,,,2237,2500,,,,,,31106,3743,1919,36768,57606,,,,
29,TLAXCALA,3,SAN COSME XALOSTOC,42,93,3564,9344,,,14543,5384,,,,,,2804,,,,,35639,23,1444,37106,56120,,,,
29,TLAXCALA,4,APIZACO,37,103,9687,6566,,6993,,1015,,14560,1375,,,,,,,,40196,44,1922,42162,63601,,,,
29,TLAXCALA,5,SAN DIONICIO YAUHQUEHMECAN,51,99,10612,3676,,7868,,509,,11160,640,,,,,,,,34465,16,2004,36485,56642,,,,
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,53,114,4751,5458,,4139,,1802,,18796,2171,,,,2861,,,,39978,74,2252,42304,64806,,,,
29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,35,118,12516,8468,,,25446,925,,,,,,,,2661,,,50016,31,1675,51722,73408,,,,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,35,97,6329,7211,,2027,,1888,,16093,4044,,,,,,3064,,40656,19,1763,42438,59913,,,,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,36,109,9650,4661,,,22730,1291,,,,,,,,,,4198,42530,25,1583,44138,65798,,,,
29,TLAXCALA,10,HUAMANTLA,41,94,5808,9630,,,16552,1101,,,,,,,,,,,33091,26,1835,34952,55655,,,,
29,TLAXCALA,11,HUAMANTLA,48,95,5260,7267,,4838,,517,,12390,629,,,,,,,,30901,14,2077,32992,53580,,,,
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,107,6639,6569,,,26084,5156,,,,,,,,,,,44448,12,1649,46109,66955,,,,
29,TLAXCALA,13,ZACATELCO,32,102,8345,8570,,1433,,4605,,18101,636,,,,,,,,41690,14,1738,43442,62749,,,,
29,TLAXCALA,14,SANTA MARIA NATIVITAS,39,102,17172,3896,,,17163,949,,,,,,,,,,,39180,6,1269,40455,64097,,,,
29,TLAXCALA,15,VICENTE GUERRERO,23,95,4838,4071,,5664,,6465,,13859,3374,,,,,,,,38271,15,2370,40656,63162,,,,
