CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0078,6,243,370,,57,97,74,,147,913,97,10,4,4,6,32,8,0,10,,,,,,,,2072,1,124,2197,4082
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0079,4,135,229,,28,64,30,,111,599,55,3,1,1,1,17,7,3,4,,,,,,,,1288,0,54,1342,2128
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0080,2,94,161,,18,26,28,,52,376,33,5,3,0,0,8,5,4,4,,,,,,,,817,3,44,864,1397
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0081,3,123,152,,25,56,21,,68,501,43,5,0,3,0,11,7,1,6,,,,,,,,1022,0,45,1067,1767
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0082,3,164,179,,25,59,38,,90,546,39,4,1,1,1,20,3,1,5,,,,,,,,1176,1,40,1217,2065
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0083,4,181,252,,27,44,42,,134,618,49,1,2,2,0,26,7,0,9,,,,,,,,1394,0,72,1466,2502
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0084,1,54,86,,8,14,16,,67,162,18,1,0,0,0,4,0,0,3,,,,,,,,433,0,25,458,728
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0085,3,122,172,,25,65,34,,100,588,38,7,2,2,0,22,7,1,14,,,,,,,,1199,0,52,1251,2078
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0086,3,155,216,,17,40,23,,104,490,18,1,5,1,0,6,8,2,11,,,,,,,,1097,1,53,1151,1763
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0087,2,50,113,,20,19,10,,38,294,19,0,1,0,0,0,1,0,3,,,,,,,,568,0,9,577,980
