ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,KANTUNILKIN,54,132,16737,14295,3187,5026,657,758,3762,1131,154,45553,1242,46949,75198,0.6004
23,QUINTANA ROO,2,CANCÚN,66,138,7415,6757,2766,6779,903,465,6137,2231,68,33453,1000,34521,81055,0.4259
23,QUINTANA ROO,3,CANCÚN,60,112,6105,5071,2615,6293,338,483,4597,2391,22,27893,941,28856,61851,0.4665
23,QUINTANA ROO,4,CANCÚN,62,115,6368,7013,2881,8602,379,752,4048,1696,34,31739,939,32712,63626,0.5141
23,QUINTANA ROO,5,CANCÚN,80,145,11180,6907,3240,5902,470,481,5481,1726,50,35387,1204,36641,76928,0.4763
23,QUINTANA ROO,6,CANCÚN,53,114,8498,6636,2917,6770,439,467,5266,1964,31,32957,1128,34116,67707,0.5039
23,QUINTANA ROO,7,CANCÚN,53,120,11441,6283,2816,5484,495,487,5541,1892,54,34439,1052,35545,71906,0.4943
23,QUINTANA ROO,8,CANCÚN,48,117,13976,5230,2369,5419,378,352,4136,1407,52,33267,986,34305,71606,0.4791
23,QUINTANA ROO,9,TULUM,127,208,14480,14521,8126,1490,460,672,7958,1061,39,48768,1278,50085,109016,0.4471
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,139,10730,8270,4858,802,354,450,6151,920,41,32535,895,33471,79361,0.4218
23,QUINTANA ROO,11,COZUMEL,22,98,21889,12847,1815,945,138,256,1277,270,14,39437,711,40162,63872,0.6215
23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,43,105,9259,16167,10316,1080,318,638,2222,1063,26,41063,1635,42724,58464,0.7125
23,QUINTANA ROO,13,BACALAR,65,125,11733,15281,7533,1582,2199,1570,2736,766,27,43400,1723,45150,65955,0.6769
23,QUINTANA ROO,14,CHETUMAL,56,122,25994,10469,3968,552,386,398,3089,325,27,45181,881,46089,67894,0.6642
23,QUINTANA ROO,15,CHETUMAL,78,127,25254,9841,3327,501,257,354,2966,431,21,42931,906,43858,68858,0.6369
