CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,510,2,114,142,51,102,14,11,74,65,20,5,19,0,0,1,617,21,639,1153
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,511,2,71,53,38,86,3,7,61,65,9,0,6,0,0,0,399,12,411,963
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,512,1,42,42,20,72,2,5,29,34,6,2,12,0,1,0,267,8,275,539
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,513,1,34,29,10,73,3,2,21,23,5,0,5,0,0,0,205,7,212,426
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,514,1,64,49,24,78,0,6,58,22,8,4,5,0,0,0,318,9,327,702
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,515,1,48,44,14,46,3,4,36,18,9,0,3,0,0,0,225,9,234,549
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,516,2,92,65,25,108,3,4,90,30,7,10,2,1,0,1,437,7,445,880
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,517,1,37,29,12,51,6,1,29,21,1,1,10,0,0,0,198,6,204,411
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,518,2,107,61,26,100,5,9,100,29,12,1,10,0,0,1,460,13,474,1006
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,519,2,105,61,32,46,3,4,105,24,3,1,1,1,0,0,386,25,411,811
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,520,2,101,75,42,102,7,9,86,44,14,1,1,0,0,1,482,16,499,1052
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,521,2,84,67,22,142,9,2,75,40,16,3,6,0,0,0,466,19,485,1041
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,522,3,152,137,65,235,12,6,113,83,39,2,21,5,2,0,872,36,908,1557
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,523,1,58,31,21,35,3,3,37,22,7,6,0,0,0,0,223,7,230,439
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,524,1,55,60,28,67,1,2,46,20,6,2,8,0,0,0,295,10,305,591
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,525,2,101,117,56,103,10,11,100,49,17,1,20,0,0,0,585,16,601,1192
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,526,2,78,101,35,89,3,9,60,27,10,15,11,0,0,0,438,10,448,810
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,527,2,113,92,46,65,9,13,50,40,12,4,9,0,0,0,453,22,475,866
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,528,2,94,90,37,57,5,9,66,36,13,1,3,1,0,0,412,13,425,951
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,529,2,69,67,28,94,4,6,52,36,13,11,8,0,1,0,389,24,413,887
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,530,2,101,77,40,100,5,8,74,25,13,2,8,0,0,0,453,22,475,971
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,531,2,116,116,43,98,5,6,80,43,7,5,8,0,0,1,527,12,540,1033
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,532,1,90,75,41,63,5,4,42,33,10,2,13,13,2,2,393,10,405,730
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,533,2,147,82,39,86,9,9,100,29,6,3,10,0,2,1,522,12,535,953
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,534,2,74,72,33,140,7,4,54,40,7,5,15,0,0,0,451,14,465,777
