muni,NOMBRE,seccion,PAN,PRI,PRD,PT,PVEM,CD,PCD,PSN,PARM,PAS,DS,No Reg.,Nulos,Total
1,ACAMBAY,1,350,316,18,9,3,0,1,0,3,0,1,0,20,721
1,ACAMBAY,2,286,421,11,10,0,1,1,1,3,0,0,0,23,757
1,ACAMBAY,3,478,341,28,12,5,0,1,3,3,2,1,1,10,885
1,ACAMBAY,4,301,349,27,3,2,6,1,1,1,5,1,2,56,755
1,ACAMBAY,5,136,324,23,0,0,0,2,1,5,2,0,0,32,525
1,ACAMBAY,6,138,232,11,3,1,0,0,0,0,0,0,0,16,401
1,ACAMBAY,7,158,140,13,5,1,0,0,1,4,0,0,3,22,347
1,ACAMBAY,8,188,144,10,3,3,0,1,0,1,1,0,1,18,370
1,ACAMBAY,9,144,152,13,7,5,0,1,1,0,2,0,0,22,347
1,ACAMBAY,10,169,257,11,3,0,0,1,1,0,0,0,0,54,496
1,ACAMBAY,11,109,219,5,0,0,0,1,0,0,0,0,0,14,348
1,ACAMBAY,12,109,269,39,3,0,0,1,1,1,0,0,0,26,449
1,ACAMBAY,13,181,327,14,5,3,3,0,0,1,4,0,5,38,581
1,ACAMBAY,14,242,441,53,7,1,0,1,0,1,1,0,0,79,826
1,ACAMBAY,15,250,239,16,6,3,0,0,1,0,0,0,0,25,540
1,ACAMBAY,16,199,206,33,1,3,0,0,0,1,1,0,0,37,481
1,ACAMBAY,17,190,259,18,3,1,0,1,1,1,1,0,0,11,486
1,ACAMBAY,18,119,125,6,3,1,0,1,0,0,0,0,6,13,274
1,ACAMBAY,19,140,334,40,6,3,0,0,2,2,0,0,3,68,598
1,ACAMBAY,20,224,356,106,8,1,4,3,7,2,5,1,4,61,782
1,ACAMBAY,21,137,299,58,3,6,0,0,0,4,1,0,5,41,554
1,ACAMBAY,22,154,288,74,6,3,3,2,1,2,1,2,0,29,565
1,ACAMBAY,23,78,247,9,3,0,1,0,0,0,3,0,0,8,349
1,ACAMBAY,24,207,336,36,6,4,0,1,0,3,2,1,0,21,617
1,ACAMBAY,25,173,143,6,1,2,1,3,0,0,1,0,0,7,337
1,ACAMBAY,26,258,302,19,7,2,2,3,4,2,1,0,0,25,625
1,ACAMBAY,27,192,279,106,11,0,0,0,4,2,0,0,4,66,664
1,ACAMBAY,28,236,257,59,3,1,2,0,6,1,1,0,3,49,618
1,ACAMBAY,29,169,193,21,9,4,0,3,1,1,2,0,0,13,416
1,ACAMBAY,30,190,249,53,8,1,0,1,2,1,0,1,0,39,545
1,ACAMBAY,31,255,308,56,3,5,0,4,1,0,2,0,0,37,671
1,ACAMBAY,32,140,339,11,6,4,0,0,0,0,1,0,0,13,514
2,ACOLMAN,33,112,334,497,19,28,0,12,0,1,1,0,0,22,1026
2,ACOLMAN,34,95,348,587,12,23,1,19,1,1,1,0,0,22,1110
2,ACOLMAN,35,84,407,529,5,8,1,40,3,0,0,1,0,13,1091
2,ACOLMAN,36,4,56,34,1,1,0,1,0,0,0,0,0,1,98
2,ACOLMAN,37,89,328,420,23,4,1,7,0,2,0,0,0,10,884
2,ACOLMAN,38,138,384,422,27,9,1,20,2,5,1,0,0,9,1018
2,ACOLMAN,39,7,23,28,2,1,0,4,0,0,0,0,0,1,66
2,ACOLMAN,40,14,121,205,3,1,0,5,4,0,0,0,0,10,363
2,ACOLMAN,41,132,261,424,12,5,4,38,0,4,1,0,0,11,892
2,ACOLMAN,42,109,304,441,28,4,1,11,1,1,0,0,0,17,917
2,ACOLMAN,43,94,292,484,17,13,1,13,0,0,1,0,0,11,926
2,ACOLMAN,44,88,290,363,12,7,13,20,0,3,0,1,0,18,815
2,ACOLMAN,45,35,234,412,7,4,0,17,0,0,0,0,0,14,723
2,ACOLMAN,46,66,250,694,12,7,0,6,1,1,0,0,0,17,1054
2,ACOLMAN,47,77,203,724,10,4,1,12,2,1,0,0,0,12,1046
2,ACOLMAN,48,104,207,673,26,8,0,10,0,2,0,0,0,22,1052
2,ACOLMAN,49,114,278,961,10,13,0,44,0,1,0,1,0,26,1448
2,ACOLMAN,50,75,215,974,7,6,0,19,1,1,0,0,0,20,1318
2,ACOLMAN,51,197,420,549,89,11,2,45,0,1,1,1,0,34,1350
2,ACOLMAN,52,161,149,347,69,9,0,23,1,1,0,0,0,12,772
2,ACOLMAN,53,228,221,505,115,10,1,46,2,4,1,2,1,13,1149
2,ACOLMAN,54,242,254,507,151,27,1,10,0,5,2,0,0,31,1230
2,ACOLMAN,55,207,431,479,43,17,1,29,2,7,1,0,0,17,1234
2,ACOLMAN,56,81,672,187,18,4,2,3,1,12,0,0,0,12,992
2,ACOLMAN,57,93,557,244,27,4,0,14,1,10,0,0,1,5,956
2,ACOLMAN,58,145,391,331,51,21,2,43,1,2,0,0,0,29,1016
3,ACULCO,59,348,299,144,2,31,0,0,1,0,0,0,0,8,833
3,ACULCO,60,126,307,20,1,45,0,3,3,3,1,0,2,37,548
3,ACULCO,61,70,315,68,3,12,0,0,0,0,0,0,0,7,475
3,ACULCO,62,120,230,66,7,23,0,1,0,0,0,1,3,21,472
3,ACULCO,63,114,295,81,3,26,0,2,0,1,0,0,0,30,552
3,ACULCO,64,50,265,18,0,11,0,0,0,0,0,0,0,29,373
3,ACULCO,65,110,260,23,3,13,0,3,1,1,1,0,2,17,434
3,ACULCO,66,178,324,66,1,18,0,1,0,3,0,0,0,17,608
3,ACULCO,67,312,331,119,4,16,0,0,0,0,1,0,5,25,813
3,ACULCO,68,171,330,53,5,12,1,0,0,0,0,0,6,20,598
3,ACULCO,69,323,403,145,4,28,2,2,3,0,3,0,0,33,946
3,ACULCO,70,127,451,73,3,435,1,0,0,1,0,0,4,40,1135
3,ACULCO,71,43,227,21,2,26,1,1,0,2,1,0,0,4,328
3,ACULCO,72,592,336,297,5,65,1,1,0,0,2,0,0,36,1335
3,ACULCO,73,170,335,77,3,22,0,0,0,3,2,0,1,15,628
3,ACULCO,74,125,343,40,3,9,2,4,1,3,0,2,0,15,547
3,ACULCO,75,75,638,65,2,33,3,1,1,1,1,3,4,26,853
3,ACULCO,76,86,354,89,1,9,0,1,0,0,1,0,0,24,565
3,ACULCO,77,112,377,81,5,7,0,2,0,0,1,0,0,18,603
3,ACULCO,78,36,172,14,1,4,2,0,0,0,0,0,0,9,238
3,ACULCO,79,15,51,12,0,1,0,1,0,0,0,0,0,0,80
3,ACULCO,80,72,252,23,6,13,0,0,0,0,0,1,0,12,379
3,ACULCO,81,28,205,43,2,5,1,0,0,0,1,0,4,37,326
4,ALMOLOYA DE ALQUISIRAS,82,335,158,17,4,4,0,10,0,0,0,0,2,13,543
4,ALMOLOYA DE ALQUISIRAS,83,266,184,52,8,1,0,21,0,0,0,0,2,14,548
4,ALMOLOYA DE ALQUISIRAS,84,105,151,150,17,1,0,15,0,0,0,0,2,13,454
4,ALMOLOYA DE ALQUISIRAS,85,83,179,50,4,0,0,3,0,0,0,0,0,12,331
4,ALMOLOYA DE ALQUISIRAS,86,246,384,52,8,1,0,19,0,0,0,0,2,23,735
4,ALMOLOYA DE ALQUISIRAS,87,82,245,18,7,0,0,38,0,0,0,0,5,26,421
4,ALMOLOYA DE ALQUISIRAS,88,71,174,22,6,2,0,19,0,0,0,0,5,6,305
4,ALMOLOYA DE ALQUISIRAS,89,60,162,81,2,1,0,11,0,0,0,0,1,9,327
4,ALMOLOYA DE ALQUISIRAS,90,17,88,9,0,0,0,1,0,0,0,0,0,14,129
4,ALMOLOYA DE ALQUISIRAS,91,4,67,20,2,0,0,1,0,0,0,0,1,1,96
4,ALMOLOYA DE ALQUISIRAS,92,121,344,48,2,0,0,19,0,0,0,0,1,15,550
4,ALMOLOYA DE ALQUISIRAS,93,26,163,22,3,1,0,6,0,0,0,0,1,23,245
5,ALMOLOYA DE JUAREZ,94,776,571,33,6,10,0,9,0,0,1,2,0,16,1424
5,ALMOLOYA DE JUAREZ,95,75,269,52,0,0,0,0,0,0,0,0,9,10,415
5,ALMOLOYA DE JUAREZ,96,211,268,13,0,4,0,1,0,2,4,0,0,29,532
5,ALMOLOYA DE JUAREZ,97,450,527,29,3,4,3,3,3,5,2,2,1,41,1073
5,ALMOLOYA DE JUAREZ,98,31,144,31,1,0,0,0,0,2,1,0,0,6,216
5,ALMOLOYA DE JUAREZ,99,138,177,27,4,1,1,2,0,1,2,0,0,8,361
5,ALMOLOYA DE JUAREZ,100,218,570,81,6,11,3,6,3,1,5,0,0,37,941
5,ALMOLOYA DE JUAREZ,101,292,435,51,9,8,0,4,0,0,2,0,0,38,839
5,ALMOLOYA DE JUAREZ,102,303,283,58,16,4,0,0,2,0,2,2,0,30,700
5,ALMOLOYA DE JUAREZ,103,142,78,52,4,8,0,1,0,0,2,2,0,6,295
5,ALMOLOYA DE JUAREZ,104,66,76,12,2,1,0,0,1,1,0,1,0,5,165
5,ALMOLOYA DE JUAREZ,105,119,169,43,2,4,1,2,0,3,1,0,0,81,425
5,ALMOLOYA DE JUAREZ,106,282,381,19,4,8,1,0,3,0,1,0,0,18,717
5,ALMOLOYA DE JUAREZ,107,254,304,176,6,4,0,2,3,0,3,4,0,53,809
5,ALMOLOYA DE JUAREZ,108,96,77,37,6,3,0,0,0,0,1,0,0,4,224
5,ALMOLOYA DE JUAREZ,109,194,242,15,1,3,0,1,1,1,2,0,0,10,470
5,ALMOLOYA DE JUAREZ,110,418,304,26,7,5,0,1,3,0,0,1,0,16,781
5,ALMOLOYA DE JUAREZ,111,197,152,41,2,8,0,0,0,0,0,0,0,0,400
5,ALMOLOYA DE JUAREZ,112,429,389,83,6,3,0,0,0,1,1,3,0,22,937
5,ALMOLOYA DE JUAREZ,113,372,421,85,7,8,0,1,2,1,2,0,0,50,949
5,ALMOLOYA DE JUAREZ,114,265,346,33,3,3,2,6,2,1,2,3,0,30,696
5,ALMOLOYA DE JUAREZ,115,340,212,32,4,5,0,2,0,0,1,1,0,15,612
5,ALMOLOYA DE JUAREZ,116,175,116,57,0,0,0,3,0,0,0,0,2,16,369
5,ALMOLOYA DE JUAREZ,117,314,167,93,2,7,0,1,2,0,2,0,0,18,606
5,ALMOLOYA DE JUAREZ,118,243,351,59,6,3,0,0,0,2,0,1,0,12,677
5,ALMOLOYA DE JUAREZ,119,295,213,23,0,5,0,3,0,0,0,0,0,18,557
5,ALMOLOYA DE JUAREZ,120,344,260,33,6,4,0,4,1,2,0,1,0,22,677
5,ALMOLOYA DE JUAREZ,121,387,244,55,7,9,0,0,1,0,1,4,0,38,746
5,ALMOLOYA DE JUAREZ,122,326,278,18,1,2,0,4,1,1,5,1,0,5,642
5,ALMOLOYA DE JUAREZ,123,737,371,45,4,11,0,4,0,1,3,2,0,13,1191
5,ALMOLOYA DE JUAREZ,124,243,85,18,2,5,0,3,1,0,0,1,0,7,365
5,ALMOLOYA DE JUAREZ,125,441,401,73,10,13,0,3,0,5,3,2,0,4,955
5,ALMOLOYA DE JUAREZ,126,419,253,53,5,8,2,1,0,2,3,0,0,26,772
5,ALMOLOYA DE JUAREZ,127,280,162,28,7,2,0,1,1,1,2,0,0,17,501
5,ALMOLOYA DE JUAREZ,128,406,192,71,6,20,0,4,3,4,2,3,0,19,730
5,ALMOLOYA DE JUAREZ,129,227,225,53,9,1,3,3,1,5,1,0,1,44,573
5,ALMOLOYA DE JUAREZ,130,145,493,41,3,10,1,2,0,0,0,2,0,14,711
5,ALMOLOYA DE JUAREZ,131,141,414,54,2,10,0,2,0,1,0,2,0,17,643
5,ALMOLOYA DE JUAREZ,132,435,252,57,16,21,0,5,1,0,1,3,0,8,799
5,ALMOLOYA DE JUAREZ,133,428,358,65,9,5,0,2,1,2,3,3,0,25,901
5,ALMOLOYA DE JUAREZ,134,282,403,34,6,1,0,1,1,0,0,0,0,15,743
5,ALMOLOYA DE JUAREZ,135,200,294,56,0,0,0,0,0,0,0,0,0,46,596
5,ALMOLOYA DE JUAREZ,136,278,288,28,1,2,0,0,0,3,0,0,0,16,616
5,ALMOLOYA DE JUAREZ,137,205,325,16,5,2,0,4,1,0,3,1,4,20,586
5,ALMOLOYA DE JUAREZ,138,288,406,42,24,3,0,1,0,3,4,1,0,15,787
5,ALMOLOYA DE JUAREZ,139,279,185,36,35,7,1,1,0,2,0,0,0,2,548
5,ALMOLOYA DE JUAREZ,140,495,412,59,126,18,0,1,2,2,0,2,0,12,1129
5,ALMOLOYA DE JUAREZ,141,450,322,79,64,7,1,1,1,0,0,6,0,22,953
5,ALMOLOYA DE JUAREZ,142,413,327,50,78,6,0,1,0,0,0,0,2,18,895
5,ALMOLOYA DE JUAREZ,143,343,196,53,95,11,0,1,0,0,0,1,1,17,718
5,ALMOLOYA DE JUAREZ,144,418,310,62,145,16,0,1,0,0,2,1,0,19,974
5,ALMOLOYA DE JUAREZ,145,281,300,64,7,5,0,3,1,3,4,1,0,12,681
5,ALMOLOYA DE JUAREZ,146,189,257,7,7,2,1,5,2,0,0,0,0,13,483
5,ALMOLOYA DE JUAREZ,147,150,222,9,6,2,0,1,1,0,1,0,0,34,426
5,ALMOLOYA DE JUAREZ,148,116,165,21,5,8,0,0,1,3,1,0,0,7,327
5,ALMOLOYA DE JUAREZ,149,118,205,32,7,1,0,0,1,0,0,0,0,16,380
5,ALMOLOYA DE JUAREZ,150,98,110,20,0,0,0,0,0,0,1,0,0,25,254
6,ALMOLOYA DEL RIO,151,212,342,209,6,7,1,0,1,1,1,0,0,14,794
6,ALMOLOYA DEL RIO,152,139,254,297,10,10,0,0,0,0,0,1,1,7,719
6,ALMOLOYA DEL RIO,153,112,263,264,10,13,0,0,0,0,1,0,0,7,670
6,ALMOLOYA DEL RIO,154,103,288,282,0,9,0,0,0,1,0,2,0,6,691
6,ALMOLOYA DEL RIO,155,65,214,362,3,1,0,0,0,1,0,0,0,12,658
7,AMANALCO,156,189,214,30,0,3,1,15,0,0,0,0,3,29,484
7,AMANALCO,157,140,205,11,3,4,0,6,0,0,1,0,0,30,400
7,AMANALCO,158,80,351,22,3,0,0,10,0,0,0,0,0,55,521
7,AMANALCO,159,25,335,3,0,0,0,0,0,0,0,0,0,11,374
7,AMANALCO,160,201,367,197,7,3,5,135,3,2,0,1,1,100,1022
7,AMANALCO,161,88,255,46,7,2,0,384,4,2,0,0,6,145,939
7,AMANALCO,162,146,371,99,6,1,2,21,2,1,1,1,1,40,692
7,AMANALCO,163,349,468,64,9,3,2,72,0,0,0,0,0,63,1030
7,AMANALCO,164,246,281,139,5,2,2,39,0,0,1,0,4,50,769
7,AMANALCO,165,216,462,65,9,0,2,44,3,3,0,0,9,18,831
8,AMATEPEC,166,136,481,255,0,1,0,0,0,29,0,0,6,39,947
8,AMATEPEC,167,179,419,202,0,2,0,0,0,24,0,0,1,76,903
8,AMATEPEC,168,6,114,29,0,0,0,0,0,0,0,0,0,3,152
8,AMATEPEC,169,7,142,58,0,2,0,0,0,1,0,0,6,6,222
8,AMATEPEC,170,27,387,36,0,0,0,0,0,0,0,0,9,13,472
8,AMATEPEC,171,55,623,177,0,0,0,0,0,17,0,0,12,67,951
8,AMATEPEC,172,12,145,69,0,1,0,0,0,3,0,0,0,20,250
8,AMATEPEC,173,14,287,76,0,1,0,0,0,1,0,0,0,16,395
8,AMATEPEC,174,3,128,60,0,0,0,0,0,1,0,0,6,13,211
8,AMATEPEC,175,23,380,298,0,2,0,0,0,2,0,0,0,25,730
8,AMATEPEC,176,23,308,262,0,0,0,0,0,2,0,0,5,33,633
8,AMATEPEC,177,3,40,29,0,2,0,0,0,1,0,0,0,0,75
8,AMATEPEC,178,6,119,90,0,0,0,0,0,1,0,0,0,2,218
8,AMATEPEC,179,25,119,44,0,1,0,0,0,16,0,0,3,3,211
8,AMATEPEC,180,18,330,133,0,0,0,0,0,16,0,0,3,17,517
8,AMATEPEC,181,4,104,151,0,0,0,0,0,2,0,0,0,18,279
8,AMATEPEC,182,2,90,66,0,0,0,0,0,0,0,0,0,6,164
8,AMATEPEC,183,19,136,113,0,0,0,0,0,18,0,0,4,26,316
8,AMATEPEC,184,32,393,265,0,0,0,0,0,3,0,0,9,28,730
8,AMATEPEC,185,6,86,26,0,0,0,0,0,0,0,0,0,5,123
8,AMATEPEC,186,11,269,74,0,2,0,0,0,0,0,0,7,14,377
8,AMATEPEC,187,8,225,80,0,0,0,0,0,15,0,0,0,18,346
8,AMATEPEC,188,2,104,8,0,0,0,0,0,0,0,0,0,4,118
8,AMATEPEC,189,4,97,95,0,0,0,0,0,1,0,0,0,5,202
8,AMATEPEC,190,10,239,108,0,1,0,0,0,4,0,0,0,15,377
8,AMATEPEC,191,4,210,42,0,1,0,0,0,0,0,0,0,7,264
8,AMATEPEC,192,4,145,79,0,0,0,0,0,1,0,0,0,13,242
9,AMECAMECA,193,130,221,285,7,25,1,4,1,2,2,3,0,16,697
9,AMECAMECA,194,129,204,262,13,8,2,5,0,0,4,1,0,21,649
9,AMECAMECA,195,272,217,277,22,7,0,5,1,3,0,3,0,15,822
9,AMECAMECA,196,176,230,326,6,12,0,5,1,4,1,3,0,17,781
9,AMECAMECA,197,125,229,300,5,8,0,4,1,2,1,2,1,16,694
9,AMECAMECA,198,110,141,247,6,19,0,2,0,2,4,5,0,7,543
9,AMECAMECA,199,108,134,177,5,22,0,1,1,0,4,3,0,3,458
9,AMECAMECA,200,104,168,261,11,9,0,4,0,0,1,4,0,6,568
