ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
31,YUCATAN,1,MERIDA,70,153,22986,,626,,382,1541,,1870,0,0,,25331,,42,52778,2389,55167,87073,0.6289
31,YUCATAN,2,MERIDA,102,177,23689,,1017,,385,2372,,2403,0,0,,27312,,33,57211,2982,60193,94785,0.6381
31,YUCATAN,3,MERIDA,82,196,25152,,,,,2412,,3291,0,0,,28688,1426,74,61043,3662,64705,109054,0.5911
31,YUCATAN,4,MERIDA,64,168,27108,,1169,,358,2843,,2504,0,0,,24050,,72,58104,3235,61339,95126,0.6464
31,YUCATAN,5,MERIDA,51,145,28464,,,,,2816,,2384,0,0,,18877,1040,79,53660,3083,56743,88569,0.6413
31,YUCATAN,6,KANASIN,55,173,21527,,,,,1498,,1955,0,0,,31565,1989,0,58534,656,59190,107818,0.5712
31,YUCATAN,7,MERIDA,66,168,17558,,,,,1567,,1752,0,0,,29054,1124,18,51073,2652,53725,102308,0.5214
31,YUCATAN,8,UMAN,59,147,21512,,,,,303,1807,1187,241,0,28410,,9581,11,63052,2137,65189,85719,0.7607
31,YUCATAN,9,PROGRESO,87,185,20720,33755,,2398,,1040,9695,1651,264,0,,,2131,26,71680,1770,73450,104863,0.7086
31,YUCATAN,10,TIZIMIN,93,188,33139,,745,,200,1375,1137,1644,90,0,37757,,,36,76123,1492,77615,97827,0.7937
31,YUCATAN,11,VALLADOLID,64,148,20214,,4691,,331,360,2001,8991,144,162,28565,,,5,65464,1235,66699,88150,0.7565
31,YUCATAN,12,TEKAX,74,166,16688,,18522,,1382,174,1145,845,271,0,33900,,,3,72930,3004,75934,93432,0.803
31,YUCATAN,13,TICUL,64,156,26679,,1190,,183,230,655,1880,165,400,40282,,,11,71675,1082,72757,89121,0.8189
31,YUCATAN,14,TIXKOKOB,79,170,26026,,9503,,282,285,,1492,457,0,,42419,,3,80467,1445,81912,94702,0.8649
31,YUCATAN,15,IZAMAL,106,189,34386,,,,,484,155,824,57,0,43429,,4225,0,83560,1165,84725,98061,0.864
