CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND24,CAND_IND25,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND32,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,B,1,0,B,16,167,2,9,10,171,4,98,2,3,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,0,8,491,690,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/24B_A_04_210622.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,1,0,C01,11,126,2,11,10,186,25,102,0,2,0,0,2,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,0,9,490,689,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/24C1_A_02_042045.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,2,0,C02,10,149,10,5,4,169,13,118,2,3,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,9,494,689,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/24C2_A_04_234951.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,B,1,0,B,10,144,3,6,4,90,11,98,3,1,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,0,7,380,489,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/25B_A_02_020030.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,C,1,0,C01,14,131,3,3,4,101,10,83,3,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,,4,359,488,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/25C1_A_02_012920.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,B,1,0,B,15,90,5,3,4,127,4,56,2,1,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,0,12,321,449,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/26B_A_02_012931.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,C,1,0,C01,17,104,3,2,1,104,8,67,0,1,1,2,1,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,0,8,325,448,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/26C1_A_02_015904.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,B,1,0,B,9,96,3,9,6,143,21,98,4,2,0,0,0,4,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,0,6,404,566,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/27B_A_02_001941.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,C,1,0,C01,12,98,2,14,4,158,32,98,3,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,0,11,434,565,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/27C1_A_02_025240.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,C,2,0,C02,8,108,5,15,6,135,16,79,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,0,10,384,565,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/27C2_A_02_102624.jpg
