ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND24,CAND_IND25,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND32,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,26,3585,735,164,2151,406,691,276,567,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8615,2,348,8965,16146,
14,JALISCO,2,ACATLAN DE JUAREZ,11,28,1316,726,1697,1407,338,2249,131,917,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,,,,9802,3,2134,11939,17497,
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,368,3893,135,233,179,4111,416,2984,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12401,1,271,12673,17472,
14,JALISCO,4,AMACUECA,4,9,270,758,72,,93,789,201,607,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2843,,77,2920,4500,
14,JALISCO,5,AMATITAN,8,19,412,1814,914,455,86,437,2183,1148,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7475,1,205,7681,11215,
14,JALISCO,6,AMECA,43,90,1334,5769,614,2394,325,7856,5853,2072,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26350,6,949,27305,48084,
14,JALISCO,8,ARANDAS,30,91,6877,9693,574,317,229,11108,465,1431,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,816,,,,,,,,32020,,108,4855,55904,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,9,940,1013,51,81,65,118,1327,159,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762,64,1159,33243,4790,
14,JALISCO,11,ATENGO,6,10,1387,965,600,17,27,82,,176,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3259,1,222,9366,4447,
14,JALISCO,12,ATENGUILLO,5,8,147,744,7,36,15,1286,,84,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,,82,3844,3517,
14,JALISCO,13,ATOTONILCO EL ALTO,27,78,3276,3747,461,2556,369,6002,3922,1522,1960,,,,,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25723,,105,3364,47109,
14,JALISCO,14,ATOYAC,6,14,1188,2177,48,,503,285,53,140,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,1,71,2397,6922,
14,JALISCO,15,AUTLAN DE NAVARRO,30,80,2351,6666,480,604,726,6003,614,7920,502,,,,,,,,,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26579,7,949,26679,48322,
14,JALISCO,16,AYOTLAN,19,49,771,1493,131,6508,178,240,1519,658,5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17180,,151,4561,28926,
14,JALISCO,17,AYUTLA,12,20,2398,536,,269,,3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6715,7,759,27345,10392,
14,JALISCO,19,BOLAÑOS,3,4,956,540,12,,7,63,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647,2,731,17913,2186,
14,JALISCO,20,CABO CORRIENTES,6,18,79,2506,61,,307,2273,,836,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6124,2,147,6864,9006,
14,JALISCO,117,CAÑADAS DE OBREGON,7,9,887,48,13,1002,4,163,,44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2166,28,1002,28504,3755,
14,JALISCO,21,CASIMIRO CASTILLO,14,27,862,2240,84,264,124,3687,,1382,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8707,1,51,1699,15977,
14,JALISCO,31,CHAPALA,19,62,6766,4974,,289,960,6813,221,960,959,,,,,,,,,,,,,,,,,,,,1179,,,,,,,,,,,,,,,,,,,23121,,209,6330,37393,
14,JALISCO,32,CHIMALTITAN,3,5,950,1004,,,1,278,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241,9,402,9118,2812,
14,JALISCO,33,CHIQUILISTLAN,4,8,183,1267,789,2,39,123,17,481,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919,71,788,15987,4346,
14,JALISCO,22,CIHUATLAN,17,45,411,4485,5928,288,578,,1111,578,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,,,15128,80,1266,50867,26588,
14,JALISCO,25,COCULA,17,38,1608,1990,240,1681,173,3581,,3723,154,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,13296,11,276,8066,22749,
14,JALISCO,26,COLOTLAN,15,29,2213,2016,80,61,73,965,,737,49,,,,,,,,,,,,,,,,,,,,,,,2551,,,,,,,,,,,,,,,,8745,2,394,13692,14727,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,358,606,,1529,,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3486,5,324,9074,4955,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,24,4460,1417,,,81,3935,,101,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10032,,75,3561,13082,
14,JALISCO,29,CUAUTLA,4,5,919,346,,,,179,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,,458,10490,2172,
14,JALISCO,30,CUQUIO,12,26,129,1094,,,4858,2565,,479,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9201,1,21,1494,14066,
14,JALISCO,34,DEGOLLADO,16,34,2202,4336,203,1243,71,261,394,517,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9271,4,309,9514,18356,
14,JALISCO,35,EJUTLA,2,4,,394,528,,5,296,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254,5,632,23758,1924,
14,JALISCO,9,EL ARENAL,5,22,2454,1068,,216,518,2951,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9143,,53,2294,14243,
14,JALISCO,39,EL GRULLO,12,31,3408,2615,296,68,152,1093,463,1494,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9686,1,93,3013,19541,
14,JALISCO,56,EL LIMON,6,10,90,991,325,11,112,97,,1396,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059,17,343,9631,5459,
14,JALISCO,72,EL SALTO,26,170,3976,13352,941,1302,1049,26620,666,12293,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60973,,25,1279,116230,
14,JALISCO,36,ENCARNACION DE DIAZ,31,66,12511,6174,213,,200,458,272,1177,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21159,106,592,21857,37578,
14,JALISCO,37,ETZATLAN,11,25,2485,764,17,167,50,4546,935,259,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,,,,,,,9711,,269,9980,14700,
14,JALISCO,38,GOMEZ FARIAS,8,19,174,3391,64,294,61,2185,192,808,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7196,3,252,7451,11914,
14,JALISCO,40,GUACHINANGO,8,11,238,648,169,763,,602,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429,12,306,10004,3604,
14,JALISCO,41,GUADALAJARA,982,2185,95611,106938,10458,22410,17569,285663,12451,183950,16421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751471,,109,2538,1263338,
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,1492,1659,389,,,603,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4257,913,24572,776956,6649,
14,JALISCO,43,HUEJUCAR,5,10,400,974,,,65,1684,,368,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3508,,140,4397,5270,
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,16,1963,1329,,,48,587,,535,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4472,,120,3628,7162,
