"Cabecera distrital","Casilla","CI 1","CI 10","CI 11","CI 12","CI 2","CI 3","CI 4","CI 5","CI 6","CI 7","CI 8","Cve. Municipio","Distrito","FXM","Lista Nominal","MC","MORENA","municipality","Municipio","No registrados","Nulos","PAN","PAN-PRD","PAN-PRI","PAN-PRI-PRD","PES","PRD","PRI","PRI-PRD","PT","PT-MORENA","PVEM","Recuento","RSP","Sección","source_file"
"Tacámbaro","B1","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","9","579","6","12","ACUITZIO","Acuitzio","0","12","67",NA,NA,NA,NA,"29","19","4","80","3","2","1",NA,"1","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C1","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","7","578","11","12","ACUITZIO","Acuitzio","0","10","49",NA,NA,NA,NA,"17","33","3","67","5","0","1",NA,"1","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C2","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","15","578","6","16","ACUITZIO","Acuitzio","0","11","63",NA,NA,NA,NA,"52","30","1","80","3","0","1",NA,"1","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","10","484","2","1","ACUITZIO","Acuitzio","0","13","33",NA,NA,NA,NA,"46","13","3","40","1","4","1",NA,"10","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C1","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","6","483","3","4","ACUITZIO","Acuitzio","0","21","60",NA,NA,NA,NA,"49","19","1","39","1","1","1",NA,"10","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","16","570","6","14","ACUITZIO","Acuitzio","0","7","31",NA,NA,NA,NA,"40","16","3","74","1","0","1",NA,"2","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C1","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","13","568","6","16","ACUITZIO","Acuitzio","0","4","53",NA,NA,NA,NA,"45","26","7","63","4","0","1",NA,"2","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C2","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","19","568","8","14","ACUITZIO","Acuitzio","0","14","34",NA,NA,NA,NA,"29","23","4","75","5","1","1",NA,"2","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","11","544","3","16","ACUITZIO","Acuitzio","0","11","60",NA,NA,NA,NA,"32","24","6","52","4","1","1",NA,"3","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C1","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","16","544","6","22","ACUITZIO","Acuitzio","0","13","51",NA,NA,NA,NA,"53","26","7","47","5","1","1",NA,"3","Ayuntamiento_Acuitzio.xlsx"
