ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,46,140,885,2394,597,1629,387,291,460,18558,12355,10,37556,2011,39577,83128,0.476
12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,57,155,811,2656,555,1988,308,395,435,20708,13206,34,41062,2319,43415,91879,0.4725
12,GUERRERO,3,ACAPULCO DE JUAREZ,69,175,4066,4394,786,1521,241,498,368,20256,12657,32,44787,2087,46906,96657,0.4852
12,GUERRERO,4,ACAPULCO DE JUAREZ,79,172,3640,4125,701,1397,337,573,352,18589,13323,30,43037,2005,45072,95120,0.4738
12,GUERRERO,5,ACAPULCO DE JUAREZ,58,154,2382,3705,532,1175,170,345,267,17244,13914,14,39734,1993,41741,92768,0.4499
12,GUERRERO,6,ACAPULCO DE JUAREZ,53,140,2421,2773,556,1072,146,330,321,16781,12555,42,36955,1933,38930,86249,0.4513
12,GUERRERO,7,ACAPULCO DE JUAREZ,39,147,1996,2495,474,887,208,545,276,19648,11843,24,38372,1828,40224,91593,0.4391
12,GUERRERO,8,ACAPULCO DE JUAREZ,80,154,1128,5702,386,981,603,211,295,24100,10435,43,43841,2005,45889,81115,0.5657
12,GUERRERO,9,ACAPULCO DE JUAREZ,62,146,1725,3029,517,851,206,275,300,20405,12342,67,39650,2771,42488,83615,0.5081
12,GUERRERO,10,TECPAN DE GALEANA,119,183,352,3691,655,2250,192,229,393,22983,16535,12,47280,1885,49177,85282,0.5766
12,GUERRERO,11,ZIHUATANEJO DE AZUETA,108,180,786,2591,553,1432,451,367,183,18473,18782,22,43618,1461,45101,85811,0.5255
12,GUERRERO,12,ZIHUATANEJO DE AZUETA,101,179,606,2594,1360,1333,534,372,200,18910,20380,6,46289,1245,47540,84840,0.5603
12,GUERRERO,13,SAN MARCOS,110,171,5840,1932,438,1212,714,133,366,25050,17128,22,52813,3340,56175,81432,0.6898
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,156,463,3465,926,803,633,106,2006,18447,20984,11,47833,2624,50468,74737,0.6752
12,GUERRERO,15,SAN LUIS ACATLAN,105,166,2178,8277,1118,1305,357,73,424,14624,21211,38,49567,2720,52325,75802,0.6902
12,GUERRERO,16,OMETEPEC,67,138,6005,3856,250,851,521,224,172,18149,19575,30,49603,2142,51775,70916,0.73
12,GUERRERO,17,COYUCA DE CATALAN,160,208,679,4895,190,1042,117,55,41,26815,23426,0,57260,1183,58443,89337,0.6541
12,GUERRERO,18,PUNGARABATO,150,222,401,722,479,2410,45,119,90,25781,29684,7,59731,1046,60784,97275,0.6248
12,GUERRERO,19,EDUARDO NERI,96,149,2945,2237,342,819,389,92,378,22462,13921,4,43585,1786,45375,70045,0.6477
12,GUERRERO,20,TELOLOAPAN,184,222,532,8408,2486,1143,140,215,122,15426,18983,27,47455,2021,49503,79678,0.6212
12,GUERRERO,21,TAXCO DE ALARCON,126,203,9782,2148,2106,991,565,423,1590,26305,11543,28,55453,2395,57876,96929,0.597
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,71,164,1127,3880,1273,1944,307,1457,337,16464,13549,33,40338,1996,42367,93531,0.4529
12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,112,182,4461,6196,925,1567,1140,314,205,19597,16780,36,51185,1990,53211,90270,0.5894
12,GUERRERO,24,TIXTLA DE GUERRERO,118,178,810,7619,967,907,213,185,1276,14793,15339,3,42109,2797,44909,84857,0.5292
12,GUERRERO,25,CHILAPA DE ALVAREZ,84,163,915,2175,1354,1137,464,334,376,21774,15575,28,44104,2946,47078,79940,0.5889
12,GUERRERO,26,ATLIXTAC,117,188,8195,5031,2122,1518,1480,154,155,18605,21155,8,58415,2834,61257,81986,0.7471
12,GUERRERO,27,TLAPA DE COMONFORT,94,188,1217,1770,1257,2589,325,348,1013,22301,21302,11,52122,2461,54594,97902,0.5576
12,GUERRERO,28,TLAPA DE COMONFORT,102,177,326,6454,231,1062,93,227,308,14981,24900,9,48582,2667,51258,78808,0.6504
