ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,58,TECPAN DE GALEANA,66,102,170,12422,7875,419,201,1942,315,718,93,243,126,242,206,4,24972,822,25798,45293,0.5695
12,GUERRERO,59,TELOLOAPAN,78,103,325,4180,9016,591,536,5421,317,681,58,49,71,129,253,4,21627,1138,22769,38774,0.5872
12,GUERRERO,60,TEPECOACUILCO DE TRUJANO,31,48,2985,4434,1348,2018,133,2070,122,590,44,69,50,131,160,1,14154,573,14728,24274,0.6067
12,GUERRERO,61,TETIPAC,23,27,1464,3176,407,139,73,826,89,61,18,43,67,19,9,2,6391,181,6574,9562,0.6875
12,GUERRERO,62,TIXTLA DE GUERRERO,27,50,78,2048,1465,145,175,149,135,195,26,25,112,35,23,0,4611,529,5140,26379,0.1948
12,GUERRERO,63,TLACOACHISTLAHUACA,14,28,1770,2272,511,3041,43,78,69,111,367,11,9,292,626,2,9200,456,9658,13270,0.7278
12,GUERRERO,64,TLACOAPA,10,15,10,2014,1282,63,21,45,27,511,9,5,3,28,19,2,4037,204,4243,5661,0.7495
12,GUERRERO,65,TLALCHAPA,18,24,18,2161,3923,150,8,20,19,190,2,8,6,25,131,4,6661,68,6733,9941,0.6772
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,8,12,10,1729,368,772,16,34,14,168,3,6,4,6,7,0,3137,111,3248,5058,0.6421
12,GUERRERO,67,TLAPA DE COMONFORT,36,94,185,9823,4478,3237,335,1099,171,1288,103,300,619,89,171,4,21898,1411,23313,54287,0.4294
12,GUERRERO,68,TLAPEHUALA,22,34,28,5216,6029,30,24,68,171,286,3,24,7,28,40,0,11954,115,12069,16842,0.7166
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,52,50,5949,7381,48,61,194,869,130,7,17,19,13,34,0,14772,207,14979,21328,0.7023
12,GUERRERO,70,XALPATLAHUAC,14,20,20,2798,1303,257,27,1017,16,140,15,20,8,6,14,0,5641,236,5877,9098,0.6459
12,GUERRERO,71,XOCHIHUEHUETLAN,8,13,59,787,546,1097,37,62,979,201,13,4,5,68,144,0,4002,105,4107,5782,0.7103
