ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,81,313,5324,1189,5448,,503,194,8681,4755,44,18,3,127,,852,,,,,,,,27451,49,1466,28966,40024,http://iepct.mx/elecciones2018/PMR/1.pdf
27,TABASCO,2,CARDENAS,122,302,675,6308,27212,1422,1450,1235,879,69115,801,233,104,22,157,499,,,,,,,,,110112,47,4326,114485,172275,http://iepct.mx/elecciones2018/PMR/2.pdf
27,TABASCO,3,CENTLA,64,135,1180,6650,13070,827,611,1043,632,18896,7328,217,124,10,53,,,570,,,,,,,51211,16,2453,53680,72426,http://iepct.mx/elecciones2018/PMR/3.pdf
27,TABASCO,4,CENTRO,278,824,11084,34601,22964,8879,6565,12835,4056,226168,,1139,238,87,244,4768,,,,,,,,,333628,247,8261,342136,505368,http://iepct.mx/elecciones2018/PMR/4.pdf
27,TABASCO,5,COMALCALCO,97,259,883,16078,28088,1622,787,927,1025,55563,704,656,168,21,126,,,,,,,,,,106648,16,3196,109860,148837,http://iepct.mx/elecciones2018/PMR/5.pdf
27,TABASCO,6,CUNDUACAN,59,154,1312,6287,10104,1298,1120,1468,528,25513,381,455,96,13,105,275,,,8426,,,,,,57381,8,2728,60117,91994,http://iepct.mx/elecciones2018/PMR/6.pdf
27,TABASCO,7,EMILIANO ZAPATA,16,41,3773,1275,441,5143,766,739,53,3483,,109,19,12,2,,,,,,,,,,15815,2,786,16603,22973,http://iepct.mx/elecciones2018/PMR/7.pdf
27,TABASCO,8,HUIMANGUILLO,97,238,439,14979,29218,873,1079,796,490,37096,503,358,125,12,160,,,,,,,,,,86128,53,4820,91001,128545,http://iepct.mx/elecciones2018/PMR/8.pdf
27,TABASCO,9,JALAPA,28,54,141,3548,3902,4833,,209,313,5471,204,83,11,0,21,,,,,278,,,,,19014,0,896,19910,27884,http://iepct.mx/elecciones2018/PMR/9.pdf
27,TABASCO,10,JALPA DE MENDEZ,37,100,221,6649,6958,5621,673,525,639,21963,,109,28,8,32,,,,,,3323,,,,46749,25,1745,48519,62418,http://iepct.mx/elecciones2018/PMR/10.pdf
27,TABASCO,11,JONUTA,26,47,60,601,7278,86,,130,5770,4649,,53,23,2,26,,,,,,,,,,18678,2,656,19336,22847,http://iepct.mx/elecciones2018/PMR/11.pdf
27,TABASCO,12,MACUSPANA,82,202,1026,3679,7793,11870,893,862,490,38877,3993,386,107,18,91,,,,,,,,1756,,71841,142,3538,75521,116099,http://iepct.mx/elecciones2018/PMR/12.pdf
27,TABASCO,13,NACAJUCA,37,144,3072,3071,5111,12057,1036,1273,521,38386,351,250,63,24,47,,,,,,,,,,65262,38,2728,68028,92145,http://iepct.mx/elecciones2018/PMR/13.pdf
27,TABASCO,14,PARAISO,45,117,739,4117,11694,891,425,691,645,23437,181,125,35,5,71,,,,,,,3189,,,46245,91,1747,48083,68267,http://iepct.mx/elecciones2018/PMR/14.pdf
27,TABASCO,15,TACOTALPA,27,64,317,2350,2146,4809,266,3071,454,7564,446,147,28,15,75,,,,,,,,,817,22505,2,1400,23907,33033,http://iepct.mx/elecciones2018/PMR/15.pdf
27,TABASCO,16,TEAPA,26,68,239,4324,1883,5181,366,514,3817,8154,503,39,19,7,29,95,,,,,,,,,25170,3,1404,26577,39754,http://iepct.mx/elecciones2018/PMR/16.pdf
27,TABASCO,17,TENOSIQUE,44,82,191,10779,1517,1329,,368,166,14716,228,24,8,4,20,,,,,,,,,,29350,3,1013,30366,42729,http://iepct.mx/elecciones2018/PMR/17.pdf
