ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PD,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,DURANGO,48,147,9094,8477,2970,2215,5657,4130,2964,1348,12042,1164,50061,49,2366,52476,95637,
10,DURANGO,2,DURANGO,66,159,9057,9109,2253,1889,5384,3101,2245,1303,11610,779,46730,59,2100,48889,94281,
10,DURANGO,3,DURANGO,48,148,8932,11378,2729,1730,5070,2938,2729,1647,10525,989,48667,30,2147,50844,94875,
10,DURANGO,4,DURANGO,66,166,8986,8092,2722,1527,5871,3161,2717,1014,10129,687,44906,75,2420,47401,95844,
10,DURANGO,5,DURANGO,101,180,11812,11135,4256,3313,5443,4207,3642,1835,13244,1209,60096,57,2675,62828,100043,
10,DURANGO,6,PUEBLO NUEVO,115,165,6729,8492,1844,1884,3193,667,1840,865,8620,2229,36363,27,2015,38405,71660,
10,DURANGO,7,SANTIAGO PAPASQUIARO,151,195,6733,10298,2225,1155,2101,555,2224,960,10310,530,37091,14,1971,39076,75368,
10,DURANGO,8,EL ORO,182,234,8933,12206,3094,1259,2577,500,2652,1012,10557,550,43340,4,2377,45721,86926,
10,DURANGO,9,MAPIMI,107,165,7291,11242,1927,822,2807,798,1928,1194,13729,840,42578,22,2166,44766,76330,
10,DURANGO,10,GOMEZ PALACIO,73,141,6085,8007,1291,911,2071,2205,1296,1040,17048,1826,41780,16,1925,43721,82336,
10,DURANGO,11,GOMEZ PALACIO,77,161,8130,11294,1514,1787,2127,1153,1516,1201,20392,1425,50539,42,2201,52782,91358,
10,DURANGO,12,GOMEZ PALACIO,56,136,7553,9836,1411,1563,2050,1136,1411,992,18711,1200,45863,28,1869,47760,82966,
10,DURANGO,13,LERDO,52,139,7395,9798,1615,1032,1908,634,1608,685,14215,589,39479,29,1664,41172,81931,
10,DURANGO,14,CUENCAME,112,174,7393,10604,2070,5178,3089,1431,2052,973,8183,3691,44664,12,2892,47568,81812,
10,DURANGO,15,NOMBRE DE DIOS,100,169,4371,20749,971,6680,4504,1234,971,663,7613,808,48564,11,2609,51184,84053,
