uniqueid,year,incumbent_party_Horacio
11001,1997,PAN
11001,2000,PRD_PT_PAS
11001,2003,PAN
11001,2006,PRI
11001,2009,PRI
11001,2012,PAN
11001,2015,PAN
11001,2018,NA
11002,1997,PRD
11002,2000,PRD
11002,2003,PAN
11002,2006,PRD_PT
11002,2009,PRI_PRD
11002,2012,PAN_PANAL
11002,2015,PRD
11002,2018,NA
11003,1997,PAN
11003,2000,PAN
11003,2003,PAN
11003,2006,PRD_PT
11003,2009,PRI_PRD_PVEM
11003,2012,PRI_PVEM
11003,2015,PAN
11003,2018,NA
11004,1997,PRI
11004,2000,PAN
11004,2003,PAN
11004,2006,PRI_PVEM
11004,2009,PRI_PVEM
11004,2012,MC
11004,2015,PAN
11004,2018,NA
11005,1997,PAN
11005,2000,PRI
11005,2003,MC
11005,2006,PAN
11005,2009,PAN
11005,2012,PRI_PVEM
11005,2015,PAN
11005,2018,NA
11006,1997,PRI
11006,2000,PRI
11006,2003,PRI
11006,2006,PAN
11006,2009,PAN
11006,2012,PAN
11006,2015,PAN
11006,2018,NA
11007,1997,PAN
11007,2000,PAN
11007,2003,PAN
11007,2006,PAN
11007,2009,PAN
11007,2012,PAN_PANAL
11007,2015,PAN
11007,2018,NA
11008,1997,PRI
11008,2000,PRI
11008,2003,PAN
11008,2006,PRI
11008,2009,PAN
11008,2012,PRI_PVEM
11008,2015,PAN
11008,2018,NA
11009,1997,PAN
11009,2000,PRI
11009,2003,PAN
11009,2006,PAN
11009,2009,PRI
11009,2012,PAN_PANAL
11009,2015,Independent
11009,2018,NA
11010,1997,PAN
11010,2000,PRD
11010,2003,PAN
11010,2006,PAN
11010,2009,PAN
11010,2012,PAN
11010,2015,PRI_PVEM_PANAL
11010,2018,NA
11011,1997,PAN
11011,2000,PAN
11011,2003,PAN
11011,2006,PAN
11011,2009,PAN
11011,2012,PRI_PVEM
11011,2015,PRD
11011,2018,NA
11012,1997,PRI
11012,2000,PAN
11012,2003,PAN
11012,2006,PRI
11012,2009,PAN
11012,2012,PRD
11012,2015,PAN
11012,2018,NA
11013,1997,PAN
11013,2000,PRI
11013,2003,PVEM
11013,2006,PAN
11013,2009,MC
11013,2012,PAN
11013,2015,PAN
11013,2018,NA
11014,1997,PRI
11014,2000,PRD_PT_PAS_PCD
11014,2003,PAN
11014,2006,PRI
11014,2009,PAN
11014,2012,PRI
11014,2015,PAN
11014,2018,NA
11015,1997,PRI
11015,2000,PRD
11015,2003,PRI
11015,2006,PAN_PANAL
11015,2009,PRI_PRD
11015,2012,PRI
11015,2015,PRI_PVEM_PANAL
11015,2018,NA
11016,1997,PAN
11016,2000,PRI
11016,2003,PAN
11016,2006,PRI
11016,2009,PT
11016,2012,PRD
11016,2015,PAN
11016,2018,NA
11017,1997,PAN
11017,2000,PAN
11017,2003,PAN
11017,2006,PAN
11017,2009,PAN
11017,2012,PAN_PANAL
11017,2015,PAN
11017,2018,NA
11018,1997,PRI
