uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
11006,2018,PAN,MARIA ELENA RAMOS LOYOLA,INDEP,,0.17207995
11007,1991,PAN,CARLOS ARANDA PORTAL,PRI,,0.0208767963
11007,1994,PRI,LEOPOLDO ALMANZA,PAN,,0.1756599452
11007,1997,PAN,RICARDO SUAREZ INDA,PRI,ARTURO GUERRERO OROZCO,0.1448553209
11007,2000,PAN,JOSE MANUEL MENDOZA MARQUEZ,PRI,,0.2873042425
11007,2003,PAN,JOSE RIVERA CARRANZA,PRI,,0.1569386354
11007,2006,PAN,GERARDO HERNANDEZ GUTIERREZ,PRI,,0.4618144273
11007,2009,PAN,RUBI LAURA LOPEZ SILVIA,PRI_PRD,,0.0537322967
11007,2012,PAN_PNA,ISMAEL PEREZ ORDAZ,PRI_PVEM,,0.0925658752
11007,2015,PAN,RAMON IGNACIO LEMUS MUÑOS LEDO,PRI_PVEM_PNA,,0.1032488495
11007,2018,PAN,ELVIRA PANIAGUA RODRIGUEZ,MORENA_PT_PES,,0.0950695544
11008,1991,PRI,FILEMON RAMIREZ RODRIGUEZ,PAN,,0.3149596676
11008,1994,PRI,JORGE PEREZ CABRERA,PAN,,0.4015211816
11008,1997,PRI,PASCUAL RAMIREZ CORDOBA,PAN,ARTURO HERNANDEZ ZAMORA,0.1731400229
11008,2000,PRI,ALICIA VILLANUEVA PAZ,PAN,,0.3219202259
11008,2003,PAN,ULISES MAGAÑA HERNANDEZ,PRI,,0.0552182952
11008,2006,PRI,LEOPOLDO VILLANUEVA CHAVEZ,PAN,,0.2511065211
11008,2009,PAN,RODOLFO MADRIGAL RAMIREZ,PRI,,0.0591829485
11008,2012,PRI_PVEM,MANUEL PEDROZA RAMIREZ,PAN,,0.3052820054
11008,2015,PAN,JUAN ARTEMIO LEON ZARATE,PRI_PVEM_PNA,,0.0017452007
11008,2018,PRI,GUSTAVO ADOLFO ALFARO REYES,PAN,,0.0793273314
11009,1991,PRI,FRANCISCO JOSE RAMIREZ MARTINEZ,PAN,,0.4844553037
11009,1994,PRI,SERGIO PRADO TAPIA,PAN,,0.2701981938
11009,1997,PAN,JOSE ALBERTO MENDEZ PEREZ,PRI,ANTONIO PARAMO ARIAS,0.0226035564
11009,2000,PRI,ISIDRO FLORES LAGUNA,PAN,,0.0328067455
11009,2003,PAN,MOISES ARNULFO LOPEZ PORTILLO R.,PRI,,0.0791059494
11009,2006,PAN_PNA,MARIANO VELAZQUEZ DIAZ,PRI,,0.1558576461
11009,2009,PRI,FRANCISCO JOSE RAMIREZ MARTINEZ,PAN,,0.1161911461
11009,2012,PAN_PNA,PABLO MARTIN LOPEZPORTILLO RODRIGUEZ,PRI_PVEM,,0.3169188073
11009,2015,INDEP,JOSE ALBERTO MENDEZ PEREZ,PAN,,0.0398977763
11009,2018,MORENA_PT_PES,JOSE CARLOS NIETO JUAREZ,PAN,,0.1164986935
11010,1991,PRI,OCTAVIO PEREZ GUTIERREZ,PAN,,0.1265365148
11010,1994,PRD,GONZALO RAMOS GONZALEZ,PAN,,0.1275369582
11010,1997,PAN,JORGE IGNACIO TAPIA SANTAMARIA,PRI,OCTAVIO PEREZ GUTIERREZ,0.118995367
11010,2000,PRD,JOSE CRUZ MARTINEZ MARTINEZ,PAN,,0.088814086
11010,2003,PAN,JOSE ENRIQUE VELAZQUEZ PEREZ,PRD,,0.165336374
11010,2006,PAN,CARLOS LOPEZ RUIZ,PRD_PT,,0.0616024974
11010,2009,PAN,JOSE ENRIQUE VELAZQUEZ PEREZ,PRI,,0.1042584435
11010,2012,PAN,TARCICIO GRANADOS MENDOZA,PRD,,0.083728278
11010,2015,PRI_PVEM_PNA,ISRAEL MORALES BERMUDEZ,PAN,,0.2456412912
11010,2018,PAN,ARACELI PEREZ GRANADOS,PRI,,0.0675862069
11011,1991,PAN,CARLOS ROMERO VILLEGAS,PRI,,0.130298676
11011,1994,PRI,CARLOS NITO ROSALES,PAN,,0.0494091329
11011,1997,PAN,LUIS ENRIQUE TORRES LEON,PRI,RICARDO ENRIQUE CORONA ALVAREZ,0.1581832669
11011,2000,PAN,ALVARO MANCERA ARZATE,PRI,,0.2600689405
11011,2003,PAN,CARLOS ROMERO VILLEGAS,PRD,,0.1812549528
11011,2006,PAN_PNA,J JESUS OVIEDO HERRERA,PRD_PT,,0.3982909609
11011,2009,PAN,ELIAS RUIZ RAMIREZ,PVEM,,0.2851147865
11011,2012,PRI_PVEM,JUAN ABOYTES VERA,PAN,,0.0427707676
11011,2015,PRD,HUGO ESTEFANIA MONROY,PAN,,0.0161811373
11011,2018,PAN,ARIEL ENRIQUE CORONA RODRIGUEZ,PRD,,0.0321806962
11012,1991,PRI,J JESUS ESPINOZA TRUJILLO,PAN,,0.0334946757
11012,1994,PAN,CARLOS RAMIREZ HERNANDEZ,PRI,,0.1441128846
11012,1997,PRI,EMMANUEL PADILLA DELGADO,PAN,FRANCISCO DANIEL SANCHEZ IBARRA,0.0518565268
11012,2000,PAN,J JESUS SOTO CASTRO,PRI,,0.1522248244
11012,2003,PAN,CARLOS RAMIREZ HERNANDEZ,PRI,,0.0706464147
11012,2006,PRI,RUBEN OLMEDO ROSAS,PAN,,0.0222199362
11012,2009,PAN,MOISES FELIPE MUÑOZ CORTEZ,PRD,,0.118384157
11012,2012,PRD,GERARDO ELIZARRARAS VELA,PAN,,0.1205247767
11012,2015,PAN,MOISES FELIPE MUÑOZ CORTES,PRD,,0.3061192753
11012,2018,PAN,ANA ROSA BUENO MACIAS,MC,,0.2818963316
11013,1991,PRI,MODESTO JAIME LUGO HERAS,PAN,,0.5298081908
11013,1994,PRI,J JESUS JARAMILLO MENDEZ,PAN,,0.2545852263
11013,1997,PAN,MIGUEL VALENCIA CARDENAS,PRI,GUSTAVO VALTIERRA ROMERO,0.2298484848
11013,2000,PRI,MARCELO ORTEGA MEDINA,PVEM,,0.0865829478
11013,2003,PVEM,MIGUEL VALENCIA CARDENAS,PRD,,0.0110916521
11013,2006,PAN,RUBEN DARIO PIÑA MARTINEZ,PASD,,0.0313446596
11013,2009,CONVE,DAVID TOMAS GALVAN PARRA,PRI_PRD,,0.0660497766
11013,2012,PAN,CESAR EMILIO ZARAZUA REYES,PRI_PVEM,,0.0066831174
11013,2015,PAN,CRISTIAN FLAVIO RIOS GALICIA,PRI,,0.2312697695
11013,2018,PAN,MARIO LUIS ARVIZU MENDEZ,MC,,0.0756028868
11014,1991,PAN,DARIO ROMERO FUENTES,PRI,,0.1822634919
11014,1994,PRI,LUIS GERARDO RUBIO VALDEZ,PAN,,0.3058317074
11014,1997,PRI,JESUS HERNANDEZ HERNANDEZ,PDM,GILBERTO GONZALEZ,0.0240960655
11014,2000,PRD_PT_CONVE_PAS,GILBERTO GONZALEZ,PAN,,0.0108947896
11014,2003,PAN,FELIPE DE JESUS GARCIA OLVERA,PT,,0.1347069933
11014,2006,PRI,LUIS GERARDO RUBIO VALDEZ,PAN,,0.0065651693
11014,2009,PAN,PABLO GONZALEZ CANCINO,PRI,,0.2458452584
11014,2012,PRI,ADRIAN HERNANDEZ ALEJANDRI,PAN,,0.1435593939
11014,2015,PAN,JUAN RENDON LOPEZ,PRI,,0.0513268156
11014,2018,PRI,MIGUEL ANGEL RAYAS ORTIZ,PAN,,0.088823951
11015,1991,PRI,JOSE TOMAS MACLOVIO ZAVALA,PAN,,0.067709173
11015,1994,PRI,ARNULFO VAZQUEZ NIETO,PAN,,0.2824833843
