ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_NVA_ALIANZA,PRI_PT,PRI_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,AGUASCALIENTES,452,1058,117189,81101,11443,2721,4995,6215,6143,10153,4401,397,1652,236,29,,,39108,,,,,,196,285784,7808,293788,606018,0.4848
1,AGUASCALIENTES,2,ASIENTOS,17,52,7130,3624,278,137,514,299,7774,366,323,25,21,185,16,,,,,,,,,9,20692,614,21315,32191,0.6621
1,AGUASCALIENTES,3,CALVILLO,31,73,12334,6178,2048,543,647,356,472,326,420,20,55,13,0,,,,,,,,,12,23412,705,24129,44001,0.5484
1,AGUASCALIENTES,4,COSIO,5,17,929,1646,83,89,1781,175,148,218,453,1,7,4,0,2101,,,,,,,,12,7635,232,7879,10895,0.7232
1,AGUASCALIENTES,5,JESUS MARIA,22,109,16009,11772,922,434,768,548,901,1095,531,26,18,20,0,,1928,,,,,,,39,34972,922,35933,72369,0.4965
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,49,2510,2294,8085,445,757,273,2302,239,444,20,17,44,3,,,,,,,,563,49,17996,640,18685,29249,0.6388
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,57,7470,3938,308,342,936,1434,3343,526,711,38,46,76,46,,,,378,,,181,,28,19773,673,20474,35392,0.5785
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,12,1882,948,258,235,83,386,308,335,38,7,4,0,1,,,,,,405,,,1,4890,56,4947,6514,0.7594
1,AGUASCALIENTES,9,TEPEZALA,10,23,3554,445,225,315,3617,271,1504,178,,8,0,19,4,,,,,,,,,2,10140,291,10433,14442,0.7224
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,43,4974,5414,267,237,631,134,1552,354,445,,,,,,,,,401,,,,8,14409,424,14841,28457,0.5215
1,AGUASCALIENTES,11,EL LLANO,8,25,1998,1086,2402,2390,556,763,223,77,52,11,74,2,2,,,,,,,,,2,9636,318,9956,14108,0.7057
