ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PVEM,PT,PUP,NA,MORENA,PSD,PMR,PAN_PRD_MC,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,01,ACATLAN DE PEREZ FIGUEROA,113,217,,,3707,269,,18541,192,,20626,36167,,,,,,79502,4,3341,82847,105398,
20,OAXACA,02,SAN JUAN BAUTISTA TUXTEPEC,70,192,4626,4829,,437,24240,,206,194,7261,,32095,,,,,73888,7,3009,76904,110258,
20,OAXACA,03,LOMA BONITA,87,200,,,,1552,,,554,1135,16161,21384,36600,,,,,77386,10,3190,80586,105507,
20,OAXACA,04,TEOTITLAN DE FLORES MAGON,119,220,,,,2391,,,2155,,9553,23932,31334,,,,,69365,23,4641,74029,106538,
20,OAXACA,05,ASUNCION NOCHIXTLAN,166,269,,,,3370,,,2385,1536,10537,18780,33103,,,,,69711,20,3459,73190,111965,
20,OAXACA,06,HEROICA CIUDAD DE HUAJUAPAN DE LEON,156,254,,,,2427,1312,,589,1221,15340,,28893,,19700,,,69482,65,3498,73045,120044,
20,OAXACA,07,PUTLA VILLA DE GUERRERO,109,227,,1401,,1509,,,,2088,14034,,37586,,,12475,,69093,14,4820,73927,117328,
20,OAXACA,08,HEROICA CIUDAD DE TLAXIACO,128,233,,,,1945,,,642,629,15790,13937,32140,,,,,65083,33,4258,69374,110309,
20,OAXACA,09,IXTLAN DE JUAREZ,127,228,10019,1522,,1396,1271,,719,1510,8172,,38933,,,,,63542,26,3020,66588,108193,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,187,,,,396,,,,253,5973,10850,30707,,,,,48179,10,2885,51074,94102,
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,258,,,,848,,,1141,661,18112,25182,38537,,,,,84481,11,3980,88472,125587,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,62,186,,,,1797,,,819,2230,8794,13835,43685,,,,,71160,36,2563,73759,114262,
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,218,11760,1908,,1689,1065,,1061,2744,12053,,48433,,,,,80713,66,3023,83802,128612,
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,222,13488,3268,,1756,1467,,634,2184,15102,,45422,,,,,83321,51,3410,86782,127988,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,40,194,,,,6492,,,1438,1875,16884,10406,44808,,,,,81903,17,3330,85250,126993,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,217,,,,1204,,,1033,,21270,,35404,15332,,,,74243,16,4065,78324,118087,
20,OAXACA,17,TLACOLULA DE MATAMOROS,120,247,,,,706,,,332,3079,9563,15629,40453,,,,,69762,20,3504,73286,128676,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,90,195,,,,3386,,,349,869,8198,15605,39740,,,,,68147,11,2893,71051,101339,
20,OAXACA,19,SALINA CRUZ,86,215,,,,959,1059,,215,928,7152,,49619,,22731,,605,83268,18,3037,86323,122668,
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,88,207,,2171,,3309,,,3621,1020,9019,,30610,,,22820,,72570,70,5809,78449,114231,
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,91,184,,,,1047,,,522,372,12136,12225,29724,,,,,56026,14,3483,59523,98112,
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,101,226,,,,1666,,,452,,22694,28165,31921,,,,,84898,7,3819,88724,123350,
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,201,,,,2271,,,138,253,5495,22219,41384,,,,,71760,33,2973,74766,112896,
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,107,217,,1732,,7703,,,,427,8133,,29006,,,16003,,63004,21,4403,67428,111999,
20,OAXACA,25,SAN PEDRO POCHUTLA,63,200,,,,2726,,,862,2338,11088,18187,37971,,,,,73172,7,3788,76967,116464,
