ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,01,ACATLAN DE PEREZ FIGUEROA,113,217,13468,31818,3875,2812,3707,3283,269,1537,18541,,192,,,79502,4,3341,82847,105398,
20,OAXACA,02,SAN JUAN BAUTISTA TUXTEPEC,70,192,4082,4626,1361,4829,2575,1818,437,24240,27550,1970,206,194,,73888,7,3009,76904,110258,
20,OAXACA,03,LOMA BONITA,87,200,5181,15787,10064,1426,2561,916,1552,4171,31608,2431,554,1135,,77386,10,3190,80586,105507,
20,OAXACA,04,TEOTITLAN DE FLORES MAGON,119,220,2991,18335,5789,1548,2789,773,2391,4049,27385,1160,2155,,,69365,23,4641,74029,106538,
20,OAXACA,05,ASUNCION NOCHIXTLAN,166,269,3529,15458,5840,1736,8546,1168,3370,1586,23264,1293,2385,1536,,69711,20,3459,73190,111965,
20,OAXACA,06,HEROICA CIUDAD DE HUAJUAPAN DE LEON,156,254,9031,17486,5457,2214,3629,852,2427,1312,24136,1128,589,1221,,69482,65,3498,73045,120044,
20,OAXACA,07,PUTLA VILLA DE GUERRERO,109,227,2080,11737,10896,1401,3530,1058,1509,738,31484,2572,,2088,,69093,14,4820,73927,117328,
20,OAXACA,08,HEROICA CIUDAD DE TLAXIACO,128,233,1837,9931,12772,2527,4067,1181,1945,1479,26668,1405,642,629,,65083,33,4258,69374,110309,
20,OAXACA,09,IXTLAN DE JUAREZ,127,228,4612,10019,1940,1522,4818,1620,1396,1271,32425,1690,719,1510,,63542,26,3020,66588,108193,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,187,3962,9413,1269,764,7291,742,396,673,22169,1247,,253,,48179,10,2885,51074,94102,
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,258,3981,19830,10733,3641,5084,3398,848,1711,32049,1404,1141,661,,84481,11,3980,88472,125587,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,62,186,5174,10224,1978,2076,4569,1642,1797,1535,37171,1945,819,2230,,71160,36,2563,73759,114262,
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,218,8502,11760,2232,1908,4572,1319,1689,1065,41817,2044,1061,2744,,80713,66,3023,83802,128612,
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,222,11946,13488,1725,3268,3889,1431,1756,1467,39778,1755,634,2184,,83321,51,3410,86782,127988,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,40,194,4095,7441,11509,1815,3655,1280,6492,1150,39468,1685,1438,1875,,81903,17,3330,85250,126993,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,217,7474,12112,12054,1613,4130,1742,1204,1607,29232,2042,1033,,,74243,16,4065,78324,118087,
20,OAXACA,17,TLACOLULA DE MATAMOROS,120,247,6305,11202,2067,3161,8419,1191,706,1266,30060,1974,332,3079,,69762,20,3504,73286,128676,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,90,195,1637,11875,4863,1910,7110,1698,3386,1820,31065,1565,349,869,,68147,11,2893,71051,101339,
20,OAXACA,19,SALINA CRUZ,86,215,2824,17112,2581,5619,4191,1747,959,1059,44055,1373,215,928,605,83268,18,3037,86323,122668,
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,88,207,2192,21542,5320,2171,2648,1507,3309,1278,27017,945,3621,1020,,72570,70,5809,78449,114231,
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,91,184,8304,9918,3130,1214,3226,702,1047,1093,24913,1585,522,372,,56026,14,3483,59523,98112,
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,101,226,2703,22973,18555,1926,2190,1436,1666,3266,28796,935,452,,,84898,7,3819,88724,123350,
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,201,2448,18910,1528,1473,5594,1519,2271,1836,34284,1506,138,253,,71760,33,2973,74766,112896,
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,107,217,5864,13354,1257,1732,3308,1012,7703,2649,23396,2302,,427,,63004,21,4403,67428,111999,
20,OAXACA,25,SAN PEDRO POCHUTLA,63,200,4340,11818,3412,2521,3985,3336,2726,3848,31489,2497,862,2338,,73172,7,3788,76967,116464,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
