ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,PRI-PVEM,PRI-NA,PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,113,217,13306,31382,3741,2395,3707,3165,269,1378,18541,,192,,188,113,84,29,391,563,46,12,,,,,,,,,,,,79502,4,3341,82847,105398,
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,70,192,4015,4626,1304,4829,2265,1764,437,24240,27164,1667,206,194,106,34,28,10,,,,,591,196,30,182,,,,,,,,73888,7,3009,76904,110258,
20,OAXACA,3,LOMA BONITA,87,200,5050,15563,9921,1246,2243,824,1552,4006,31226,2084,554,1135,199,115,16,36,269,150,118,32,660,132,64,191,,,,,,,,77386,10,3190,80586,105507,
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,119,220,2933,17942,5721,1254,2491,737,2391,3766,27032,877,2155,,70,66,4,22,480,243,221,26,490,204,66,174,,,,,,,,69365,23,4641,74029,106538,
20,OAXACA,5,ASUNCION NOCHIXTLAN,166,269,3428,15190,5730,1495,8091,1097,3370,1448,22755,958,2385,1536,143,90,16,33,255,284,81,27,638,414,69,178,,,,,,,,69711,20,3459,73190,111965,
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,156,254,8927,17310,5347,2038,3346,785,2427,1312,23794,883,589,1221,142,98,14,27,,,,,486,216,25,143,,,,,352,,,69482,65,3498,73045,120044,
20,OAXACA,7,PUTLA VILLA DE GUERRERO,109,227,2004,11718,10809,1401,3176,1010,1509,719,31016,2192,,2088,78,88,11,34,,,,,658,220,49,275,,,,,,38,,69093,14,4820,73927,117328,
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,128,233,1741,9798,12651,2393,3684,1101,1945,1412,26221,1079,642,629,141,89,10,57,110,161,29,34,661,282,44,169,,,,,,,,65083,33,4258,69374,110309,
20,OAXACA,9,IXTLAN DE JUAREZ,127,228,4520,10019,1857,1522,4334,1552,1396,1271,31855,1305,719,1510,152,54,27,10,,,,,798,402,34,205,,,,,,,,63542,26,3020,66588,108193,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,187,3913,9277,1225,634,6737,710,396,619,21575,864,,253,63,39,15,8,122,168,21,9,749,514,94,174,,,,,,,,48179,10,2885,51074,94102,
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,258,3903,19605,10653,3423,4848,3339,848,1611,31764,1185,1141,661,106,61,25,25,226,265,31,21,410,163,35,132,,,,,,,,84481,11,3980,88472,125587,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,62,186,5083,10022,1889,1889,4015,1569,1797,1442,36559,1510,819,2230,165,51,20,17,181,234,48,19,970,406,55,170,,,,,,,,71160,36,2563,73759,114262,
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,218,8379,11760,2112,1908,4002,1234,1689,1065,41164,1554,1061,2744,185,95,26,22,,,,,1083,372,46,212,,,,,,,,80713,66,3023,83802,128612,
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,222,11787,13488,1577,3268,3389,1318,1756,1467,39198,1340,634,2184,236,112,47,25,,,,,895,365,39,196,,,,,,,,83321,51,3410,86782,127988,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,40,194,3944,7339,11322,1720,3222,1164,6492,1104,38963,1316,1438,1875,200,154,14,86,94,118,21,10,804,301,30,172,,,,,,,,81903,17,3330,85250,126993,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,217,7256,11969,11817,1486,3700,1609,1204,1541,28733,1685,1033,,221,245,43,79,,,,,693,341,58,194,124,161,39,12,,,,74243,16,4065,78324,118087,
20,OAXACA,17,TLACOLULA DE MATAMOROS,120,247,6213,11009,1984,2964,7647,1125,706,1163,29237,1383,332,3079,137,61,29,14,213,216,28,36,1338,557,96,195,,,,,,,,69762,20,3504,73286,128676,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,90,195,1588,11746,4804,1790,6810,1660,3386,1775,30721,1301,349,869,60,49,10,27,91,173,22,8,530,201,45,132,,,,,,,,68147,11,2893,71051,101339,
20,OAXACA,19,SALINA CRUZ,86,215,2766,16852,2529,5359,3832,1700,959,1059,43658,1076,215,928,94,30,21,12,,,,,577,265,69,142,,,,,520,,605,83268,18,3037,86323,122668,
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,88,207,2149,21484,5271,2171,2481,1475,3309,1220,26807,795,3621,1020,57,40,7,20,,,,,287,128,13,99,,,,,,116,,72570,70,5809,78449,114231,
