ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,63,9780,6836,337,703,388,300,59,169,4445,,31,,114,66,44,3,70,165,9,3,,,,,,,,,,,,23522,2,1012,24536,31395,
20,OAXACA,24,COSOLAPA,10,17,486,3850,133,209,224,93,22,93,1464,,31,,5,3,4,2,79,123,6,3,,,,,,,,,,,,6830,0,382,7212,9877,
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,42,1209,1140,5,14,11,2,2,155,,2,,2,4,0,2,2,7,0,0,,,,,,,,,,,,2599,0,52,2651,3242,
20,OAXACA,170,SAN JOSE TENANGO,16,26,102,2706,165,33,2374,1713,24,502,1130,,18,,13,0,8,10,1,4,6,2,,,,,,,,,,,,8811,1,470,9282,11608,
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,56,1868,11437,1338,950,365,511,76,107,5204,,29,,9,11,5,6,59,116,5,0,,,,,,,,,,,,22096,1,463,22560,26770,
20,OAXACA,307,SAN PEDRO IXCATLAN,9,14,94,2048,47,42,74,117,21,57,3520,,32,,3,2,1,0,37,16,3,1,,,,,,,,,,,,6115,0,157,6272,7556,
20,OAXACA,404,SANTA MARIA CHILCHOTLA,17,33,913,3192,573,430,243,399,61,220,2483,,48,,42,27,22,6,143,132,16,1,,,,,,,,,,,,8951,0,772,9723,14150,
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,74,201,4037,4802,1377,4997,2405,1787,451,24591,28132,1794,218,203,107,34,28,10,3,9,9,7,617,201,33,197,,,,,,,,76049,7,3140,79196,113778,
20,OAXACA,11,AYOTZINTEPEC,3,10,42,606,434,13,84,15,582,15,874,62,3,9,5,3,0,0,1,4,2,0,20,2,1,7,,,,,,,,2784,2,205,2991,4970,
20,OAXACA,44,LOMA BONITA,32,59,613,4423,5593,493,565,334,130,1068,4117,427,14,116,131,70,4,29,197,72,79,16,106,44,12,29,,,,,,,,18682,2,852,19536,28951,
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,35,317,4201,2242,183,173,104,64,109,8104,89,30,28,4,12,0,3,5,18,2,0,45,15,8,32,,,,,,,,15788,1,443,16232,19015,
