CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,2,1,187,156,10,22,9,6,1,3,96,,1,,6,0,2,0,1,2,0,0,,,,,,,,,,,,502,0,19,521,680
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,3,506,294,11,71,22,9,3,5,285,,3,,6,1,1,1,7,12,0,0,,,,,,,,,,,,1237,2,40,1279,1641
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,3,544,270,7,49,14,14,1,7,214,,3,,8,4,6,0,6,15,1,1,,,,,,,,,,,,1164,0,62,1226,1618
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,2,189,178,9,16,11,9,0,3,116,,0,,1,2,1,0,0,5,0,0,,,,,,,,,,,,540,0,28,568,655
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,3,461,259,24,8,25,28,4,8,405,,2,,2,7,3,0,0,3,1,0,,,,,,,,,,,,1240,0,38,1278,1685
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,2,277,150,8,7,11,17,3,2,143,,0,,4,2,2,0,0,2,0,0,,,,,,,,,,,,628,0,46,674,883
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,8,1,214,178,4,7,10,1,0,3,88,,0,,5,0,1,0,1,5,0,0,,,,,,,,,,,,517,0,24,541,696
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,9,1,203,177,41,5,3,9,0,1,95,,0,,0,2,0,0,1,2,0,0,,,,,,,,,,,,539,0,14,553,670
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,2,474,268,7,25,12,5,0,4,111,,0,,8,3,1,0,4,14,0,0,,,,,,,,,,,,936,0,24,960,1187
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,3,484,352,15,21,19,7,2,5,165,,1,,9,3,1,0,4,7,2,0,,,,,,,,,,,,1097,0,45,1142,1538
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,3,505,357,12,27,11,9,3,7,187,,3,,8,6,3,0,4,6,2,0,,,,,,,,,,,,1150,0,47,1197,1635
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,13,1,181,244,5,7,5,6,0,0,30,,0,,4,0,4,0,0,2,0,0,,,,,,,,,,,,488,0,21,509,643
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,14,2,205,347,9,8,3,7,1,5,30,,1,,2,1,1,0,3,8,1,0,,,,,,,,,,,,632,0,28,660,802
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,15,2,359,135,3,6,8,11,1,6,83,,0,,1,3,1,0,3,3,0,0,,,,,,,,,,,,623,0,27,650,785
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,16,1,86,100,3,3,1,3,1,1,47,,0,,1,0,0,0,1,3,0,0,,,,,,,,,,,,250,0,4,254,334
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,17,2,372,320,8,5,8,13,2,5,153,,0,,2,1,2,1,2,7,0,0,,,,,,,,,,,,901,0,32,933,1198
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,18,1,194,87,0,0,3,0,0,0,57,,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,342,0,11,353,426
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,19,1,185,158,4,3,6,4,0,0,68,,0,,0,0,2,0,2,4,1,0,,,,,,,,,,,,437,0,11,448,557
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,20,1,243,122,5,27,11,9,1,0,98,,1,,3,3,1,0,0,2,0,0,,,,,,,,,,,,526,0,19,545,672
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,2,248,241,24,57,27,12,3,5,279,,2,,1,1,1,0,3,9,0,0,,,,,,,,,,,,913,0,33,946,1157
