CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PAN_PT,PRD_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5207,1,165,111,30,9,31,10,6,32,15,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,421,27,449,750
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5208,1,61,51,16,2,8,5,3,5,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,157,9,166,258
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5209,1,59,59,9,1,8,7,3,10,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,9,179,320
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5210,1,103,77,20,5,18,5,1,8,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,249,9,261,485
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5211,1,95,84,11,10,38,8,4,16,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,279,16,296,514
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5212,1,83,52,8,2,21,7,7,7,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201,7,208,337
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5213,2,212,135,23,6,33,16,11,36,10,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,497,26,523,900
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5214,2,297,211,47,11,49,19,20,23,14,29,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,732,22,758,1281
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5215,2,215,133,25,1,13,16,9,14,9,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,448,9,458,807
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5216,2,243,99,19,7,50,7,7,29,4,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,480,18,500,802
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5217,2,261,169,31,14,20,12,13,40,13,20,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,602,29,632,1056
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5218,2,456,265,38,6,43,15,14,23,11,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,29,922,1280
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5219,2,380,305,45,21,41,19,15,50,25,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,37,973,1466
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5220,2,273,199,45,13,40,25,10,16,16,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,665,34,700,1091
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5221,2,189,184,39,14,45,9,9,17,9,20,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,539,16,555,835
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5222,2,183,199,41,8,50,17,17,30,9,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,32,609,1001
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5223,2,203,189,37,9,43,10,15,38,20,25,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,594,19,615,1135
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5224,2,226,123,22,12,40,84,12,36,23,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,609,23,636,985
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5225,2,245,139,32,4,57,11,10,23,7,27,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,562,21,583,957
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5226,2,269,187,30,13,37,23,8,32,21,22,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,660,27,689,1155
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5227,2,254,196,44,28,26,38,13,50,39,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,739,41,781,1309
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5228,2,209,189,23,16,28,22,11,33,21,25,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,583,21,606,1000
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5229,2,165,210,34,26,19,20,9,44,16,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,584,25,610,989
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5230,2,185,154,14,8,30,8,8,14,18,15,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,460,22,485,766
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5231,2,317,208,63,14,58,18,17,40,26,25,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,793,29,822,1491
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5232,3,370,247,54,20,43,21,23,35,28,49,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,38,938,1743
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5233,2,274,158,10,6,59,9,7,16,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,553,27,580,936
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5234,2,265,180,30,6,35,20,11,23,13,24,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,613,17,631,975
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5235,2,247,182,30,15,45,27,9,41,19,29,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,648,32,680,1073
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5236,3,536,277,36,18,37,27,10,37,10,28,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1019,36,1056,1586
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5237,3,340,253,58,20,34,11,22,45,19,33,5,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,856,38,894,1549
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5238,2,296,182,26,10,34,13,9,21,19,18,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,635,22,659,979
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5239,2,204,162,41,9,34,15,13,26,17,22,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,555,20,576,942
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5240,2,366,275,45,16,44,19,9,49,29,35,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,895,36,935,1460
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5241,2,282,202,40,19,33,19,7,43,12,23,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,687,27,715,1221
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5242,3,346,185,35,21,37,16,19,52,10,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,39,802,1527
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5243,2,253,162,45,17,38,17,17,33,20,21,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,630,30,661,1205
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5244,2,230,232,39,41,42,21,15,44,28,47,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,747,29,780,1481
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5245,3,345,281,63,20,45,25,18,41,26,41,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,915,34,950,1690
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5246,2,104,154,23,9,14,17,16,34,20,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,410,23,434,953
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5247,3,204,154,32,17,19,16,11,37,24,15,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,537,20,557,875
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5248,3,503,288,58,21,47,32,19,67,39,54,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1134,51,1188,2040
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5249,2,246,184,44,14,24,15,19,69,21,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,671,27,699,1214
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5250,2,149,202,46,19,31,17,17,46,19,27,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,581,20,603,1177
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5251,3,192,270,46,14,39,30,23,54,15,40,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,732,40,772,1547
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5252,2,228,278,52,21,43,22,27,42,28,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,31,826,1478
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5253,2,172,180,29,25,31,20,11,33,17,30,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,554,15,570,1299
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5254,2,283,193,42,17,38,20,19,41,24,36,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,718,36,754,1395
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5255,3,235,347,89,22,44,27,26,54,29,51,11,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,944,35,979,1819
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5256,3,211,285,61,24,31,22,32,53,26,36,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,786,24,816,1648
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5257,3,150,343,46,25,24,15,21,59,16,39,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,746,37,783,1590
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5258,3,236,288,71,23,30,15,20,69,33,39,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,833,27,862,1705
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5259,3,174,282,76,14,37,21,18,60,21,40,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,751,28,782,1580
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5260,2,203,232,27,7,25,14,18,48,13,29,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,621,42,664,1227
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5261,4,275,465,62,43,58,43,46,101,51,72,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1222,66,1289,2780
