CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,UDC,PAN_UDC_MC,PAN_UDC,PAN_MC,UDC_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,5,COAHUILA,5,MONCLOVA,1,ABASOLO,1,1,323,282,,,0,0,0,,,29,3,4,0,0,0,0,0,0,,,,,,,,,,,,,,,641,0,5,646,748
,5,COAHUILA,5,MONCLOVA,1,ABASOLO,2,1,111,142,,,0,3,2,,,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,261,0,0,261,337
,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,4,121,502,240,8,16,15,24,67,10,435,4,15,1,1,7,6,5,0,3,2,0,1,,,,,,,,,,,1483,0,28,1511,2477
,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,8,290,852,639,40,32,49,32,266,11,858,20,45,2,9,8,6,5,1,3,0,1,2,,,,,,,,,,,3171,0,70,3241,5276
,5,COAHUILA,1,ACUÑA,2,ACUÑA,5,3,99,202,178,10,15,17,10,68,2,283,8,12,0,4,3,3,0,0,3,1,0,2,,,,,,,,,,,920,0,30,950,1617
,5,COAHUILA,1,ACUÑA,2,ACUÑA,6,2,64,158,65,5,7,7,3,28,0,127,3,1,0,4,4,2,0,0,0,0,0,0,,,,,,,,,,,478,0,8,486,864
,5,COAHUILA,1,ACUÑA,2,ACUÑA,7,2,95,233,104,2,15,10,7,32,6,166,6,8,0,1,1,1,0,0,2,0,0,0,,,,,,,,,,,689,0,17,706,1216
,5,COAHUILA,1,ACUÑA,2,ACUÑA,8,2,51,267,96,10,6,10,12,51,1,170,5,9,0,2,2,4,2,0,1,2,0,1,,,,,,,,,,,702,0,27,729,1262
,5,COAHUILA,1,ACUÑA,2,ACUÑA,10,22,697,2133,1669,83,71,147,56,759,40,2638,57,93,1,38,21,24,5,1,9,7,0,5,,,,,,,,,,,8554,1,176,8731,15130
,5,COAHUILA,1,ACUÑA,2,ACUÑA,11,4,153,419,266,15,20,24,10,110,7,425,5,14,1,8,7,1,4,0,12,1,0,3,,,,,,,,,,,1505,0,40,1545,2592
