ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,UDC,PAN_UDC_MC,PAN_UDC,PAN_MC,UDC_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
5,COAHUILA,1,ABASOLO,2,2,434,424,,,0,3,2,,,29,6,4,0,0,0,0,0,0,,,,,,,,,,,,,,,902,0,5,907,1085,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/ABASOLO.pdf
5,COAHUILA,2,ACUÑA,64,182,5592,17329,11554,749,661,938,508,5134,310,17647,338,634,30,192,184,160,51,9,101,45,5,43,,,,,,,,,,,62214,1,1601,63816,110572,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/ACU%C3%91A.pdf
5,COAHUILA,3,ALLENDE,15,31,1850,3263,,115,99,850,98,744,23,3698,129,138,20,93,30,46,14,0,12,8,1,2,,,,,,,,,,,11233,1,307,11541,17866,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/ALLENDE.pdf
5,COAHUILA,4,ARTEAGA,21,37,2229,6307,698,309,134,89,145,1337,110,165,16,18,9,2,75,65,17,2,36,12,3,22,,,,,,,,,,,11800,4,321,12125,18035,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/ARTEAGA.pdf
5,COAHUILA,5,CANDELA,3,4,554,743,,,6,9,17,,,7,3,2,2,0,9,4,4,0,0,0,0,0,,,,,,,,,,,1360,0,30,1390,1633,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/CANDELA.pdf
5,COAHUILA,6,CASTAÑOS,23,43,3129,5050,297,149,427,728,174,1353,292,599,80,27,21,18,49,47,14,2,36,5,1,19,,,,,,,,,,,12517,5,265,12787,20815,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/CASTANOS.pdf
5,COAHUILA,7,CUATRO CIENEGAS,14,23,2802,2088,71,165,42,79,61,471,148,35,36,18,28,5,29,23,10,7,31,13,2,11,,,,,,,,,,,6175,0,156,6331,9465,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/CUATROCIENEGAS.pdf
5,COAHUILA,8,ESCOBEDO,4,6,,930,788,,2,,12,56,,,,,,,6,5,5,0,,,,,,,,,,,,,,,1804,0,25,1829,2355,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/ESCOBEDO.pdf
5,COAHUILA,9,FRANCISCO I. MADERO,42,78,3514,8018,501,1686,797,316,343,11741,721,166,35,5,16,8,58,39,19,5,345,110,21,145,,,,,,,,,,,28609,4,533,29146,42019,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/FRANCISCO%20I%20MADERO.pdf
5,COAHUILA,10,FRONTERA,41,99,9490,13079,3310,950,472,262,371,7425,236,116,49,13,16,12,111,114,33,7,101,62,8,47,,,,,,,,,,,36284,9,642,36935,59573,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/FRONTERA.pdf
