ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,,25,64,4335,4388,339,711,682,2654,1263,6596,285,77,175,152,67,11,35,,,,,21770,20,816,22606,35566,
6,COLIMA,2,,38,73,5353,4528,362,1398,510,2498,1009,5980,228,106,235,133,51,10,49,1869,,,,24319,24,851,25194,37639,
6,COLIMA,3,,18,64,3925,4591,327,427,844,1705,862,5689,225,72,141,129,89,10,28,,,,,19064,12,865,19941,34563,
6,COLIMA,4,,20,58,5212,5491,261,318,750,2129,1126,5363,274,92,122,179,57,7,22,,,,,21403,30,863,22296,32124,
6,COLIMA,5,,29,68,3922,5695,271,317,947,2220,1155,6034,288,92,176,232,70,4,31,,,,,21454,13,800,22267,35978,
6,COLIMA,6,,28,69,6553,6155,315,368,649,1415,1688,5213,223,98,99,112,63,7,27,,2142,,,25127,44,910,26081,38213,
6,COLIMA,7,,13,52,2290,4005,282,1146,811,2289,1763,6883,238,37,184,133,61,2,31,,,,,20155,28,790,20973,32631,
6,COLIMA,8,,33,56,2312,3763,217,420,709,1992,938,6968,260,41,113,144,58,5,47,,,1730,,19717,13,554,20284,30632,
6,COLIMA,9,,28,57,1818,3086,435,2204,683,395,2083,6096,176,103,316,367,107,19,50,,,,,17938,4,904,18846,30827,
6,COLIMA,10,,17,48,2866,3523,230,511,488,612,601,5667,131,87,183,231,73,6,48,,,,,15257,11,660,15928,29216,
6,COLIMA,11,,9,53,2019,2041,194,2678,957,1183,561,8252,303,24,276,323,120,9,33,,,,,18973,15,764,19752,33896,
6,COLIMA,12,,6,53,2570,1641,161,2805,673,1676,1070,9004,405,27,155,269,77,5,27,,,,,20565,23,581,21169,33218,
6,COLIMA,13,,26,56,2764,1783,218,3537,513,703,401,7253,373,47,288,287,75,6,38,,,,554,18840,15,770,19625,32433,
6,COLIMA,14,,29,71,2832,4128,315,3048,1517,1388,762,7627,416,46,323,303,109,7,57,,,,,22878,7,1133,24018,35378,
6,COLIMA,15,,20,47,2522,4383,219,405,575,543,447,5204,121,53,154,198,65,16,40,,,,,14945,7,665,15617,27466,
6,COLIMA,16,,31,61,3290,4747,280,742,890,335,500,5560,476,81,243,498,93,20,61,,,,,17816,4,752,18572,30940,
