ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,,25,64,4374,4476,377,798,770,2654,1263,6685,373,,,,,21770,20,816,22606,35566,
6,COLIMA,2,,38,73,5406,4646,415,1515,591,2498,1009,6061,309,1869,,,,24319,24,851,25194,37639,
6,COLIMA,3,,18,64,3961,4662,363,497,929,1705,862,5775,310,,,,,19064,12,865,19941,34563,
6,COLIMA,4,,20,58,5258,5552,307,379,838,2129,1126,5452,362,,,,,21403,30,863,22296,32124,
6,COLIMA,5,,29,68,3968,5783,317,405,1059,2220,1155,6147,400,,,,,21454,13,800,22267,35978,
6,COLIMA,6,,28,69,6602,6205,364,417,719,1415,1688,5283,292,,2142,,,25127,44,910,26081,38213,
6,COLIMA,7,,13,52,2309,4097,300,1238,887,2289,1763,6959,313,,,,,20155,28,790,20973,32631,
6,COLIMA,8,,33,56,2333,3820,237,476,794,1992,938,7053,344,,,1730,,19717,13,554,20284,30632,
6,COLIMA,9,,28,57,1870,3244,486,2362,864,395,2083,6277,357,,,,,17938,4,904,18846,30827,
6,COLIMA,10,,17,48,2910,3615,273,602,607,612,601,5787,250,,,,,15257,11,660,15928,29216,
6,COLIMA,11,,9,53,2031,2179,206,2816,1119,1183,561,8414,464,,,,,18973,15,764,19752,33896,
6,COLIMA,12,,6,53,2584,1718,174,2883,799,1676,1070,9130,531,,,,,20565,23,581,21169,33218,
6,COLIMA,13,,26,56,2788,1927,241,3681,648,703,401,7389,508,,,,554,18840,15,770,19625,32433,
6,COLIMA,14,,29,71,2855,4290,338,3209,1676,1388,762,7786,574,,,,,22878,7,1133,24018,35378,
6,COLIMA,15,,20,47,2549,4460,245,482,681,543,447,5311,227,,,,,14945,7,665,15617,27466,
6,COLIMA,16,,31,61,3331,4869,320,863,1114,335,500,5784,700,,,,,17816,4,752,18572,30940,
