Sección,Casilla,Dtto,Cabecera,NMpio,Municipio,PAN,PRI,PRD,PT,PVEM,PCP,No Registrados,Nulos,Total
940,Básica,1,,1,PUEBLA,93,82,60,5,0,1,0,15,256
940,Contigua,1,,1,PUEBLA,101,92,90,4,0,1,0,1,289
941,Básica,1,,1,PUEBLA,173,113,128,8,0,7,1,8,438
942,Básica,1,,1,PUEBLA,104,122,115,4,0,0,0,13,358
942,Contigua,1,,1,PUEBLA,97,126,128,14,0,0,0,8,373
943,Básica,1,,1,PUEBLA,95,104,76,4,0,0,0,6,285
943,Contigua,1,,1,PUEBLA,105,105,92,4,0,1,0,12,319
944,Básica,1,,1,PUEBLA,113,134,114,9,0,1,0,13,384
944,Contigua,1,,1,PUEBLA,113,152,102,9,0,3,1,10,390
945,Básica,1,,1,PUEBLA,81,112,51,4,0,0,0,2,250
945,Contigua,1,,1,PUEBLA,68,100,77,5,0,1,0,1,252
946,Básica,1,,1,PUEBLA,91,167,121,4,0,0,0,0,383
947,Básica,1,,1,PUEBLA,82,113,83,4,0,2,0,0,284
947,Contigua,1,,1,PUEBLA,74,97,85,6,0,1,0,7,270
948,Básica,1,,1,PUEBLA,106,119,117,6,0,2,0,9,359
948,Contigua,1,,1,PUEBLA,105,84,99,8,0,3,0,0,299
949,Básica,1,,1,PUEBLA,71,71,60,6,0,0,0,2,210
949,Contigua,1,,1,PUEBLA,75,77,46,4,0,2,1,3,208
950,Básica,1,,1,PUEBLA,96,80,105,10,0,1,0,9,301
951,Básica,1,,1,PUEBLA,95,95,59,8,0,1,0,0,258
951,Contigua,1,,1,PUEBLA,88,112,61,5,0,0,0,5,271
952,Básica,1,,1,PUEBLA,80,103,80,3,0,2,0,9,277
952,Contigua,1,,1,PUEBLA,82,101,65,7,0,1,0,11,267
953,Básica,1,,1,PUEBLA,75,149,85,6,0,2,0,9,326
953,Contigua,1,,1,PUEBLA,76,134,107,10,0,0,0,8,335
954,Básica,1,,1,PUEBLA,55,114,50,5,0,0,0,7,231
954,Contigua,1,,1,PUEBLA,63,85,83,5,0,1,0,0,237
955,Básica,1,,1,PUEBLA,82,64,64,5,0,0,0,14,229
955,Contigua,1,,1,PUEBLA,37,95,52,5,0,2,0,3,194
956,Básica,1,,1,PUEBLA,73,61,64,8,0,3,0,3,212
956,Contigua,1,,1,PUEBLA,85,66,72,8,0,0,1,7,239
957,Básica,1,,1,PUEBLA,75,78,89,0,0,1,0,0,243
957,Contigua,1,,1,PUEBLA,81,84,72,2,0,2,0,2,243
958,Básica,1,,1,PUEBLA,144,96,105,4,0,0,0,3,352
958,Contigua,1,,1,PUEBLA,147,94,104,4,0,2,0,2,353
959,Básica,1,,1,PUEBLA,122,114,92,3,1,0,0,12,344
959,Contigua,1,,1,PUEBLA,103,115,120,6,0,1,0,4,349
960,Básica,1,,1,PUEBLA,82,81,91,3,0,1,0,4,262
960,Contigua,1,,1,PUEBLA,96,86,90,1,0,0,0,6,279
973,Básica,1,,1,PUEBLA,116,134,176,3,0,1,0,0,430
