CLAVE,MUNICIPIO,SECCIÓN,CASILLA,PRI,PT,PVEM,PSD,PAN-PRD-PC-PANAL,PRI-PVEM,PAN-PRI-PRD-PT-PVEM-PC-PANAL-PSD,NULOS,NO REGISTRADOS
1,Acacoyagua,1,B,153,70,7,25,106,0,,10,0
1,Acacoyagua,1,C1,151,62,14,43,83,0,,4,1
1,Acacoyagua,1,C2,159,41,28,36,64,0,,19,0
1,Acacoyagua,1,C3,165,53,20,39,69,0,,5,0
1,Acacoyagua,1,X1,255,15,6,34,95,0,,27,0
1,Acacoyagua,2,B,187,47,19,11,146,0,,10,0
1,Acacoyagua,2,C1,200,44,30,20,121,0,,10,0
1,Acacoyagua,2,C2,185,56,21,20,100,0,,4,0
1,Acacoyagua,3,B,204,48,27,27,97,0,,7,0
1,Acacoyagua,3,C1,143,85,26,38,114,0,,11,0
1,Acacoyagua,3,C2,157,59,28,33,112,0,,12,0
1,Acacoyagua,4,B,177,12,10,26,41,0,,6,0
1,Acacoyagua,5,B,268,6,23,5,67,0,,8,0
1,Acacoyagua,5,X1,216,15,8,23,75,0,,12,2
1,Acacoyagua,6,B,124,30,29,15,158,0,,10,0
1,Acacoyagua,6,C1,147,36,41,12,111,0,,12,0
1,Acacoyagua,6,C2,160,33,39,15,85,0,,12,0
2,Acala,7,B,23,81,185,3,88,0,,19,0
2,Acala,7,C1,14,115,157,1,100,0,,22,0
2,Acala,7,C2,21,100,167,5,96,0,,12,0
2,Acala,8,B,48,45,157,0,183,0,,18,0
2,Acala,8,C1,27,38,246,0,108,0,,6,3
2,Acala,9,B,19,63,198,2,78,0,,17,0
2,Acala,9,C1,15,55,211,1,89,0,,19,0
2,Acala,9,C2,21,60,171,0,103,0,,16,0
2,Acala,10,B,29,40,217,0,62,0,,0,0
2,Acala,10,C1,23,56,177,2,92,0,,15,0
2,Acala,10,C2,32,52,192,0,92,0,,7,0
2,Acala,11,B,52,67,227,2,87,0,,9,0
2,Acala,11,C1,27,69,263,1,105,0,,18,0
2,Acala,12,B,32,51,190,1,73,0,,7,0
2,Acala,12,C1,21,43,199,3,99,0,,5,0
2,Acala,13,B,20,46,182,0,73,0,,2,0
2,Acala,13,C1,29,43,172,0,79,0,,9,0
