uniqueid,year,incumbent_party_Horacio
29001,2001,PRD
29001,2004,PRD
29001,2007,PRI_PVEM
29001,2010,PRI_PVEM
29001,2013,PRD
29001,2016,NA
29002,2001,PRI
29002,2004,PRD
29002,2007,PAN_PAC
29002,2010,PRI_PVEM
29002,2013,PAN
29002,2016,NA
29003,2001,PAN
29003,2004,PRI_PVEM
29003,2007,PAN_PAC
29003,2010,PRI_PVEM
29003,2013,PT
29003,2016,NA
29004,2001,PAN
29004,2004,PRI_PVEM
29004,2007,PAN_PAC
29004,2010,PST
29004,2013,PAN
29004,2016,NA
29005,2001,PRD
29005,2004,PT
29005,2007,PAN_PAC
29005,2010,PAN_PANAL
29005,2013,PRI
29005,2016,NA
29006,2001,PD
29006,2004,PVEM
29006,2007,PS
29006,2010,PRI
29006,2013,PAN
29006,2016,NA
29007,2001,PAN
29007,2004,PRD
29007,2007,PRD
29007,2010,PRD
29007,2013,PRI
29007,2016,NA
29008,2001,PAN
29008,2004,PRI_PVEM
29008,2007,PRI_PVEM
29008,2010,PRI_PVEM
29008,2013,PRD
29008,2016,NA
29009,2001,PRI
29009,2004,PRD
29009,2007,PAN_PAC
29009,2010,PRD_PT_MC
29009,2013,PVEM
29009,2016,NA
29010,2001,PT
29010,2004,PRI_PVEM
29010,2007,PRD
29010,2010,PRI_PVEM
29010,2013,PRD_PT
29010,2016,NA
29011,2001,PRI
29011,2004,PRI_PVEM
29011,2007,PS
29011,2010,PST
29011,2013,PRI
29011,2016,NA
29012,2001,PAN
29012,2004,PRD
29012,2007,PAN_PAC
29012,2010,PAN_PANAL
29012,2013,PAN
29012,2016,NA
29013,2001,PRI
29013,2004,PRI_PVEM
29013,2007,PAN_PAC
29013,2010,PRI_PVEM
29013,2013,PAN_PAC
29013,2016,NA
29014,2001,PRD
29014,2004,PAN
29014,2007,PAN_PAC
29014,2010,PAC
29014,2013,PRI
29014,2016,NA
29015,2001,PRD
29015,2004,PAN
29015,2007,PAN_PAC
29015,2010,PRI
29015,2013,PRI
29015,2016,NA
29016,2001,PRI
29016,2004,PRD
29016,2007,PRI_PVEM
29016,2010,PAC
29016,2013,PS
29016,2016,NA
29017,2001,PRD
29017,2004,PRI_PVEM
29017,2007,PT
29017,2010,PRD
29017,2013,PRD
29017,2016,NA
29018,2001,PAN
29018,2004,PRD
29018,2007,PAN_PAC
29018,2010,PRI
29018,2013,PAN_PAC
29018,2016,NA
29019,2001,PRI
29019,2004,PVEM
29019,2007,PRI
29019,2010,MC
29019,2013,PRD
29019,2016,NA
29020,2001,PRD
29020,2004,PRI_PVEM
29020,2007,PAS
29020,2010,PAC
29020,2013,PRI
29020,2016,NA
29021,2001,PAN
29021,2004,PT
29021,2007,PAN_PAC
29021,2010,PRI
29021,2013,PAN_PAC
29021,2016,NA
29022,2001,PRD
29022,2004,PT
29022,2007,PRD
29022,2010,PAN
29022,2016,NA
29023,2001,PAN
29023,2004,PAN
29023,2007,PRD
29023,2010,PT
29023,2013,PRI
29023,2016,NA
29024,2001,PT
29024,2004,PRI_PVEM
29024,2007,PRD
29024,2010,PRI
29024,2013,PRD
29024,2016,NA
29025,2001,PAN
29025,2004,PRD
29025,2007,PRD
29025,2010,PRI_PST
29025,2013,PRD
29025,2016,NA
29026,2001,PAN
29026,2004,PRI
29026,2007,PAN_PAC
29026,2010,PRI_PVEM
29026,2013,PAN
29026,2016,NA
29027,2001,PAN
29027,2004,PAN
29027,2007,PRI_PVEM
29027,2010,PRI_PVEM
29027,2013,MC
29027,2016,NA
29028,2001,PAN
29028,2004,PRD
29028,2007,PRD
29028,2010,PRD
29028,2013,PAN_PAC
29028,2016,NA
29029,2001,PRD
29029,2004,PJS
29029,2007,PAN_PAC
29029,2010,PRD_PT_MC
29029,2013,PANAL
29029,2016,NA
29030,2001,PAN
29030,2004,PRI_PVEM
29030,2007,PAN_PAC
29030,2010,PST
29030,2013,PAC
29030,2016,NA
29031,2001,PRD
29031,2004,PAN
29031,2007,PRI_PVEM
29031,2010,PAN_PANAL
29031,2013,PT
29031,2016,NA
29032,2001,PAN
29032,2004,PRI_PVEM
29032,2007,PRD
29032,2010,PVEM
29032,2013,PAC_PS
29032,2016,NA
29033,2001,PAN
29033,2004,PRI_PVEM
29033,2007,PRI_PVEM_PS
29033,2010,PRI_PVEM
29033,2013,PAN
29033,2016,NA
29034,2001,PAN
29034,2004,PRD
29034,2007,PAS
29034,2010,PRI_PVEM
29034,2013,PAN
29034,2016,NA
29035,2001,PT
29035,2004,PT
29035,2007,PRD
29035,2010,PRI
29035,2013,PS
29035,2016,NA
29036,2001,PRD
29036,2004,PRI_PVEM
29036,2007,PRD
29036,2010,PRI
29036,2013,PANAL
29036,2016,NA
29037,2001,PAN
29037,2004,PRI_PVEM
29037,2007,PAN_PAC
29037,2010,PRI_PVEM
29037,2013,PVEM
29037,2016,NA
29038,2001,PAN
29038,2004,PRI
29038,2007,PRD
29038,2010,PST
29038,2013,PRD
29038,2016,NA
29039,2001,PAN
29039,2004,PT
29039,2007,PT
29039,2010,PPT
29039,2013,PRI
29039,2016,NA
29040,2001,PAN
29040,2004,PRI_PVEM
29040,2007,PAN_PAC
29040,2010,PAN_PANAL
29040,2013,PRI
29040,2016,NA
29041,2001,PAN
29041,2004,PRD
29041,2007,PRI_PVEM
29041,2010,PRD
29041,2013,PRI
29041,2016,NA
29042,2001,PRD
29042,2004,PRD
29042,2007,PAN_PAC
29042,2010,PRI_PVEM
29042,2013,PRI
29042,2016,NA
29043,2001,PRD
29043,2004,PRI
29043,2007,PAN_PAC
29043,2010,PRI
29043,2013,PAN_PAC
29043,2016,NA
29044,2001,PAS
29044,2004,PRD
29044,2007,PRD
29044,2010,PRI_PVEM
29044,2013,PAN
29044,2016,NA
29045,2001,PAN
29045,2004,PRD
29045,2007,PRD
29045,2010,PRI_PVEM
29045,2013,PS
29045,2016,NA
29046,2001,PAN
29046,2004,PRD
29046,2007,PRI_PVEM
29046,2010,PRD
29046,2013,PRI
29046,2016,NA
29047,2001,PAN
29047,2004,PRD
29047,2007,PRI_PVEM
29047,2010,PRD
29047,2013,PRI
29047,2016,NA
29048,2001,PAN
29048,2004,PAN
29048,2007,PRI
29048,2010,PRD
29048,2013,PAN
29048,2016,NA
29049,2001,PRD
29049,2004,PRI_PVEM
29049,2007,PAN_PAC
29049,2010,PRI
29049,2013,MC
29049,2016,NA
29050,2001,PRD
29050,2004,PRI_PVEM
29050,2007,PRD
29050,2010,PRI_PVEM
29050,2013,PT
29050,2016,NA
29051,2001,PAN
29051,2004,PRI_PVEM
29051,2007,PRI_PVEM
29051,2010,PT_MC
29051,2013,MC
29051,2016,NA
29052,2001,PAN
29052,2004,PRD
29052,2007,PRI_PVEM
29052,2010,PT_MC
29052,2013,PRD
29052,2016,NA
29053,2001,PRD
29053,2004,PAN
29053,2007,PRI_PVEM
29053,2010,PAN_PANAL
29053,2013,PRI
29053,2016,NA
29054,2001,PT
29054,2004,PRD
29054,2007,PRI_PVEM
29054,2010,PAC
29054,2013,PANAL
29054,2016,NA
29055,2001,PT
29055,2004,PRD
29055,2007,MC
29055,2010,PAN_PANAL
29055,2013,PT
29055,2016,NA
29056,2001,PAN
29056,2004,PAN
29056,2007,PRI_PVEM
29056,2010,PAN_PANAL
29056,2013,PRI
29056,2016,NA
29057,2001,PAN
29057,2004,PCDT
29057,2007,PAN_PAC
29057,2010,PRD
29057,2013,PVEM
29057,2016,NA
29058,2001,PAN
29058,2004,MC
29058,2007,PRD
29058,2010,PAN_PANAL
29058,2013,PRI
29058,2016,NA
29059,2001,PT
29059,2004,PRD
29059,2007,PRI_PVEM
29059,2010,PRI_PVEM
29059,2013,PT
29059,2016,NA
29060,2001,PAN
29060,2004,PRI
29060,2007,PRI_PVEM
29060,2010,PRD
29060,2013,PRI
29060,2016,NA
