uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
29008,1998,PRI,ABRAHAM GALVEZ GARCIA,PT,,0.388360703
29008,2001,PRI,JOSE CLAUDIO PEDRO GONZALEZ HERNANDEZ,PRD,,0.0791302399
29008,2004,PRI_PVEM,JOSE PAZ MAURO BASILIO MUÑOZ,PRD,,0.0216505895
29008,2007,PRI_PVEM,JOSE JAIME VEGA LOOPEZ,PAN_PAC,,0.0030624745
29008,2010,PRI_PVEM,JOSE LUIS PEREZ VALENCIA,PAN_PNA,,0.2121441551
29008,2013,PRD,EFREN LOPEZ HERNANDEZ,PRI,,0.1985338121
29008,2016,PVEM,ARTURO HERNANDEZ HERNANDEZ,PRI,,0.0591299451
29008,2021,PRI,ANTONIO ROMERO RODRIGUEZ ,PT,,0.1193245779
29009,1991,PAN,?,PRI,,0
29009,1994,PAN,?,PRI,,0.2314939435
29009,1998,PAN,BERTIN CERVANTES GONZALEZ,PRI,,0.032485111
29009,2001,PAN,JOSE PABLO HERNANDEZ MONTIEL,PRI,,0.0428502648
29009,2004,PRD,FROYLAN YAHUTENZI RAMOS,PRI_PVEM,,0.0484429066
29009,2007,PAN_PAC,PASCUAL SANCHEZ CERVANTES,PRD,,0.1408563425
29009,2010,PRD_PT_CONVE,JUVENTINO PINEDA CAHUANTZI,PVEM,,0.081255374
29009,2013,PVEM,RAUL AQUILINO CERVANTES HERNANDEZ,PRI,,0.0765696784
29009,2016,PAC,JAVIER SERRANO SANCHEZ,PAN,,0.0353243417
29009,2021,PAN,MIGUEL ANGEL NERIA CARREÑO ,INDEP,,0.0247539517
29010,1991,PRI,MARCIAL TLACHI JUAREZ,PDM,,0.422967033
29010,1994,PRI,FERMIN SANCHEZ VARELA,PAN,,0.1201367173
29010,1998,PRI,RENE LIMA SOLIS,PRD,,0.1132642487
29010,2001,PT,RICARDO MONTIEL HERNANDEZ,PRI,,0.0186618116
29010,2004,PRI_PVEM,LINDA MARINA DOLORES MUNIVE TEMOLTZIN,PCDT,,0.1288785889
29010,2007,PRD,JOSE HUMBERTO VEGA VAZQUEZ,PAN_PAC,,0.0896338362
29010,2010,PRI_PVEM,ANGEL MENESES BARBOSA,PRD,,0.0214862926
29010,2013,PRD_PT,ANTONIO MENDOZA ROMERO,PRI,,0.1246920952
29010,2016,PRI_PVEM,HECTOR DOMINGUEZ RUGERIO,PT_PRD,,0.0456260278
29010,2021,MORENA,GUSTAVO JIMENEZ ROMERO ,PRD,,0.2102844814
29011,1991,PRI,?,0,,1
29011,1994,PRI,?,PT,,0.3547854785
29011,1998,PRI,MARIZA LOURDES NARVAEZ LUNA,PT,,0.0652920962
29011,2001,PAN,JOSE LUIS TORRES PEREZ,PT,,0.0135218193
29011,2004,PRI_PVEM,ESTEBAN OLVERA GONZALEZ,PT_PCDT_PJS,,0.0081922447
29011,2007,PS,ALFONSO DAVID FERNANDEZ PEREZ,PAN_PAC,,0.4190427699
29011,2010,PS,JOSE LUIS JAVIER CUELLAR DOMINGUEZ,PT_CONVE,,0.0258899676
29011,2013,PRI,LUIS ALBERTO LOPEZ LOPEZ,PRD,,0.1502890173
29011,2016,PRI,ROGELIO PEREZ SALAZAR,PAN,,0.0523326572
29011,2021,PEST,HECTOR PRISCO FERNANDEZ ,ISS,,0.1191926885
29012,1991,PRI,JAIME GASPAR GARCIA HERNANDEZ,PRD,,0.7530120482
29012,1994,PRI,JOEL AVILA CASTAÑEDA,PRD,,0.604005168
29012,1998,PRI,FRANCISCO RAMIREZ JUAREZ,PRD,,0.1194815715
29012,2001,PRI,FERNANDO ZAMORA CASTILLO,PRD,,0.1651376147
29012,2004,PRD,MAURO PEREZ RANCAÑO,PRI_PVEM,,0.0120856354
29012,2007,PAN_PAC,MIGUEL GARCIA JUAREZ,PRD,,0.1626174279
29012,2010,PAN_PNA,OTHONIEL TAPIA QUINTERO,PS,,0.0432577566
29012,2013,PAN,MIGUEL GARCIA JUAREZ,PVEM,,0.0607308286
29012,2016,PT_PRD,JESUS GONZALEZ GUARNEROS,PRI,,0.0235716516
29012,2021,PRI,JOSE LUIS GONZALEZ GUARNEROS ,PAN,,0.0170185265
29013,1991,PRI,JOSE PAREDES GARCIA,PAN,,0.3441923599
29013,1994,PRI,EDUARDO RAFAEL BRETON ESCAMILLA,PAN,,0.668359072
29013,1998,PRI,ROGELIO PALAFOX GUTIERREZ,PRD,,0.0667138142
29013,2001,PAN,JOSE ALEJANDRO AGUILAR LOPEZ,PRD,,0.1206821354
29013,2004,PRI_PVEM,EDUARDO RAFAEL BRETON ESCAMILLA,CONVE,,0.0451590568
29013,2007,PAN_PAC,JOSE RAUL CERVANTES LOPEZ,PRI_PVEM,,0.0246685503
29013,2010,PRI_PVEM,CARLOS IXTLAPALE GOMEZ,PAN_PNA,,0.2535831352
29013,2013,PAN_PAC,JOSE ALEJANDRO AGUILAR LOPEZ,PRD,,0.0066100995
29013,2016,PRI,JORGE SANCHEZ JASSO,PT_PRD,,0.1098646035
29013,2021,PVEM,JUAN SALVADOR SANTOS CEDILLO,PAN,,0.0291552002
29014,1991,PRI,JAVIER VAZQUEZ SANCHEZ,PFCRN,,0.1249564915
29014,1994,PRI,EMMA YOLANDA SOSA GARCIA,PT,,0.1226539783
29014,1998,PRI,VICENTE MORALES PEREZ,PAN,,0.3073654391
29014,2001,PRD,JOSE BARMICEO LUCIO RAMOS GARCIA,PAN,,0.1110169492
29014,2004,PAN,JORGE ROLDAN PEREZ,PRD,,0.1521367521
29014,2007,PAN_PAC,DELFINO DURAN CARRILLO,PRD,,0.0662594855
29014,2010,PP1,SONIA LILIAN RODRIGUEZ BECERRA,PAN_PNA,,0.0503174603
29014,2013,PRI,PETRONILO ROLDAN PEREZ,PRD,,0.0289915966
29014,2016,PT,MAURO LEON GARFIAS,MORENA,,0.0941769465
29014,2021,RSP,LUIS ANGEL ROLDÁN CARRILLO ,PRI,,0.0294262497
29015,1991,PRI,RUBEN NAJEDA PULIDO,PFCRN,,0.5068381302
29015,1994,PRI,PEDRO SEVILLA SANCHEZ,PRD,,0.1307154384
29015,1998,PRI,RAFAEL ZAMBRANO CERVANTES,PRD,,0.2521027003
29015,2001,PRD,TOMAS GARCIA COVA,PRI,,0.1072519084
29015,2004,PAN,CONSTANTINO VICENTE QUIROZ PEREZ,PRI_PVEM,,0.1001588562
29015,2007,PAN_PAC,SIMON DIAZ FLORES,PRD,,0.1207175415
29015,2010,PRI_PVEM_PS1,ADILBERTO TEPEPE SANCHZ,PAN_PNA_PAC,,0.142808499
29015,2013,PRI,TOMAS VAZQUEZ VAZQUEZ,PVEM,,0.0099567397
29015,2016,PRI,RAFAEL ZAMBRANO CERVANTES,MC,,0.0551543007
29015,2021,MORENA,JESUS ROLANDO PEREZ SAAVEDRA,PRI,,0.1850497446
29016,1991,PRI,JUAN VERNAL ANGOA,PRD,,0.1458842706
29016,1994,PRI,?,PRD,,0.0957746479
29016,1998,PRI,ARTURO SOLIS SANGRADOR,PRD,,0.2131000449
29016,2002,PRI,TULIO LARIOS AGUILAR,PT_PAS_PJS,,0.1063153112
29016,2004,PRD,JOSE FELIPE CORNELIO HERNANDEZ ROJAS,PCDT,,0.0377906977
29016,2007,PRI_PVEM,ERNESTO CAJERO AGUILAR,PRD,,0.0793151642
29016,2010,PAC,MARCELO ANTONIO AGUILAR SANCHEZ,PS,,0.0455806579
29016,2013,PS,RENATO SANCHEZ ROJAS,PT,,0.039350406
29016,2016,PES,MIGUEL ANGEL CABALLERO YONCA,PT,,0.0142977292
29016,2021,PS,RENATO SANCHEZ ROJAS ,PNA,,0.0119698152
29017,1991,PRD,PORFIRIO ACATZI,PRI,,0.084624553
29017,1994,PRD,SERVANDO MANZANO PEREZ,PRI,,0.1253504205
29017,1998,PRI,JOSE ASCENCION MENA XICOHTENCATL,PRD,,0.0867813988
29017,2001,PRD,MARGARITO MANZANO GALINDO,PRI,,0.028357236
29017,2004,PRI_PVEM,JUAN PERALES XICOHTENCATL,PRD,,0.0537700865
29017,2007,PT,MAXIMINO SANCHEZ XICOHTENCATL,PRD,,0.0502339325
29017,2010,PRD,ZENON MARAVILLA ROJAS,PAC,,0.1285067873
29017,2013,PRD,SILVERIO PEREZ MEZA,MC,,0.0298819947
29017,2016,INDEP,JOSE ESTEBAN CORTES TORRES,PVEM,,0.0140870838
29017,2021,PRD,MARIO QUIXTIANO XICOHTENCATL ,PRI,,0.0048451289
29018,1991,PRD,EFRAIN RODRIGUEZ DE GANTE,PRI,,0.0037661051
29018,1994,PRI,SATURNINO SOLIS HERNANDEZ,PRD,,0.0315277778
29018,1998,PRI,PABLO FLORES GALICIA,PRD,,0.0246845858
29018,2001,PRI,CECILIO AMADOR CUAHUTLE,PAN,,0.0046714735
29018,2004,PRD,MIGUEL TETLAMATZI MOZENCAHUA,PRI_PVEM,,0.1114475084
29018,2007,PAN_PAC,MOISES ROLDAN RODRIGUEZ,PRI_PVEM,,0.040826285
29018,2010,PRI,JOSE RODRIGUEZ MUÑOZ,PAN_PNA_PAC,,0.1152307472
29018,2013,PAN_PAC,FILEMON ACOLTZI NAVA,PRD,,0.2004045853
29018,2016,PRD,MIGUEL MUÑOZ REYES,PAN,,0.0017104099
29018,2021,MORENA,EDDY ROLDAN XOLOCOTZ ,PNA,,0.1552801783
29019,1991,PRI,JOSE JUAN FERNANDEZ MENDEZ,PPS,,0.1979599547
29019,1994,PRI,J GREGORIO MENDEZ GARCIA,PAN,,0.2291722119
29019,1998,PT,JOSE ESTEBAN AGUILAR,PRI,,0.0342737235
29019,2001,PAN,AARON MENDEZ SANCHEZ,PVEM,,0.0402351644
29019,2004,PVEM,VALENTIN PEREZ PEREZ,CONVE,,0.1462119994
29019,2007,PRI,CARLOS AUGUSTO PEREZ HERNANDEZ,PRD,,0.135069741
29019,2010,PS,PANFILO PEREZ PEREZ,PAN_PNA,,0.0091536217
29019,2013,PRD,HUGO CELIS GALICIA,PVEM,,0.0010409438
29019,2016,PAN,CARLOS FERNANDEZ NIEVES,PNA,,0.1017728168
29019,2021,MORENA,ALAN ALVARADO ISLAS ,PT,,0.0204102152
29020,1991,PRI,MIGUEL GARCIA DE OCA,PRD,,0.5735996526
29020,1994,PRI,CLEMENTINA SANCHEZ CONDE,PRD,,0.1831342743
29020,1998,PRI,ADOLFO COVA FLORES,PT,,0.0910845234
29020,2001,PRD,FEDERICO TENOPALA HERNANDEZ,PRI,,0.0762150221
29020,2004,PRI_PVEM,GEORGINA BEATRIZ LUNA SANCHEZ,PAN,,0.0094073377
29020,2007,PASD,MANUELA COVA HUERTA,PAN_PAC,,0.1742690058
29020,2010,PAC,JUAN MANUEL ROMERO RAMIREZ,PAN_PNA,,0.1433575856
29020,2013,PRI,MIGUEL ANGEL TORRES COVA,PAN,,0.315840622
29020,2016,PAN,ENRIQUE ROSETE SANCHEZ,PT,,0.0201452331
29020,2021,MORENA,VERENICE GARCIA ZALDIVAR ,PRI,,0.0154058404
29021,1991,0,FELIPE BENITEZ DIAZ,0,,NA
29021,1994,PRI,GUILLERMO LARA RAMIREZ,PRD,,0.2458575907
29021,1998,PRD,HILARIO BRINDIS MEJIA,PRI,,0.0403323875
29021,2001,PRI,GIL SALAZAR ESPEJEL,PRD,,0.1576466151
29021,2004,PT,JOSE IBARRA ZARCO,PRI_PVEM,,0.0042911372
29021,2007,PAN_PAC,LEOPOLDO TOACHE GARCIA,CONVE,,0.022963089
29021,2010,PRI,ALFONSO OLVERA RAMIREZ,PAN_PNA,,0.017838561
29021,2013,PAN_PAC,LILIA CARITINA OLVERA CORONEL,PRD,,0.0573125081
29021,2016,PRI_PS1,VICTOR HUGO SANCHEZ FLORES,PNA,,0.0391439794
29021,2021,MORENA,OSWALDO MANUEL ROMANO VALDES ,PT,,0.0433306935
29022,1991,PRI,PEDRO AGUILA,PFCRN,,0.9911308204
