ID_ENTIDAD,ID_MUNICIPIO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
7,1,PVEM,CLAUDIAN KAORI KOMUKAI RAMOS,-
7,1,PT,VERA LILIANA HERNANDEZ LOPEZ,-
7,1,PCHU,JOSE ANTONIO MEZA,-
7,1,MORENA,YESENIA GARCIA  HERNANDEZ,-
7,1,PMCH,WILVER PATRICIO  MATIAZ  ANTONIO ,-
7,1,PES,ELMER CAMPOS GUTIERREZ,-
7,1,RSP,DORY ELENY HERNANDEZ WONG,-
7,1,FXM,ITZEL CRUZ CUNDAPI,-
7,1,PAN_PRI_PRD,MARIA FELIX  GUZMAN  SAAVEDRA,-
7,2,PVEM,ESTEBAN  TORRES GONZALEZ,-
7,2,PT,FLOR DE MARIA CRUZ GOMEZ,-
7,2,MC,MARIA CECILIA COELLO DIAZ,-
7,2,PCHU,TATIANA DE JESUS MARTINEZ  SANCHEZ,-
7,2,MORENA,MARIA PATRICIA COELLO ZAPATA,-
7,2,PMCH,FAVIOLA GUADALUPE  NANGA LOPEZ,-
7,2,PPCH,RUBISELA GARCIA VAZQUEZ,-
7,2,PES,CRISTIAN ANTONIO  NUÑEZ  RUIZ,-
7,2,RSP,MARIA DEL CARMEN LOPEZ PEREZ,-
7,2,FXM,RAFAEL ENRIQUE COELLO  COUTIÑO,-
7,2,PAN_PRI_PRD,ANAIKA VIVIANA GARCIA  HERRERA,-
7,3,PVEM,JAVIER NIEVES CRUZ,-
7,3,PT,SILVIA KARINA AQUINO  LOPEZ,-
7,3,MC,GABRIELA MEJIA  BOLAÑOS,-
7,3,PCHU,MARGARITA CONCEPCION  AQUINO  ESCOBAR,-
7,3,MORENA,CESAR MARTINEZ ANTONIO,-
7,3,PMCH,ROLANDO ISMAEL GUTIERREZ OVALLES,-
7,3,RSP,MARIA JOSE  PRADO  VELAZQUEZ ,-
7,3,PAN_PRI_PRD,JESSICA YULEISI DE LA CRUZ MONTES,-
7,4,PAN,REBECA  LOPEZ AGUILAR,-
7,4,PRI,DANIEL  JIMENEZ  DIAZ,-
7,4,PVEM,OSCAR  PINTO  GOMEZ,-
7,4,PT,GASPAR SANTIZ JIMENEZ,-
7,4,PCHU,ALFREDO GONZALEZ TORRES,-
7,4,MORENA,GUADALUAPE ALFONZO MORENO,-
7,5,PVEM,RUTH GEORGINA MENDEZ MARTINEZ,-
7,5,PT,LORENA DEL CARMEN DE LA CRUZ TORRES,-
7,5,MC,DELFINA GOMEZ SANCHEZ,-
7,5,PCHU,TERESA DIAZ HERNANDEZ,-
7,5,MORENA,ARACELY ZENTENO MORALES,-
7,5,PMCH,MANUEL DE JESUS CARPIO MAYORGA,-
7,5,RSP,MAJIN AGUILAR UTRILLA,-
7,5,PAN_PRI_PRD,CATALINA DEL ROSARIO CARPIO  MAYORGA,-
7,6,PVEM,ERNESTO TEODOMIRO OSORIO ESCOBAR,-
7,6,PT,DILNER GABRIEL TOMAS,-
7,6,MC,YOLANDA VILLATORO PEREZ,-
7,6,PCHU,SELENY VANESSA FELIPE ROJAS,-
7,6,MORENA,ROSARIO JANETH LOPEZ VILLALOBOS,-
7,6,PES,EULISE GAMALIEL DE LEON MAURICIO,-
7,6,FXM,MARTA PATRICIA MONTERO VIDAL,-
7,6,PAN_PRI_PRD,GONZALO LEONARDO BAUTISTA GARCIA,-
7,7,PVEM,ROMELIA PEREZ GOMEZ,-
7,7,PCHU,GREGORIO JIMENEZ GOMEZ,-
7,7,MORENA,JULIETA GOMEZ  JIMENEZ,-
7,7,PAN_PRI_PRD,CATALINA MENDEZ HERNANDEZ,-
7,8,PVEM,MANUEL DE JESUS  MORENO FERNANDEZ,-
7,8,PT,SELENE DEL ROSARIO VELASCO AGUILAR,-
7,8,MC,CORI FABIOLA  HERNANDEZ  HERRERA,-
7,8,PCHU,KARINA DEL CARMEN CRUZ  CAMACHO,-
7,8,MORENA,ROXANA ALELI TORRES  ROBLERO,-
7,8,RSP,RIGOBERTO ANDRES VENTURA TOVILLA,-
7,8,PAN_PRI_PRD,EMMANUEL DE JESUS RAMOS GOMEZ,-
7,9,PVEM,ALEJANDRO AQUILES PATRINOS  FERNANDEZ,-
7,9,PT,LUIS ESTEBAN  AYALA VELEZ,-
7,9,MC,GERARDO DAVID CASTILLEJOS ZAPATA,-
7,9,PCHU,JOSE ALFREDO TOLEDO BLAS,-
7,9,MORENA,GONZALO DE JESUS MOGUEL RINCON,-
7,9,RSP,FRANCISCA  ULLOA MAGARIÑO,-
7,9,PAN_PRI_PRD,OSCAR  ERASMO RUIZ CORDOVA,-
7,10,PRI,CENOVIO VELAZQUEZ Y VELAZQUEZ,-
7,10,MC,SOFIA CHAVEZ RAMIREZ,-
7,10,PVEM_PT_PCHU_MORENA_PMCH_PPCH_PES_RSP_FXM,ONECIMO ESAU SANTIZO ROBLERO,-
7,11,PAN, LINDER JOSELIS VAZQUEZ VELAZQUEZ,-
7,11,PRI,HEYTOR HERNAN MARROQUIN SANTIZO,-
7,11,PVEM,VISAI  LOPEZ  RODRIGUEZ,-
7,11,PT,LOIDA ADINA  MOLINA VAZQUEZ,-
7,11,PCHU,ROSEMBER LOPEZ ROBLERO,-
7,11,MORENA,YOLANDA ROBLERO VELAZQUEZ,-
7,11,PES,DUVALIER NAIN SARGENTO  GONZALEZ,-
7,11,RSP,ELIAS CLISERIO JUAREZ CRUZ,-
7,12,PAN,JOHANNA SHEENDEL HERNANDEZ LOPEZ,-
7,12,PRI,MIGUEL FERNANDO  PALACIOS ZEBADUA,-
7,12,PVEM,DANIEL ALEJANDRO TORRES MARROQUIN,-
7,12,PT,ROCIO  DE LOS ANGELES CASTAÑEDA GARCIA,-
7,12,MC,JOSE LUIS LOPEZ SARMIENTO,-
7,12,PCHU,ADRIANA DEL CARMEN FERNANDEZ LOPEZ,-
7,12,MORENA,JORGE ARTURO ACERO GOMEZ,-
7,12,PMCH,MARIA DE LOS ANGELES GOMEZ LOPEZ,-
7,12,PES,ANGELITA SAN SEBASTIAN GARCIA,-
7,12,RSP,MADELENNE RAMIREZ ALBARES,-
7,12,FXM,HORACIO MORENO LARA,-
7,13,PAN,YANETH DIAZ  PEREZ,-
7,13,PRI,EDDUI MIRIAM FLORES  SANCHEZ,-
7,13,PRD,BLAS TORRES PEREZ,-
7,13,PVEM,ALEJANDRA GUADALUPE URBINA ZEA,-
7,13,PT,JESUS ELEAZAR SANCHEZ GIRON,-
7,13,PCHU,JORGE ANTONIO VALDEZ  HERNANDEZ,-
7,13,MORENA,SERGIO LUIS ZENTENO MENESES,-
7,13,PES,KAREN MONTSERRAT RUIZ DIAZ,-
7,14,PRI,GERONIMO CACEREZ PEREZ,-
7,14,PVEM,AIDA IRENE DIAZ GONZALEZ,-
7,14,PT,MARIA EUGENIA LOPEZ RUIZ,-
7,14,PCHU,ARIHANA ALESSANDRI SANCHEZ DIAZ,-
7,14,MORENA,MARIA ELENA BONIFAZ DE LA CRUZ,-
