ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,0,22,1723,445,121,135,300,1753,79,3487,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,8119,85,369,8573,0,
14,JALISCO,6,AMECA,1,1,62,27,12,24,7,91,16,140,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,1,18,404,0,
14,JALISCO,8,ARANDAS,1,1,67,36,4,10,3,137,7,87,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,0,10,367,0,
14,JALISCO,15,AUTLAN DE NAVARRO,1,1,47,36,12,11,5,85,7,151,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,356,0,16,372,0,
14,JALISCO,31,CHAPALA,2,2,180,93,6,29,8,159,12,196,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,0,19,715,0,
14,JALISCO,22,CIHUATLAN,1,1,68,41,18,8,4,82,5,161,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,393,0,13,406,0,
14,JALISCO,26,COLOTLAN,1,1,66,68,4,6,4,90,5,116,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,364,0,19,383,0,
14,JALISCO,41,GUADALAJARA,11,11,210,131,22,59,31,500,33,647,22,0,0,0,0,1,1,0,1,,0,,0,,,,,,,1,,,,,38,1,,,1698,14,249,1961,0,
14,JALISCO,52,JOCOTEPEC,1,1,60,30,3,13,2,87,8,79,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,289,0,24,313,0,
14,JALISCO,18,LA BARCA,1,1,59,29,4,12,8,63,13,105,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,300,1,0,301,0,
14,JALISCO,55,LAGOS DE MORENO,1,2,89,45,3,12,6,121,9,138,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,0,28,456,0,
14,JALISCO,61,MAZAMITLA,1,1,42,76,5,8,8,233,4,122,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,0,11,512,0,
14,JALISCO,65,OCOTLAN,1,1,53,35,4,10,3,67,8,109,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,1,12,310,0,
14,JALISCO,69,PUERTO VALLARTA,2,3,146,59,4,8,4,112,4,124,0,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,0,461,76,7,544,0,
14,JALISCO,75,SAN JUAN DE LOS LAGOS,2,2,73,14,5,17,6,90,11,86,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,0,21,327,0,
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,4,4,81,63,17,21,5,176,8,277,13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,,,,661,6,24,691,0,
14,JALISCO,85,TALPA DE ALLENDE,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,
14,JALISCO,87,TAPALPA,1,1,81,37,11,26,14,92,7,89,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,360,97,7,464,0,
14,JALISCO,89,TECOLOTLAN,1,1,53,41,5,5,6,63,8,85,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,271,0,9,280,0,
14,JALISCO,95,TEQUILA,1,1,61,34,3,9,4,67,7,78,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,268,0,12,280,0,
14,JALISCO,98,TLAJOMULCO DE ZUÑIGA,3,3,19,30,0,5,9,73,3,155,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,297,4,6,307,0,
14,JALISCO,102,TONALA,2,2,43,48,3,17,17,112,5,196,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,,9,458,0,
14,JALISCO,114,VILLA CORONA,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
14,JALISCO,116,VILLA HIDALGO,1,1,26,13,1,0,3,30,6,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0,8,131,0,
14,JALISCO,120,ZAPOPAN,6,9,120,72,4,14,10,170,6,227,7,0,0,0,0,1,0,0,0,0,,,,0,0,0,14,,,,,,,,,,,,645,41,121,807,0,
14,JALISCO,23,ZAPOTLAN EL GRANDE,1,1,32,11,1,1,3,42,0,103,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,61,,254,0,6,260,0,
14,JALISCO,124,ZAPOTLANEJO,1,1,53,28,3,7,5,69,5,124,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,302,0,0,302,0,
