CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,MEC01,81,25,5,7,14,87,3,177,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,5,10,418,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,MEC02,73,22,6,4,7,87,6,151,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,5,17,383,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,3,0,MEC03,78,22,8,5,7,80,4,170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,7,18,401,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,4,0,MEC04,69,14,8,8,7,67,4,156,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,8,15,359,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,5,0,MEC05,86,21,7,9,9,75,5,140,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,5,14,376,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,6,0,MEC06,85,18,4,2,18,77,2,178,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,4,14,407,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,7,0,MEC07,81,19,5,7,18,71,3,150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,3,15,375,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,8,0,MEC08,92,22,5,2,6,77,1,129,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,4,56,396,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,9,0,MEC09,87,22,4,8,12,78,0,153,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,3,15,385,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,10,0,MEC10,72,17,6,6,6,76,6,148,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,2,18,363,0,Mesa de escrutinio y computo,,,
