CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,22,1723,445,121,135,300,1753,79,3487,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,8119,85,369,8573,0
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,415,1,66,68,4,6,4,90,5,116,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,364,0,19,383,0
1,14,JALISCO,1,TEQUILA,95,TEQUILA,2397,1,61,34,3,9,4,67,7,78,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,268,0,12,280,0
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1736,2,89,45,3,12,6,121,9,138,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,0,28,456,0
1,14,JALISCO,2,LAGOS DE MORENO,75,SAN JUAN DE LOS LAGOS,2071,1,24,9,2,9,3,24,7,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,0,8,118,0
1,14,JALISCO,2,LAGOS DE MORENO,75,SAN JUAN DE LOS LAGOS,2093,1,49,5,3,8,3,66,4,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,0,13,209,0
1,14,JALISCO,3,TEPATITLAN DE MORELOS,8,ARANDAS,137,1,67,36,4,10,3,137,7,87,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,0,10,367,0
1,14,JALISCO,3,TEPATITLAN DE MORELOS,116,VILLA HIDALGO,2849,1,26,13,1,0,3,30,6,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0,8,131,0
1,14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2915,1,11,11,1,0,2,36,0,38,1,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,100,3,42,145,0
1,14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3073,2,38,27,0,9,2,58,3,88,2,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,227,0,54,281,0
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,2,142,52,4,8,4,104,4,108,0,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,0,426,76,7,509,0
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1957,1,4,7,0,0,0,8,0,16,0,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,0,35,0,0,35,0
1,14,JALISCO,5,PUERTO VALLARTA,85,TALPA DE ALLENDE,2213,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
1,14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3527,1,21,10,0,2,2,27,1,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,0,7,114,0
1,14,JALISCO,7,TONALA,102,TONALA,2687,1,26,29,3,11,12,68,2,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,256,0
1,14,JALISCO,7,TONALA,102,TONALA,2693,1,17,19,,6,5,44,3,91,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,9,202,0
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,1049,1,23,10,2,1,3,22,2,32,1,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,96,0,39,135,0
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,1058,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,1140,1,20,19,2,3,1,30,2,58,1,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,136,0,60,196,0
1,14,JALISCO,9,GUADALAJARA,41,GUADALAJARA,1373,1,24,16,0,9,8,57,9,70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,0,3,200,0
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3101,2,23,13,0,0,2,16,1,19,1,0,0,0,0,1,0,0,0,,,,,,,0,14,,,,,,,,,,,,90,0,4,94,0
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3119,2,23,8,2,2,2,32,1,31,3,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,104,38,2,144,0
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,724,1,13,16,4,8,1,81,4,90,1,,,,,0,0,0,0,,,,,,,,,,,1,,,,,,,,,219,0,38,257,0
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,1435,1,16,14,2,9,4,80,3,88,5,,,,,1,1,0,1,,,,,,,,,,,0,,,,,,,,,224,0,23,247,0
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,1515,1,20,10,6,10,2,52,3,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,14,7,203,0
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,2462,1,11,25,0,5,8,56,3,123,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,0,4,238,0
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,2465,1,8,5,0,0,1,17,0,32,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,63,4,2,69,0
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,2467,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
1,14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2619,1,7,7,2,2,1,17,1,25,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,,,,63,0,0,63,0
1,14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,120,ZAPOPAN,3183,1,4,3,1,1,0,1,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,12,29,0
1,14,JALISCO,14,GUADALAJARA,41,GUADALAJARA,789,1,34,15,4,6,4,88,7,100,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,263,0,60,323,0
1,14,JALISCO,14,GUADALAJARA,41,GUADALAJARA,798,1,14,8,1,3,1,20,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,19,88,0
1,14,JALISCO,14,GUADALAJARA,41,GUADALAJARA,799,1,20,7,0,4,0,30,1,34,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,38,1,,,135,0,0,135,0
1,14,JALISCO,14,GUADALAJARA,41,GUADALAJARA,978,1,26,16,1,6,7,40,2,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,0,177,0
1,14,JALISCO,15,LA BARCA,18,LA BARCA,261,1,59,29,4,12,8,63,13,105,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,300,1,0,301,0
1,14,JALISCO,15,LA BARCA,65,OCOTLAN,1871,1,53,35,4,10,3,67,8,109,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,1,12,310,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2474,1,33,36,2,6,1,75,3,88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,2,9,258,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2523,1,21,11,12,10,2,47,1,82,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,4,10,205,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2526,1,20,9,1,3,1,37,3,82,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0,5,165,0
1,14,JALISCO,17,JOCOTEPEC,31,CHAPALA,461,1,84,50,3,15,7,78,7,116,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,0,10,381,0
1,14,JALISCO,17,JOCOTEPEC,31,CHAPALA,469,1,96,43,3,14,1,81,5,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,0,9,334,0
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1672,1,60,30,3,13,2,87,8,79,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,289,0,24,313,0
1,14,JALISCO,17,JOCOTEPEC,61,MAZAMITLA,1817,1,42,76,5,8,8,233,4,122,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,0,11,512,0
1,14,JALISCO,17,JOCOTEPEC,114,VILLA CORONA,2831,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
1,14,JALISCO,18,AUTLAN DE NAVARRO,6,AMECA,59,1,62,27,12,24,7,91,16,140,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,1,18,404,0
1,14,JALISCO,18,AUTLAN DE NAVARRO,15,AUTLAN DE NAVARRO,197,1,47,36,12,11,5,85,7,151,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,356,0,16,372,0
1,14,JALISCO,18,AUTLAN DE NAVARRO,22,CIHUATLAN,327,1,68,41,18,8,4,82,5,161,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,393,0,13,406,0
1,14,JALISCO,18,AUTLAN DE NAVARRO,89,TECOLOTLAN,2288,1,53,41,5,5,6,63,8,85,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,271,0,9,280,0
1,14,JALISCO,19,ZAPOTLAN EL GRANDE,23,ZAPOTLAN EL GRANDE,352,1,32,11,1,1,3,42,0,103,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,61,,254,0,6,260,0
1,14,JALISCO,19,ZAPOTLAN EL GRANDE,87,TAPALPA,2261,1,81,37,11,26,14,92,7,89,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,360,97,7,464,0
1,14,JALISCO,20,TONALA,124,ZAPOTLANEJO,3287,1,53,28,3,7,5,69,5,124,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,302,0,0,302,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
