ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,1,22,1723,445,121,141,221,1753,79,3487,76,8046,85,370,8501,0,
14,JALISCO,1,TEQUILA,2,2,31280,35322,3211,6716,7314,42010,5832,32744,1814,166243,477,7669,174389,0,
14,JALISCO,2,LAGOS DE MORENO,3,4,49086,23222,1837,8715,1542,37225,4974,16418,1267,144286,597,6975,151858,0,
14,JALISCO,3,TEPATITLAN DE MORELOS,2,2,55132,32066,1534,9809,1939,49238,6055,17279,2923,175975,102,10437,186514,0,
14,JALISCO,4,ZAPOPAN,2,3,21,16,,5,2,30,2,50,,126,,6,132,0,
14,JALISCO,5,PUERTO VALLARTA,3,4,8932,22361,2290,5821,2909,47898,1819,41748,1382,135160,30,6267,141457,0,
14,JALISCO,6,ZAPOPAN,1,1,24422,18958,1453,5324,2876,45256,2406,36200,2320,139215,,6,139221,0,
14,JALISCO,7,TONALA,2,2,11181,19026,992,5214,3969,34572,3861,32796,2534,114145,171,4612,118928,0,
14,JALISCO,8,GUADALAJARA,3,3,34906,24221,1522,5584,2778,47078,2771,37715,2148,158723,425,5657,214144,0,
14,JALISCO,9,GUADALAJARA,1,1,18728,22357,2104,7354,4869,53414,4372,50526,4417,168141,476,6912,175530,0,
14,JALISCO,10,ZAPOPAN,2,4,33192,15436,1172,4033,2696,34440,2393,26137,2216,121715,507,4048,126276,0,
14,JALISCO,11,GUADALAJARA,3,3,19929,24488,2457,6137,4636,56410,3660,49043,3966,170726,11972,6943,189641,0,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,3,3,15470,10136,3128,4728,3353,72545,2464,43970,3443,159237,429,4502,164168,0,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,2,2,22522,19215,1406,5101,3060,36324,2007,33968,2598,126201,400,5065,168718,0,
14,JALISCO,14,GUADALAJARA,4,4,21633,19342,1455,6078,3930,54302,3555,43596,3196,157087,118,7597,164802,0,
14,JALISCO,15,LA BARCA,2,2,24236,32300,3763,15025,3794,35910,914,38405,9160,163507,64,7351,170922,0,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,3,3,74,56,15,19,4,159,7,252,12,598,6,24,628,0,
14,JALISCO,17,JOCOTEPEC,5,5,18587,32778,2973,15423,3035,39030,6295,32565,2211,152897,98,6106,159101,0,
14,JALISCO,18,AUTLAN DE NAVARRO,4,4,24162,40567,7141,9572,2791,42110,6666,35599,1548,170156,102,8152,178410,0,
14,JALISCO,19,ZAPOTLAN EL GRANDE,2,2,15058,30711,7283,10879,4935,42055,5363,42498,3154,161936,313,7253,169502,0,
14,JALISCO,20,TONALA,1,1,15962,21853,2138,7570,3489,49821,2799,34463,3218,141313,192,5727,147232,0,
