CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,22,COCOTITLAN,648,3,116,246,213,26,119,126,66,558,32,18,2,0,1,0,3,3,0,4,1533,0,50,1583,2069
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,22,COCOTITLAN,649,3,125,248,116,35,104,115,41,648,19,20,0,0,0,0,9,0,0,2,1482,0,48,1530,1980
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,22,COCOTITLAN,650,3,257,276,268,33,102,120,38,532,19,11,1,0,0,0,8,2,1,0,1668,0,53,1721,2200
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,22,COCOTITLAN,651,2,87,225,121,20,57,65,21,441,17,9,0,1,0,0,3,0,0,0,1067,0,49,1116,1433
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,22,COCOTITLAN,652,3,133,216,123,24,94,77,53,700,12,6,1,0,0,0,10,0,0,1,1450,0,60,1510,1904
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,22,COCOTITLAN,653,3,113,365,160,17,86,102,25,464,25,28,0,3,0,0,3,3,0,0,1394,0,39,1433,1802
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,937,11,241,714,202,129,116,176,58,2391,187,65,17,2,2,5,109,17,6,18,4455,6,143,4604,8050
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,938,2,31,117,22,15,17,30,7,254,8,6,4,1,0,1,19,4,4,1,541,0,17,558,835
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,966,3,80,269,42,37,26,47,10,733,33,25,2,0,0,0,22,5,1,8,1340,1,46,1387,2094
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,967,3,59,190,99,34,21,69,10,580,46,23,3,0,1,0,33,3,0,7,1178,0,42,1220,2117
