ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,23,TEXCOCO DE MORA,110,447,12585,37600,5577,4654,15419,3279,5363,91627,4107,5351,185562,88,6097,191747,287754,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D23.pdf
15,MEXICO,24,NEZAHUALCOYOTL,214,480,15490,24988,39510,4172,4837,2881,2996,81187,4081,2341,182483,111,5414,188008,278996,http://www.ieem.org.mx/proceso2018/actas/distrital/CD24_NEZAHUALCOYOTL_JI_31_2018.pdf
15,MEXICO,25,NEZAHUALCOYOTL,244,523,11747,25460,52543,4277,5419,2822,3125,79369,3637,2150,190549,100,5663,196312,296172,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D25.pdf
15,MEXICO,26,CUAUTITLAN IZCALLI,172,447,33844,30348,4234,4433,5818,3152,4551,78569,4334,5706,174989,127,5132,180248,265297,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D26.pdf
15,MEXICO,27,VALLE DE CHALCO SOLIDARIDAD,114,404,7358,22083,27543,5043,6824,3079,2190,78967,4294,2625,160006,150,5902,166058,262331,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D27.pdf
15,MEXICO,28,AMECAMECA DE JUAREZ,170,424,10254,48818,7853,3800,8044,5513,3738,72847,4083,6321,171271,120,6123,177514,256458,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D28.pdf
15,MEXICO,29,NAUCALPAN DE JUAREZ ,185,476,80363,27794,3595,3270,11335,2562,3136,54858,4388,3898,195199,143,4953,200295,279938,http://www.ieem.org.mx/proceso2018/actas/distrital/CD 29_NAUCALPAN_JI_13_2018.pdf
15,MEXICO,30,NAUCALPAN DE JUAREZ,189,454,34676,30220,4104,4685,5235,2754,2949,67954,4673,2556,159806,92,5240,165138,266941,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D30.pdf
15,MEXICO,31,LOS REYES ACAQUILPAN,113,409,8302,45307,13710,5055,5957,2388,2446,70177,4272,2356,159970,79,5516,165565,260012,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D31.pdf
15,MEXICO,32,NAUCALPAN DE JUAREZ,139,445,38632,31027,4081,4714,4459,2644,2721,71191,4730,3165,167364,148,5652,173164,274625,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D32.pdf
15,MEXICO,33,TECAMAC DE FELIPE VILLANUEVA,157,504,21240,63424,4365,6637,3761,2873,6373,97340,5276,3214,214503,183,5779,220465,322728,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D33.pdf
