ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,1,,108,258,3266,4587,17886,3346,1130,3621,1789,17029,1644,3441,0,0,0,0,104,57739,3245,61088,160717,0.3801
9,DISTRITO FEDERAL,2,,190,352,15866,9354,13565,3746,1267,2943,2553,20673,2813,5811,0,0,0,0,223,78591,6192,85006,192158,0.4424
9,DISTRITO FEDERAL,3,,184,347,13297,9920,15671,3717,1526,2367,3243,20919,3155,5785,0,0,0,0,541,79600,5744,85885,194440,0.4417
9,DISTRITO FEDERAL,4,,182,376,7498,9110,17255,5296,1462,2687,4451,24460,2954,6141,0,0,0,0,238,81314,5643,87195,214703,0.4061
9,DISTRITO FEDERAL,5,,162,311,13251,8523,11273,4502,1259,1774,2173,17361,2368,5241,0,0,0,0,168,67725,5037,72930,165267,0.4413
9,DISTRITO FEDERAL,6,,170,356,7617,11909,15136,4073,1330,8470,2520,24292,2747,6244,0,0,0,0,306,84338,6015,90659,205719,0.4407
9,DISTRITO FEDERAL,7,,203,371,14673,10960,11157,3988,1518,2282,2766,19227,3329,5708,3661,0,0,0,377,79269,6195,85841,196216,0.4375
9,DISTRITO FEDERAL,8,,145,328,17186,7146,29532,3594,1443,1678,1758,13149,2529,4325,0,0,0,0,276,82340,5602,88218,191570,0.4605
9,DISTRITO FEDERAL,9,,151,319,8100,15417,13764,3180,1085,2052,1925,23321,2684,5324,0,0,0,0,256,76852,5707,82815,186254,0.4446
9,DISTRITO FEDERAL,10,,165,335,8813,9258,22029,4530,1197,6542,2131,15438,2560,5491,0,0,0,0,216,77989,5823,84028,192958,0.4355
9,DISTRITO FEDERAL,11,,169,338,6655,8357,24448,3561,1483,8030,2270,16233,2490,5094,0,0,0,0,188,78621,5212,84021,194160,0.4327
9,DISTRITO FEDERAL,12,,174,353,10048,13940,15942,3380,1256,2340,2093,21769,3489,5402,0,0,0,0,274,79659,6374,86307,198258,0.4353
9,DISTRITO FEDERAL,13,,178,332,25538,9873,9290,2615,933,1930,1352,13426,1833,2955,0,0,0,4649,379,74394,6895,81668,183195,0.4458
9,DISTRITO FEDERAL,14,,151,318,6044,8433,17048,3250,1699,5119,2087,18296,2498,5301,0,0,0,0,206,69775,5011,74992,176777,0.4242
9,DISTRITO FEDERAL,15,,146,282,8717,7731,15306,3513,1262,3828,2526,15740,2616,5270,0,0,0,0,173,66509,5297,71979,161518,0.4456
9,DISTRITO FEDERAL,16,,126,291,22731,9034,5047,3985,1161,5109,2730,15978,2984,5114,0,0,0,0,386,73873,7416,81675,173001,0.4721
