ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_JUNTA,JUNTA,SECCIONES,CASILLAS,PAN,PRD,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,CAMPECHE,1,PICH,5,12,943,510,32,16,254,661,12,29,1615,,4072,188,4260,6569,0.6485
4,CAMPECHE,1,CAMPECHE,2,TIXMUCUY,6,7,627,24,6,4,12,24,4,94,1185,,1980,62,2042,2548,0.8014
4,CAMPECHE,1,CAMPECHE,3,ALFREDO V. BONFIL,5,7,640,311,2,5,104,63,4,68,752,,1949,47,1996,2389,0.8355
4,CAMPECHE,1,CAMPECHE,4,HAMPOLOL,4,6,426,215,5,5,15,35,21,719,580,,2021,88,2109,2787,0.7567
4,CAMPECHE,2,CALKINI,5,BECAL,7,13,205,54,29,17,1500,767,4,28,1519,,4123,94,4217,5485,0.7688
4,CAMPECHE,2,CALKINI,6,DZITBALCHE,6,17,292,86,77,84,1161,3388,0,12,2238,,7338,264,7602,10218,0.744
4,CAMPECHE,2,CALKINI,7,NUNKINI,8,14,175,131,20,53,309,2060,0,0,2902,,5650,274,5924,6988,0.8477
4,CAMPECHE,3,CARMEN,8,ATASTA,7,19,3319,154,27,40,107,826,18,3,2670,,7164,280,7444,10745,0.6928
4,CAMPECHE,3,CARMEN,9,MAMANTEL,8,12,1336,15,7,30,18,1262,8,6,1310,,3992,100,4092,5513,0.7422
4,CAMPECHE,3,CARMEN,10,SABANCUY,11,20,4511,50,21,39,42,132,15,13,3397,,8220,216,8436,12412,0.6796
4,CAMPECHE,4,CHAMPOTON,11,HOOL,3,7,858,92,12,6,46,50,3,3,1051,,2121,76,2197,3595,0.6111
4,CAMPECHE,4,CHAMPOTON,12,SEYBAPLAYA,11,22,889,1060,210,418,533,1489,34,635,2843,,8111,316,8427,12059,0.6988
4,CAMPECHE,4,CHAMPOTON,13,SIHOCHAC,3,6,137,103,7,220,38,627,14,2,1150,,2298,57,2355,2901,0.8118
4,CAMPECHE,4,CHAMPOTON,14,CARRILLO PUERTO,7,9,1311,154,36,40,61,174,6,3,1392,,3177,157,3334,4823,0.6913
4,CAMPECHE,5,HECELCHAKAN,15,POMUCH,6,11,2111,25,5,31,35,181,13,1331,1568,,5300,129,5429,6585,0.8244
4,CAMPECHE,6,HOPELCHEN,16,BOLONCHEN DE REJON,5,8,1268,51,0,21,56,352,0,0,1274,,3022,95,3117,4135,0.7538
4,CAMPECHE,6,HOPELCHEN,17,DZIBALCHEN,14,21,3373,26,155,40,383,50,3,0,3494,,7524,150,7674,10215,0.7512
4,CAMPECHE,8,TENABO,18,TINUN,3,4,464,19,4,0,68,22,0,0,565,,1142,26,1168,1363,0.8569
4,CAMPECHE,9,ESCARCEGA,19,CENTENARIO,4,7,501,716,12,14,20,16,1,0,1295,,2575,92,2667,4035,0.661
4,CAMPECHE,11,CALAKMUL,20,CONSTITUCION,4,7,950,60,8,13,83,51,0,5,1126,,2296,47,2343,3191,0.7342
