CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1403,B  ,1,0,B,255,36,7,3,1,8,1,7,1,4,4,0,0,2,2,0,0,0,331,0,12,343,734,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,B  ,1,0,B,203,29,3,3,6,1,2,89,5,4,1,0,0,0,3,0,0,2,351,0,4,355,518,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,C  ,1,0,C01,186,37,3,3,3,2,3,89,0,1,0,0,0,0,5,1,0,1,334,0,3,337,517,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,B  ,1,0,B,172,26,1,3,1,2,1,79,0,0,0,0,0,1,2,1,0,1,290,0,5,295,474,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,C  ,1,0,C01,206,21,0,1,5,3,2,74,0,5,0,0,0,0,0,1,0,0,318,0,3,321,474,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,B  ,1,0,B,203,18,6,6,7,3,1,116,4,2,0,0,0,1,1,0,0,0,368,0,7,375,546,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,C  ,1,0,C01,162,28,1,6,8,4,4,143,1,0,1,0,0,1,0,2,0,0,361,0,5,366,545,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,B  ,1,0,B,45,5,1,5,1,2,1,94,4,0,0,0,0,2,3,2,0,0,165,0,6,171,230,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,E   ,1,0,E01,54,29,1,6,3,5,1,82,4,0,0,0,0,1,1,1,0,0,188,0,5,193,250,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,B  ,1,0,B,157,31,3,4,4,6,1,269,2,2,0,0,0,0,7,3,0,2,491,0,8,499,691,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,C  ,1,0,C01,132,24,7,6,9,4,1,292,3,3,0,0,0,3,3,2,0,1,490,0,6,496,690,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,B  ,1,0,B,105,29,2,4,1,3,3,139,5,3,0,0,0,0,1,2,0,0,297,0,3,300,428,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,C  ,1,0,C01,106,27,1,0,9,4,3,142,0,2,0,1,0,0,2,0,0,0,297,0,6,303,427,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1410,B  ,1,0,B,167,51,8,3,16,0,6,185,4,0,0,0,0,4,11,0,2,2,459,0,14,473,706,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,B  ,1,0,B,223,21,4,1,6,5,6,124,3,1,1,0,0,0,2,1,0,2,400,0,4,404,630,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,E   ,1,0,E01,30,31,1,3,2,2,1,51,0,1,0,0,0,1,1,0,0,0,124,0,4,128,208,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,B  ,1,0,B,91,24,3,3,2,6,2,233,4,0,0,1,0,1,4,2,1,1,378,0,8,386,583,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,C  ,1,0,C01,86,26,3,7,3,8,4,245,4,0,1,0,0,1,3,1,0,3,395,0,7,402,582,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,C  ,2,0,C02,90,23,1,5,9,7,1,233,2,1,1,0,0,3,7,4,1,6,394,0,9,403,582,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,C  ,3,0,C03,86,26,6,5,3,2,2,235,4,2,0,0,0,1,6,1,0,0,379,0,7,386,582,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4696,B  ,1,0,B,39,53,2,2,9,4,1,143,2,0,0,0,0,1,3,1,0,3,263,0,4,267,404,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4696,C  ,1,0,C01,37,53,7,4,4,2,1,128,2,1,2,0,0,2,3,2,0,1,249,0,4,253,404,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4697,B  ,1,0,B,64,92,8,6,15,3,3,298,0,0,0,0,0,2,8,5,2,0,506,0,10,516,738,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4697,C  ,1,0,C01,65,84,7,5,10,8,1,293,2,0,0,0,0,2,13,2,0,0,492,0,8,500,737,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4698,B  ,1,0,B,45,67,9,1,3,5,3,188,4,2,2,0,0,2,3,2,1,0,337,0,5,342,484,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4698,C  ,1,0,C01,65,68,7,2,5,3,5,156,4,2,0,0,0,0,3,1,0,1,322,0,6,328,484,ACTA CASILLA,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4699,B  ,1,0,B,85,74,7,2,13,1,5,256,5,1,1,0,0,2,5,2,0,2,461,0,7,468,688,GRUPO DE RECUENTO,,,
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4699,C  ,1,0,C01,93,77,13,4,10,6,6,244,3,2,0,0,0,2,5,0,0,1,466,0,13,479,687,GRUPO DE RECUENTO,,,
