ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,134,PUENTE NACIONAL,15,33,4368,1601,307,474,180,254,67,3250,59,88,41,26,3,107,51,23,1,14,10914,7,239,11160,16876,
30,VERACRUZ,135,RAFAEL DELGADO,9,22,2982,1233,191,106,367,112,110,3728,105,88,29,6,2,35,65,31,1,16,9207,1,230,9438,13861,
30,VERACRUZ,136,RAFAEL LUCIO,3,9,1391,612,173,38,72,37,28,1395,38,34,30,2,4,22,27,13,0,9,3925,0,79,4004,5695,
30,VERACRUZ,139,RIO BLANCO,24,55,4485,1741,500,268,428,402,236,12425,289,100,53,22,4,44,261,103,6,78,21445,10,429,21884,33526,
30,VERACRUZ,140,SALTABARRANCA,5,9,1251,218,85,121,100,34,31,1068,36,14,12,4,2,13,15,6,2,9,3021,0,85,3106,4879,
30,VERACRUZ,141,SAN ANDRES TENEJAPAN,2,3,619,221,117,4,17,24,2,259,32,15,7,0,0,5,8,1,0,2,1333,0,34,1367,1823,
30,VERACRUZ,142,SAN ANDRES TUXTLA,81,207,23688,5695,2567,1898,1173,981,673,26684,527,821,457,112,45,328,679,242,28,157,66755,13,2662,69430,117374,
30,VERACRUZ,143,SAN JUAN EVANGELISTA,27,50,5250,1571,403,110,301,209,130,5569,156,141,82,25,1,37,126,48,4,32,14195,0,457,14652,23874,
30,VERACRUZ,211,SAN RAFAEL,28,46,2992,2438,2599,184,205,238,246,5039,114,70,112,16,6,43,51,32,8,18,14411,0,327,14738,22793,
30,VERACRUZ,212,SANTIAGO SOCHIAPAN,7,16,1250,890,105,30,128,75,43,2439,35,17,8,1,0,21,31,35,1,15,5124,0,185,5309,8928,
