ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,246,398,43991,16675,2407,1641,3156,2807,1770,44092,4445,567,274,148,34,394,958,347,89,386,124181,14,3565,127760,193272,
30,VERACRUZ,2,TANTOYUCA,198,369,47540,19226,8628,7101,2789,1723,1348,43261,1082,570,434,66,50,816,613,255,32,198,135732,36,3826,139594,192632,
30,VERACRUZ,3,TUXPAN,160,382,37313,13970,10624,3447,2844,1295,1277,52561,962,874,927,125,53,386,927,398,43,291,128317,29,3632,131978,209730,
30,VERACRUZ,4,ALAMO,210,400,46681,22489,7190,3458,4481,4472,1377,43782,1230,694,781,116,44,442,727,313,53,231,138561,12,4882,143455,205499,
30,VERACRUZ,5,POZA RICA DE HIDALGO,139,324,27085,10841,8020,916,2945,1321,1061,62740,873,1075,734,109,54,242,1206,613,29,246,120110,33,2429,122572,185736,
30,VERACRUZ,6,PAPANTLA,149,357,36076,16419,9409,2176,3856,4766,1267,47432,1206,856,619,132,52,446,933,310,35,277,126267,9,3379,129655,199389,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,346,26738,14896,5678,1688,2399,4173,1356,47856,976,621,368,189,59,335,795,345,42,272,108786,11,2839,111636,179304,
30,VERACRUZ,8,MISANTLA,214,402,41706,12277,10199,4920,2815,2049,1189,44147,1031,714,818,169,54,740,673,292,47,213,124053,15,3598,127666,188812,
30,VERACRUZ,9,PEROTE,131,337,35789,30489,3499,2401,2496,3930,923,31281,897,719,480,245,40,1007,498,246,28,204,115172,10,3839,119021,176324,
30,VERACRUZ,10,XALAPA I,137,326,34086,16858,1694,1553,2331,1313,1456,54593,1078,682,316,121,20,513,986,475,30,282,118387,34,2420,120841,180810,
30,VERACRUZ,11,XALAPA II,117,297,41099,21035,1946,1488,2191,1212,1338,53162,997,752,341,124,18,587,938,384,41,244,127897,37,2285,130219,191121,
30,VERACRUZ,12,COATEPEC,122,315,39047,23259,4917,1090,2391,1247,1127,41726,998,818,721,109,30,592,730,302,37,250,119391,10,3274,122675,182314,
30,VERACRUZ,13,EMILIANO ZAPATA,171,358,44202,16000,4005,1700,2263,1943,1206,43091,947,907,616,179,38,549,719,317,51,217,118950,77,2727,121754,187355,
30,VERACRUZ,14,VERACRUZ I,173,384,66622,8613,1823,1488,2220,1309,1031,44575,1068,1441,752,246,33,366,875,352,37,234,133085,27,2239,135351,224971,
