ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,31,LOS REYES ACAQUILPAN,113,409,8288,45231,13695,5051,5946,2386,2443,70061,4265,2353,,159719,79,5510,165308,260012,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D31.pdf
15,MEXICO,32,NAUCALPAN DE JUAREZ,139,445,38632,31027,4081,4714,4459,2644,2721,71191,4730,3165,,167364,148,5652,173164,274625,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D32.pdf
15,MEXICO,33,TECAMAC DE FELIPE VILLANUEVA,157,504,21201,63401,4364,6629,3754,2873,6371,97270,5275,3210,,214348,183,5775,220306,322728,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D33.pdf
15,MEXICO,34,TOLUCA DE LERDO,152,447,42709,42752,7257,5505,5691,3766,3794,71234,4965,5559,,193232,107,6407,199746,273938,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D34.pdf
15,MEXICO,35,METEPEC,113,402,38069,44658,3578,9162,6936,3283,5154,67873,3712,4979,,187404,83,5208,192695,260542,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D35.pdf
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,91,384,31426,36554,5079,6863,7446,2706,3570,63481,3824,2863,5907,169719,689,5784,176192,253276,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D36.pdf
15,MEXICO,37,TLALNEPANTLA DE BAZ 5,113,394,15285,28097,6609,5471,4646,2518,3316,76051,4458,4514,,150965,68,5408,156441,254006,http://www.ieem.org.mx/proceso2018/actas/distrital/CD37_TLALNEPANTLA_JDCL_452_2018.pdf
15,MEXICO,38,COACALCO DE BERRIOZABAL,134,424,24858,28788,10475,4156,6017,3377,4842,85385,4327,5474,,177699,157,6795,184651,268588,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D38.pdf
15,MEXICO,39,ACOLMAN DE NEZAHUALCOYOTL,146,444,23627,49702,7162,7374,7394,2559,3846,79201,3770,6195,,190830,133,5608,196571,272235,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D39.pdf
15,MEXICO,40,IXTAPALUCA 6,159,430,10760,52621,8117,4295,3533,2594,1985,71883,3752,3158,,162698,92,5300,168090,258523,http://www.ieem.org.mx/proceso2018/actas/distrital/CD40_IXTAPALUCA_JI_32_2018.pdf
15,MEXICO,41,CD. NEZAHUALCOYOTL,222,508,9334,25182,52334,4076,4914,2546,2763,74723,3700,1848,,181420,82,5634,187136,290097,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D41.pdf
15,MEXICO,42,ECATEPEC DE MORELOS,159,378,13402,32621,6234,4139,4735,2139,3004,70475,4200,2183,,143132,89,4234,147455,218333,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D42.pdf
15,MEXICO,43,CUAUTITLAN IZCALLI,172,432,42995,24305,3395,4101,7503,3941,5767,76014,4419,5913,,178353,116,4713,183182,261609,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D43.pdf
15,MEXICO,44,NICOLAS ROMERO,100,430,37477,32920,4980,5481,5679,3123,4998,77584,4426,4016,,180684,171,5607,186462,284282,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D44.pdf
15,MEXICO,45,ALMOLOYA DE JUAREZ,107,381,19047,31484,6224,9212,8233,5202,9374,56922,3790,4399,,153887,28,6718,160633,236180,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D45.pdf
