ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,106,TLATLAYA,32,57,139,6186,9718,103,77,42,229,2769,38,18,35,58,0,19,13,14,0,7,,19465,19,686,20170,25981,
15,MEXICO,107,TOLUCA,304,1012,92161,93718,15572,11430,14633,7538,8297,166461,9387,11694,2200,690,250,99,3999,1004,192,1221,2856,443402,1354,14332,459088,641016,
15,MEXICO,108,TONATICO,9,20,1700,1956,466,103,106,61,67,2473,42,328,26,8,1,4,17,6,1,6,,7371,5,284,7660,10474,
15,MEXICO,109,TULTEPEC,30,170,5681,12214,16350,1347,1528,1000,1694,31815,1171,1400,532,152,13,67,695,249,36,178,,76122,68,2038,78228,116211,
15,MEXICO,110,TULTITLAN,183,581,24170,34207,14365,5111,7467,7598,10348,109991,5548,6759,982,256,102,103,2529,467,99,512,,230614,193,7397,238204,361888,
15,MEXICO,111,VALLE DE BRAVO,28,85,2977,8900,1103,641,1487,486,1997,11534,353,5698,0,0,0,0,291,32,10,40,,35549,9,1381,36939,50958,
15,MEXICO,112,VILLA DE ALLENDE,22,59,1150,4194,8034,501,1647,279,366,6507,267,163,0,0,0,0,118,45,12,46,,23329,8,1460,24797,33252,
15,MEXICO,113,VILLA DEL CARBON,19,61,4691,5775,253,444,4422,440,1948,4164,225,410,170,30,31,2,77,32,8,24,,23146,1,963,24110,32179,
15,MEXICO,114,VILLA GUERRERO,25,70,2407,5798,4012,695,2763,400,1840,6555,432,2027,189,101,18,18,90,56,7,51,,27459,14,1307,28780,42422,
15,MEXICO,115,VILLA VICTORIA,44,120,6586,24030,893,1002,1215,368,500,9047,448,1021,0,0,0,0,193,61,22,69,,45455,11,1952,47418,65343,
15,MEXICO,116,XONACATLAN,14,63,1871,4680,1656,2475,2063,2347,538,11682,613,903,143,9,8,12,418,43,8,50,,29519,5,1289,30813,41550,
15,MEXICO,117,ZACAZONAPAN,2,6,129,709,987,22,24,17,25,969,5,8,0,0,0,0,4,2,1,3,,2905,0,116,3021,3545,
15,MEXICO,118,ZACUALPAN,15,25,421,1875,119,193,94,161,1661,2603,56,57,5,1,1,0,11,12,2,7,,7279,0,431,7710,10586,
15,MEXICO,119,ZINACANTEPEC,46,197,14412,22644,1626,3835,3308,1175,2202,28989,1415,1269,448,100,67,20,850,318,47,280,3051,86056,62,3233,89351,129935,
15,MEXICO,120,ZUMPAHUACAN,11,23,1988,2483,264,832,104,111,154,2413,79,64,52,35,10,1,51,42,3,7,,8693,0,405,9098,11999,
15,MEXICO,121,ZUMPANGO,44,213,10272,17907,1571,1691,1786,1134,6252,38993,1597,1575,213,57,28,8,916,231,35,180,,84446,65,2464,86975,142742,
15,MEXICO,122,VALLE DE CHALCO SOLIDARIDAD,114,404,6952,22037,27080,3962,6808,2773,2189,77481,3239,2620,628,303,57,132,2267,555,83,503,,159669,150,5880,165699,262331,
15,MEXICO,123,LUVIANOS,27,47,548,7440,3096,162,172,100,104,2549,62,49,41,42,2,10,16,12,1,46,,14452,2,957,15411,21979,
15,MEXICO,124,SAN JOSE DEL RINCON,43,112,8086,11139,687,631,3608,611,5676,5180,348,896,154,58,26,7,119,29,8,33,,37296,1,2510,39807,64471,
15,MEXICO,125,TONANITLA,3,12,698,1335,144,171,307,146,180,2485,159,113,24,4,5,0,45,7,0,7,,5830,1,207,6038,8032,
