CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,139,B,1,0,B,116,115,49,4,11,5,6,101,4,3,0,0,3,4,0,,,,,421,0,0,421,666,ACTA LEVANTADA EN CONSEJO,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CONSEJOS/CAMPECHE.PDF
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,139,C,1,0,C01,99,111,49,2,6,2,6,111,2,8,1,6,3,2,0,,,,,408,0,333,741,680,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/139 C1.JPG
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,139,C,2,0,C02,114,109,75,6,16,2,4,101,7,9,1,8,0,1,0,,,,,453,0,28,481,672,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/139 C2.JPG
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,139,C,3,0,C03,116,106,54,2,20,2,5,92,2,3,1,5,0,3,0,,,,,411,0,29,440,666,ACTA LEVANTADA EN CONSEJO,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CONSEJOS/CAMPECHE.PDF
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,142,B,1,0,B,320,84,43,0,10,0,6,32,1,0,0,0,0,0,0,,,,,496,0,13,509,656,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/142 B.JPG
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,142,C,1,0,C01,200,97,32,5,14,5,9,47,1,0,3,6,2,0,0,,,,,421,0,33,454,656,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/142 C1.JPG
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,142,C,2,0,C02,251,86,81,2,14,3,2,35,5,0,1,1,2,2,0,,,,,485,0,26,511,656,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/142 C2.JPG
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,142,C,3,0,C03,252,85,28,0,12,2,0,48,4,1,0,0,0,0,0,,,,,432,0,41,473,656,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/142 C3.JPG
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,144,B,1,0,B,49,85,9,1,12,0,0,24,2,5,3,1,0,0,0,,,,,191,0,7,198,234,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/144 B.JPG
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,145,B,1,0,B,45,130,11,3,13,1,3,59,15,0,0,139,0,1,0,,,,,420,0,0,420,418,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/145 B.PDF
