uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
NA,1919,NA,C. ARTURO CONTRERAS MALDONADO
NA,1921,NA,C. MANUEL HERNÁNDEZ BORUNDA
NA,1923,NA,C. MARTÍN APODACA
NA,1924,NA,C. MANUEL FERNÁNDEZ BORUNDA
NA,1926,NA,C. TORIBIO RENTERÍA LUCERO
NA,1927,NA,C. TORIBIO LECHUGA TÉLLEZ
NA,1928,NA,C. MATÍAS CANO LAZO
NA,1932,NA,C. JOSÉ DE LA LUZ CARRASCO
NA,1934,NA,C. MANUEL FERNÁNDEZ BORUNDA
NA,1936,NA,C. TOMÁS FERNÁNDEZ CHÁVEZ
NA,1938,NA,C. BERNANDINO L. CARRILLO
NA,1940,NA,C. BENITO MIRANDA ORTIZ
NA,1941,NA,C. JOSÉ MARÍA AGUAYO
NA,1942,NA,C. JESÚS LOERA GONZÁLEZ
NA,1943,NA,C. BENJAMÍN CHACÓN
NA,1944,NA,C. ANDRÉS LUGO APODACA
NA,1945,NA,C. FILEMÓN E. SANDOVAL H.
NA,1946,NA,C. RAMÓN SOSA RUIZ
NA,1947,NA,C. MANUEL GUTIÉRREZ SÁNCHEZ
NA,1948,NA,C. JUAN ESCOBAR
NA,1949,NA,C. NICANOR MENDOZA
NA,1950,NA,C. REFUGIO LOZANO QUIROZ
NA,1951,NA,C. RODOLFO BASANETI V.
NA,1952,NA,C. JESÚS QUEVEDO E.
NA,1953,NA,C. MIGUEL BEJARANO CALVILLO
NA,1954,NA,C. AGUSTÍN QUIÑONES
NA,1955,NA,C. CARLOS PORTILLO MORENO
NA,1956,NA,C. AURELIANO ARMENDÁRIZ AGUIRRE
NA,1957,NA,C. PROTO VEGA
NA,1958,NA,C. EDMUNDO PORRAS F.
NA,1959,NA,C. LUIS MORALES RUBIO
NA,1960,NA,C. BERNARDINO VEGA B.
NA,1962,NA,C. ERNESTO PORRAS MENDOZA
NA,1963,NA,C. SALVADOR GONZALEZ
NA,1964,NA,C. JOSÉ O. CALDERÓNT
NA,1965,NA,C. MIGUEL GONZÁLEZ GALLEGOS
NA,1966,NA,C. ALFONSO MORALES
NA,1967,NA,C. TOMAS VALDEZ GASTELUM
NA,1968,NA,C. JESÚS ACOSTA MEDINA
NA,1969,NA,C. ROMUALDO PÉREZ
NA,1970,NA,C. CÁSTULO ARANA G.
NA,1971,NA,C. ROQUE RUBIO MÁRQUEZ
NA,1972,NA,C. TEOFILO RODRIGUEZ
NA,1973,NA,C. RAMIRO P. RASCÓN
NA,1974,NA,C. FRANCISCO JAQUES MÁRQUEZ
NA,1975,NA,C. LORENZO PERCHES
NA,1976,NA,C. EUSEBIO ENRÍQUEZ E.
NA,1977,NA,C. SAÚL GARIBAY PALENCIA
NA,1978,NA,C. RUBÉN ORTEGA
NA,1980,NA,C. PEDRO PORRAS RUBIO
NA,1981,NA,C. ERNESTO ACOSTA LÓPEZ
NA,1982,NA,C. ENRIQUE HERNÁNDEZ
NA,1983,NA,C. JOSÉ GRAJEDA
NA,1984,NA,C. ARCELIA SÁENZ MIRANDA
NA,1985,NA,C. ARMANDO GONZÁLEZ B.
NA,1986,NA,C. RODOLFO PACHECO MORALES
NA,1987,NA,C. GUADALUPE MUÑIZ DE C.
NA,1988,NA,C. ROGELIO MINJAREZ SEAÑEZ
NA,1989,NA,C. ROBERTO SOSA GALINDO
NA,1990,NA,C. GLORIA CERVANTES
NA,1991,NA,C. JESUS GOMEZ TORRES
NA,1992,PRI,C. FIDEL CHAVEZ MOLINA
NA,1993,NA,C. JUAN CALDERON ALMEIDA
NA,1995,PAN,C. MIGUEL GARCIA GARCIA
NA,1998,PRI,C. JOSE EDGAR BURCIAGA TORRES
NA,2001,PRI,C. ALBERTO ALMEIDA FERNANDEZ
NA,2004,COALICIÓN,C. NOE CIRINO LADRON DE GUEVARA MARQUEZ
NA,2007,AXCH,C. FIDEL CHAVEZ MOLINA
NA,2010,CCCH,C. FERNANDO VAZQUEZ RAMIREZ
NA,2013,PRI,C. ROGELIO ACOSTA MARTINEZ
NA,2016,PMC,C. LUIS MARCELO LOPEZ RUIZ
NA,2017,PRI,C. FRANCISCO MANUEL CAMPOS ZAMARRON (INTERINO)
NA,2018,PRD,C. JUAN DE DIOS VALLE CAMACHO
NA,2020,PRD,- - - -
NA,2021,PVEM,C. FABIAN FOURZAN TRUJILLO
