uniqueid,year,incumbent_party_Horacio
8001,1998,PRI
8001,2001,PRI
8001,2004,PAN_PRD_MC
8001,2007,PRI_PANAL
8001,2010,PRI_PVEM_PANAL
8001,2013,PRI_PVEM_PANAL
8001,2016,MC
8001,2018,NA
8002,1998,PRI
8002,2001,PRI
8002,2004,PRI_PT_PVEM
8002,2007,PRI_PANAL
8002,2010,PRI_PANAL
8002,2013,PRI_PVEM_PANAL
8002,2016,PAN
8002,2018,NA
8003,1998,PRI
8003,2001,PRI
8003,2004,PAN_PRD_MC
8003,2007,PRI_PANAL
8003,2010,PRI_PVEM_PANAL
8003,2013,PRI_PVEM_PANAL
8003,2016,PRI_PVEM_PANAL
8003,2018,NA
8004,1998,PRI
8004,2001,PAN_PRD
8004,2004,PRI_PT_PVEM
8004,2007,PRI_PANAL
8004,2010,PRI_PANAL
8004,2013,PRI_PT_PANAL
8004,2016,PVEM
8004,2018,NA
8005,1998,PRI
8005,2001,PRI
8005,2004,PRI_PT_PVEM
8005,2007,PAN
8005,2010,PAN
8005,2013,PAN
8005,2016,PRI_PVEM_PANAL_PT
8005,2018,NA
8006,1998,PRI
8006,2001,PRI
8006,2004,PRI_PT_PVEM
8006,2007,PRI_PANAL
8006,2010,PRI_PVEM_PANAL
8006,2013,PAN
8006,2016,PRI_PVEM_PANAL_PT
8006,2018,NA
8007,1998,PRI
8007,2001,PRI
8007,2004,PRI_PT_PVEM
8007,2007,PRI_PANAL
8007,2010,PAN
8007,2013,PRI_PT_PVEM_PANAL
8007,2016,PRI_PVEM_PANAL_PT
8007,2018,NA
8008,1998,PRI
8008,2001,PRI
8008,2004,PRI_PT_PVEM
8008,2007,PRI_PANAL
8008,2010,PRI_PVEM_PANAL
8008,2013,PRI_PVEM_PANAL
8008,2016,PRI_PANAL
8008,2018,NA
8009,1998,PRI
8009,2001,PRI
8009,2004,PRI_PT_PVEM
8009,2007,PRI_PANAL
8009,2010,PAN
8009,2013,PRI_PRD_PVEM_PANAL
8009,2016,MC
8009,2018,NA
8010,1998,PRI
8010,2001,PAN
8010,2004,PAN_PRD_MC
8010,2007,PRI_PANAL
8010,2010,PAN
8010,2013,PRI_PVEM_PANAL
8010,2016,PRI_PVEM_PANAL_PT
8010,2018,NA
8011,1998,PAN
8011,2001,PAN
8011,2004,PRI_PT_PVEM
8011,2007,PAN
8011,2010,PAN
8011,2013,PRI_PVEM_PANAL
8011,2016,PAN
8011,2018,NA
8012,1998,PRI
8012,2001,PRI
8012,2004,PRI_PT_PVEM
8012,2007,PRI_PANAL
8012,2010,PAN_PRD
8012,2013,PRI_PRD_PT_PANAL
8012,2016,PRI_PANAL
8012,2018,NA
8013,1998,PRD
8013,2001,PRI
8013,2004,PRI_PT_PVEM
8013,2007,PAN
8013,2010,PRD
8013,2013,PRI_PVEM_PANAL
8013,2016,PAN
8013,2018,NA
8014,1998,PAN
8014,2001,PRI
8014,2004,PRI_PT_PVEM
8014,2007,PRI_PANAL
8014,2010,PAN
8014,2013,PAN
8014,2016,PAN
8014,2018,NA
8015,1998,PAN
8015,2001,PAN
8015,2004,PAN_PRD_MC
8015,2007,PRI_PANAL
8015,2010,PAN
8015,2013,NA
8015,2016,PAN
8015,2018,NA
8016,1998,PRI
8016,2001,PAN
8016,2004,PRI_PT_PVEM
8016,2007,PRI_PANAL
8016,2010,PRI_PVEM_PANAL
8016,2013,PAN
8016,2016,PRI_PVEM_PANAL_PT
8016,2018,NA
8017,1998,PAN
8017,2001,PRI
8017,2004,PAN_PRD_MC
8017,2007,PRI_PANAL
8017,2010,PRI_PANAL
8017,2013,PAN
8017,2016,PAN
8017,2018,NA
8018,1998,PRI
8018,2001,PAN
8018,2004,PRI_PT_PVEM
8018,2007,PRI_PANAL
8018,2010,PRI_PVEM_PANAL
8018,2013,PAN
8018,2016,PRI_PANAL
8018,2018,NA
8019,1998,PRI
8019,2001,PRI
8019,2004,PAN_PRD_MC
8019,2007,PAN
8019,2010,PRI_PVEM_PANAL
8019,2013,PRI_PRD_PVEM_PANAL
8019,2016,PAN
8019,2018,NA
8020,1998,PRI
8020,2001,PAN
8020,2004,PRI_PT_PVEM
8020,2007,PRI_PANAL
8020,2010,PRI_PVEM_PANAL
8020,2013,PAN
8020,2016,PRI_PVEM_PANAL_PT
8020,2018,NA
8021,1998,PRI
8021,2001,PRI
8021,2004,PRI_PT_PVEM
8021,2007,PRI_PANAL
8021,2010,PAN
8021,2013,PAN
8021,2016,PAN
8021,2018,NA
8022,1998,PRI
8022,2001,PRI
8022,2004,PRI_PT_PVEM
8022,2007,PRI_PANAL
8022,2010,PRI_PVEM_PANAL
8022,2013,PAN
8022,2016,PAN
8022,2018,NA
8023,1998,NA
8023,2001,PAN_PRD
8023,2004,PRI_PT_PVEM
8023,2007,PRD_MC
8023,2010,PRI_PVEM_PANAL
8023,2013,PRI_PVEM_PANAL
8023,2016,PRI_PVEM_PANAL_PT
8023,2018,NA
8024,1998,PRI
8024,2001,PAN
8024,2004,PAN_PRD_MC
8024,2007,PRI_PANAL
8024,2010,PAN
8024,2013,PRI_PVEM_PANAL
8024,2016,PAN
8024,2018,NA
8025,1998,PRI
8025,2001,PRI
8025,2004,PRI_PT_PVEM
8025,2007,PRI_PANAL
8025,2010,PRI_PVEM_PANAL
8025,2013,PRI_PT_PVEM_PANAL
8025,2016,PRI_PVEM_PANAL
8025,2018,NA
8026,1998,PRI
8026,2001,PRI
8026,2004,PRI_PT_PVEM
8026,2007,PRI_PANAL
8026,2010,PRI_PVEM_PANAL
8026,2013,PRI_PT_PVEM_PANAL
8026,2016,PAN
8026,2018,NA
8027,1998,PRI
8027,2001,PRI
8027,2004,PRI_PT_PVEM
8027,2007,PRI_PANAL
8027,2010,PAN
8027,2013,PRI_PT_PVEM_PANAL
8027,2016,PRI_PANAL
8027,2018,NA
8028,1998,PRI
8028,2001,PRI
8028,2004,PRD
8028,2007,PRI_PANAL
8028,2010,PRI_PVEM_PANAL
8028,2013,PRI_PT_PVEM_PANAL
8028,2016,PRI_PVEM_PANAL_PT
8028,2018,NA
8029,1998,PRI
8029,2001,PRI
8029,2004,PRI_PT_PVEM
8029,2007,PRI_PANAL
8029,2010,PRI_PVEM_PANAL
8029,2013,PRI_PT_PVEM_PANAL
8029,2016,PRI_PVEM_PANAL_PT
8029,2018,NA
8030,1998,PRI
8030,2001,PRI
8030,2004,PAN_PRD_MC
8030,2007,PRI_PANAL
8030,2010,PRI_PVEM_PANAL
8030,2013,PAN
8030,2016,PRI_PVEM_PANAL_PT
8030,2018,NA
8031,1998,PRI
8031,2001,PRI
8031,2004,PRI_PT_PVEM
8031,2007,PAN
8031,2010,PRI_PANAL
8031,2013,PRI_PVEM_PANAL
8031,2016,PRI_PVEM_PANAL_PT
8031,2018,NA
8032,1998,PAN
8032,2001,PAN
8032,2004,PRI_PT_PVEM
8032,2007,PAN
8032,2010,PRI_PANAL
8032,2013,PRI_PRD_PANAL_PT_PVEM
8032,2016,Independent
8032,2018,NA
8033,1998,PRI
8033,2001,PRI
8033,2004,PRI_PT_PVEM
8033,2007,PRI_PANAL
8033,2010,PRI_PVEM_PANAL
8033,2013,PAN
8033,2016,PAN
8033,2018,NA
8034,1998,PRI
8034,2001,NA
8034,2004,PRI_PT_PVEM
8034,2007,PRI_PANAL
8034,2010,PRD
8034,2013,NA
8034,2016,MC
8034,2018,NA
8035,1998,PRI
8035,2001,PRI
8035,2004,PAN_PRD_MC
8035,2007,PRI_PANAL
8035,2010,PRI_PVEM_PANAL
8035,2013,PRI_PVEM_PANAL
8035,2016,MC
8035,2018,NA
8036,1998,PAN
8036,2001,PAN
8036,2004,PAN_PRD_MC
8036,2007,PAN
8036,2010,PAN
8036,2013,PRI_PVEM_PANAL
8036,2016,PRI_PVEM_PANAL_PT
8036,2018,NA
8037,1998,PAN
8037,2002,PAN
8037,2004,PRI_PT_PVEM
8037,2007,PRI_PANAL
8037,2010,PRI_PVEM_PANAL
8037,2013,PRI_PVEM_PANAL
8037,2016,Independent
8037,2018,NA
8038,1998,PAN
8038,2001,PRI
8038,2004,PAN_PRD_MC
8038,2007,PRI_PANAL
8038,2010,PAN
8038,2013,PRI_PT_PVEM_PANAL
8038,2016,PAN
8038,2018,NA
8039,1998,PAN
8039,2001,PRI
8039,2004,PRI_PVEM
8039,2007,PRI_PANAL
8039,2010,PRI_PVEM_PANAL
8039,2013,PAN_PT
8039,2016,PRI_PVEM_PANAL_PT
8039,2018,NA
8040,1998,PAN
8040,2001,PRI
8040,2004,PAN_PRD_MC
8040,2007,PAN
8040,2010,PRI_PVEM_PANAL
8040,2013,PRI_PVEM_PANAL
8040,2016,PAN
8040,2018,NA
8041,1998,PRI
8041,2001,PRI
8041,2004,PRI_PT_PVEM
8041,2007,PRI_PANAL
8041,2010,PRI_PVEM_PANAL
8041,2013,PRI_PT_PVEM_PANAL
8041,2016,PRI_PVEM_PANAL_PT
8041,2018,NA
8042,1998,PRI
8042,2001,PRI
8042,2004,PVEM
8042,2007,PVEM
8042,2010,PAN
8042,2013,PT
8042,2016,PRI_PANAL
8042,2018,NA
8043,1998,PAN
8043,2001,PRI
8043,2004,PAN_PRD_MC
8043,2007,PRI_PANAL
8043,2010,PRI_PVEM_PANAL
8043,2013,PRI_PVEM_PANAL
8043,2016,PAN
8043,2018,NA
8044,1998,PAN
8044,2001,PRI
8044,2004,PRI_PT_PVEM
8044,2007,PRI_PANAL
8044,2010,PRI_PVEM_PANAL
8044,2013,PRI_PVEM_PANAL
8044,2016,PAN
8044,2018,NA
8045,1998,PAN
8045,2001,PRI
8045,2004,PAN_PRD_MC
8045,2007,PAN
8045,2010,PRI_PVEM_PANAL
8045,2013,PRI_PVEM_PANAL
8045,2016,PAN
8045,2018,NA
8046,1998,PAN
8046,2001,PRI
8046,2004,PRI_PT_PVEM
8046,2007,PAN
8046,2010,PRI_PVEM_PANAL
8046,2013,PAN
8046,2016,PRI_PVEM_PANAL_PT
8046,2018,NA
8047,1998,PRI
8047,2001,PRI
8047,2004,PRI_PT_PVEM
8047,2007,PAN
8047,2010,PRI_PVEM_PANAL
8047,2013,PRI_PT_PVEM_PANAL
8047,2016,PRI_PVEM_PANAL
8047,2018,NA
8048,1998,PRD
8048,2001,PRD
8048,2004,PRI_PT_PVEM
8048,2007,PRI_PANAL
8048,2010,PRI_PVEM_PANAL
8048,2013,PRI_PT_PANAL
8048,2016,PRI_PANAL
8048,2018,NA
8049,1998,PRI
8049,2001,PAN_PRD
8049,2004,PRI_PT_PVEM
8049,2007,PRI_PANAL
8049,2010,PRI_PVEM_PANAL
8049,2013,PRI_PT_PVEM_PANAL
8049,2016,NA
8049,2018,NA
8050,1998,PRI
8050,2001,PRI
8050,2004,PAN_PRD_MC
8050,2007,PAN
8050,2010,PAN
8050,2013,PRI_PRD_PANAL_PT_PVEM
8050,2016,PAN
8050,2018,NA
8051,1998,PRI
