id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,Nulos,No Registrados,PAN,PRI,PRD,PT,PVEM,PC,PANAL,PSD,PAN-PSD,PRI-PC,PRD-PT,PRD-PC,PRD-PT-PC,Total
17,5/7/2009,12,Ayuntamientos,17,0,1,G,Geografica,0,1,AMACUZAC,374,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,7,0,9,36,73,40,59,4,20,,,,,,,248
17,5/7/2009,12,Ayuntamientos,17,0,2,C,Contigua,0,1,AMACUZAC,601,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,9,0,3,80,24,97,45,10,90,,,,,,,358
17,5/7/2009,12,Ayuntamientos,17,0,2,C,Contigua,0,4,AYALA,527,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,48,10,0,31,62,28,12,6,44,7,,,,,,,200
17,5/7/2009,12,Ayuntamientos,17,0,1,C,Contigua,0,4,AYALA,743,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,61,8,0,75,98,81,10,32,9,19,,,,,,,332
17,5/7/2009,12,Ayuntamientos,17,0,1,B,Basica,0,4,AYALA,583,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,64,16,0,92,32,36,16,30,27,4,,,,,,,253
17,5/7/2009,12,Ayuntamientos,17,0,1,B,Basica,0,4,AYALA,330,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,53,13,0,24,45,24,3,23,53,1,,,,,,,186
17,5/7/2009,12,Ayuntamientos,17,0,1,B,Basica,0,4,AYALA,700,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,56,15,0,67,46,47,6,14,10,94,,,,,,,299
17,5/7/2009,12,Ayuntamientos,17,0,1,C,Contigua,0,4,AYALA,713,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,57,17,0,89,92,34,7,6,19,51,,,,,,,315
17,5/7/2009,12,Ayuntamientos,17,0,1,C,Contigua,0,4,AYALA,719,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,58,7,0,97,86,45,5,7,18,63,,,,,,,328
17,5/7/2009,12,Ayuntamientos,17,0,1,B,Basica,0,2,ATLATLAHUCAN,574,RL,Recuento solicitado por el Tribual Local,P,T,Urna tradicional,13,8,0,12,32,69,22,80,122,31,13,,,,,,389
17,5/7/2009,12,Ayuntamientos,17,0,1,C,Contigua,0,2,ATLATLAHUCAN,575,RL,Recuento solicitado por el Tribual Local,P,T,Urna tradicional,13,4,0,18,39,89,15,87,85,33,13,,,,,,383
17,5/7/2009,12,Ayuntamientos,17,0,1,C,Contigua,0,2,ATLATLAHUCAN,391,RL,Recuento solicitado por el Tribual Local,P,T,Urna tradicional,18,6,0,13,65,39,11,96,30,9,5,,,,,,274
17,5/7/2009,12,Ayuntamientos,17,0,1,C,Contigua,0,2,ATLATLAHUCAN,735,RL,Recuento solicitado por el Tribual Local,P,T,Urna tradicional,19,9,0,21,110,56,11,111,86,23,11,,,,,,438
17,5/7/2009,12,Ayuntamientos,17,0,1,B,Basica,0,2,ATLATLAHUCAN,534,RL,Recuento solicitado por el Tribual Local,P,T,Urna tradicional,22,30,0,93,41,8,10,40,12,4,1,,,,,,239
17,5/7/2009,12,Ayuntamientos,17,0,1,B,Basica,0,3,AXOCHIAPAN,504,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,24,13,0,51,88,27,45,6,3,1,16,,,,0,,250
