CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,C_COMUN_PRI_PVEM_NVA_ALIANZA,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0001,1,180,185,3,1,1,2,5,8,1,,,0,386,3,389,482
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0002,2,333,333,9,0,1,1,2,22,1,,,0,702,13,717,985
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0003,1,179,216,7,0,1,0,0,12,1,,,0,416,6,422,598
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0004,2,290,320,10,4,2,0,10,6,4,,,0,646,3,649,853
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0005,1,284,221,9,1,2,3,5,8,2,,,0,535,7,542,718
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0006,1,266,215,3,0,0,3,3,7,0,,,0,497,1,498,678
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0008,2,259,237,11,0,0,1,2,14,0,,,0,524,15,539,757
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0009,1,236,246,8,0,2,1,3,15,1,,,0,512,13,525,747
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0010,3,294,342,93,6,6,5,10,86,0,,,0,842,31,873,1177
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0011,1,285,173,5,1,0,2,3,5,16,,,0,490,4,494,632
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0012,2,208,259,7,1,0,1,2,8,2,,,0,488,5,493,624
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0013,3,395,,8,,11,614,,16,17,465,,1,1526,46,1573,2154
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0014,3,344,,13,,8,317,,8,10,422,,0,1122,28,1323,1808
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0015,2,222,,9,,3,333,,8,9,266,,0,850,33,883,1248
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0016,2,198,,3,,4,280,,7,2,208,,1,702,22,725,1041
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0017,2,167,,5,,4,218,,6,2,249,,0,651,14,670,940
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0018,3,317,,4,,9,415,,18,9,321,,0,1093,30,1123,1524
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0019,4,506,,9,,8,787,,21,18,714,,1,2063,54,2118,2866
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0020,2,52,,3,,2,165,,0,2,121,,1,345,17,363,586
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0021,1,78,,2,,1,68,,5,5,125,,0,284,12,296,551
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0022,1,142,,1,,2,257,,5,3,127,,0,537,12,549,697
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0023,2,223,,9,,8,305,,15,7,311,,0,878,29,907,1239
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0024,2,151,,5,,4,304,,18,1,158,,0,641,22,663,884
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0025,2,143,,6,,4,327,,4,2,187,,0,673,28,701,902
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0026,1,178,,4,,4,107,,32,2,93,,0,420,7,426,582
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0027,3,388,,3,,3,294,,2,14,219,,1,923,24,948,1302
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0028,1,134,,1,,1,155,,2,1,153,,0,447,10,457,601
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0029,1,8,,1,,0,103,,2,1,63,,0,178,6,184,237
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0030,3,226,,7,,6,357,,12,2,284,,0,894,27,921,1312
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0031,1,127,,6,,1,168,,5,0,172,,0,479,0,504,611
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0032,2,183,,2,,4,240,,5,8,132,,0,574,18,592,788
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0033,3,169,,20,,20,374,,88,5,327,,0,1003,36,1039,1242
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0034,6,1236,,38,,40,82,,69,45,691,,1,2201,38,2240,3777
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0035,2,405,,13,,28,47,,16,17,286,,1,812,22,835,1424
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0036,3,609,,17,,21,55,,31,16,435,,0,1184,23,1207,2076
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0037,2,285,,11,,4,33,,9,5,172,,0,519,12,531,860
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0038,6,1159,,28,,124,118,,50,43,621,,3,2143,46,2191,4067
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0039,3,587,,10,,43,36,,41,17,269,,0,1003,24,1027,1599
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0040,5,1016,,23,,50,77,,80,28,603,,3,1877,33,1913,3109
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0041,3,508,,14,,23,62,,68,8,344,,0,1027,22,1049,1599
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0042,2,415,,3,,25,15,,29,13,227,,0,727,12,739,1145
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0043,3,653,,8,,13,23,,29,19,272,,1,1017,20,1050,1510
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0044,4,822,,19,,41,49,,44,26,521,,0,1522,28,1550,2812
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0045,6,1201,,42,,47,66,,51,38,789,,2,2234,52,2288,3830
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0046,3,575,,10,,15,32,,35,19,285,,3,971,13,972,1318
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0047,1,128,,0,,6,5,,4,2,37,,0,182,3,185,270
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0048,13,2601,,8,,111,237,,288,81,1314,,3,4640,72,4945,9073
