ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,C_COMUN_PRI_PVEM_NVA_ALIANZA,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,01,NUEVO LAREDO,81,190,26850,18475,970,612,240,1267,1149,1005,900,,,27,51468,1126,53204,113837,0.4674
28,TAMAULIPAS,02,NUEVO LAREDO,115,231,32519,22237,835,633,344,1110,1078,1290,997,,,60,61043,1336,62399,127135,0.4908
28,TAMAULIPAS,03,NUEVO LAREDO,71,192,29499,19947,554,600,331,1354,1111,1180,4810,,,41,59386,1513,60922,112098,0.5435
28,TAMAULIPAS,04,REYNOSA,86,189,21113,15946,992,1985,540,2534,1831,3955,1945,,,51,50841,1522,52302,112902,0.4633
28,TAMAULIPAS,05,REYNOSA,110,200,23250,15028,1424,1349,558,3102,1814,4932,2002,,,79,53459,1444,55065,112049,0.4914
28,TAMAULIPAS,06 ,REYNOSA,100,225,24566,20759,992,1224,1187,2528,1535,3775,1423,,,64,57989,1968,60057,127377,0.4715
28,TAMAULIPAS,07,REYNOSA,87,198,26865,14027,958,973,572,2449,1304,3298,1364,,,62,51810,1060,53031,111076,0.4774
28,TAMAULIPAS,08,RIO BRAVO,89,213,20570,20943,1478,2099,721,2078,1860,3473,3972,,,340,57194,1931,60491,123756,0.4888
28,TAMAULIPAS,09,VALLE HERMOSO,82,184,21256,,646,,722,2009,,1762,2197,24267,,381,52859,1854,54981,102544,0.5362
28,TAMAULIPAS,10,MATAMOROS,47,169,17289,21427,797,790,473,3801,1152,2742,1280,,,84,49751,1577,51463,106048,0.4853
28,TAMAULIPAS,11,MATAMOROS,35,159,18100,22361,798,827,512,2704,1096,2254,1140,,,90,49792,2008,51379,105343,0.4877
28,TAMAULIPAS,12,MATAMOROS,106,213,21247,25232,933,753,483,3165,1355,2642,1559,,,95,57369,1825,59360,117801,0.5039
28,TAMAULIPAS,13,SAN FERNANDO,160,264,43347,32352,1924,249,237,524,1686,1409,890,,,8,82618,1619,84275,118365,0.7120
28,TAMAULIPAS,14,VICTORIA,82,204,24331,27559,688,808,740,11807,2269,2294,3279,,6221,50,79996,1867,81981,120294,0.6815
28,TAMAULIPAS,15,VICTORIA,67,192,26515,23122,1067,870,1029,12478,2052,2147,1548,,,90,70828,1944,73114,117334,0.6231
28,TAMAULIPAS,16,XICOTENCATL,150,269,44723,38800,1185,469,364,397,2858,1375,1565,,,34,91736,2745,94520,122842,0.7694
28,TAMAULIPAS,17,MANTE,123,231,37997,25627,887,2278,745,978,1557,2287,724,,,45,73080,1604,74219,118175,0.6280
28,TAMAULIPAS,18,ALTAMIRA,76,201,32807,,365,,1386,8581,,2067,994,22828,,36,69028,1559,71702,114391,0.6268
28,TAMAULIPAS,19,MIRAMAR,42,156,25394,18581,1658,855,672,3059,1059,2160,908,,,39,54346,1345,55708,103164,0.5400
28,TAMAULIPAS,20,CIUDAD MADERO,94,217,33746,21312,1910,1405,538,3063,1161,4791,1111,,,88,69037,1826,70942,125164,0.5668
28,TAMAULIPAS,21,TAMPICO,69,189,29409,,6241,,927,3301,,3293,1221,21247,,66,65639,1638,67587,116256,0.5814
28,TAMAULIPAS,22,TAMPICO,123,241,33124,,5078,,1091,2275,,3637,1025,25868,,81,72098,1679,73858,129277,0.5713
