municipality,section,PAN,PRI,PRD,PT,PC,PVEM,PANAL,PSD,CC_PRI_PANAL,PRI_PANAL,C_PRI_PANAL,PRD_PT_PC,C_PRD_PT_PC,PRD_PC,C_PRD_PC,PVEM_PANAL,C_PVEM_PANAL,PRI_PVEM,C_PRI_PVEM,Nulos
AMACUZAC,1,109,250,14,91,2,432,12,21,0,18,280,18,125,,,,,,,39
AMACUZAC,2,107,260,8,58,1,265,3,4,0,12,175,14,81,,,,,,,25
AMACUZAC,3,160,306,11,61,1,244,21,1,0,20,347,11,84,,,,,,,22
AMACUZAC,4,277,293,10,157,4,285,28,10,0,20,341,30,201,,,,,,,59
AMACUZAC,5,28,94,7,51,1,200,3,3,0,6,103,11,70,,,,,,,12
AMACUZAC,6,78,403,10,267,2,319,30,42,0,41,474,35,314,,,,,,,38
AMACUZAC,7,88,160,20,158,3,218,14,4,0,14,188,39,220,,,,,,,30
AMACUZAC,8,49,206,16,239,9,237,31,5,0,15,252,40,298,,,,,,,25
AMACUZAC,9,179,257,8,94,1,381,6,6,0,24,287,29,132,,,,,,,75
AMACUZAC,10,150,101,14,129,0,333,6,2,0,23,130,20,163,,,,,,,39
AMACUZAC,11,85,97,2,78,2,148,3,4,0,5,105,24,106,,,,,,,17
ATLATLAHUCAN,12,104,411,73,52,453,200,33,24,0,,,104,682,,,,,,,28
ATLATLAHUCAN,13,83,397,66,51,397,133,27,20,0,,,74,588,,,,,,,34
ATLATLAHUCAN,14,110,289,24,41,281,95,12,30,0,,,70,416,,,,,,,18
ATLATLAHUCAN,15,261,354,40,36,210,92,25,27,0,,,61,347,,,,,,,60
ATLATLAHUCAN,16,52,115,23,17,130,34,3,15,0,,,42,212,,,,,,,22
ATLATLAHUCAN,17,144,288,25,28,216,100,12,6,0,,,34,303,,,,,,,27
ATLATLAHUCAN,18,59,202,81,30,130,57,5,21,0,,,41,282,,,,,,,24
ATLATLAHUCAN,19,166,399,114,81,392,327,25,28,0,,,124,711,,,,,,,82
ATLATLAHUCAN,20,151,36,43,9,7,20,7,3,0,,,7,66,,,,,,,23
ATLATLAHUCAN,21,129,42,60,5,8,11,1,5,0,,,10,83,,,,,,,11
ATLATLAHUCAN,22,173,54,55,7,14,15,10,9,0,,,11,87,,,,,,,13
ATLATLAHUCAN,23,84,32,33,6,3,13,5,2,0,,,8,50,,,,,,,10
AXOCHIAPAN,24,65,0,135,64,14,154,0,363,123,,,36,249,,,,,,,50
AXOCHIAPAN,25,39,0,59,36,4,101,0,341,106,,,13,112,,,,,,,30
AXOCHIAPAN,26,69,0,112,83,13,334,0,449,265,,,27,235,,,,,,,83
AXOCHIAPAN,27,25,0,46,41,10,103,0,317,200,,,17,114,,,,,,,17
AXOCHIAPAN,28,47,0,52,37,8,102,0,340,119,,,11,108,,,,,,,28
AXOCHIAPAN,29,122,0,114,67,10,181,0,414,201,,,48,239,,,,,,,59
AXOCHIAPAN,30,60,0,67,38,11,242,0,325,143,,,12,128,,,,,,,54
AXOCHIAPAN,31,102,0,61,81,8,172,0,458,227,,,28,178,,,,,,,87
AXOCHIAPAN,32,31,0,45,23,5,194,0,226,76,,,9,82,,,,,,,42
AXOCHIAPAN,33,106,0,37,25,19,76,0,373,360,,,20,101,,,,,,,60
AXOCHIAPAN,34,8,0,3,8,2,16,0,83,22,,,1,14,,,,,,,9
AXOCHIAPAN,35,13,0,48,390,29,123,0,89,59,,,59,426,,,,,,,42
AXOCHIAPAN,36,25,0,47,150,9,54,0,139,76,,,33,239,,,,,,,48
AXOCHIAPAN,37,15,0,45,198,15,75,0,92,80,,,52,310,,,,,,,44
AXOCHIAPAN,38,80,0,63,53,16,254,0,254,192,,,24,156,,,,,,,63
AXOCHIAPAN,39,69,0,24,37,11,185,0,150,105,,,9,81,,,,,,,45
AXOCHIAPAN,40,58,0,56,38,32,101,0,255,85,,,13,139,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AXOCHIAPAN,41,91,0,49,55,19,71,0,229,68,,,15,138,,,,,,,21
AXOCHIAPAN,42,13,0,10,4,7,16,0,73,84,,,4,25,,,,,,,13
AXOCHIAPAN,43,21,0,22,15,8,64,0,153,110,,,15,60,,,,,,,26
AYALA,44,222,0,166,9,4,13,0,22,136,,,42,221,,,,,43,192,28
AYALA,45,493,0,189,24,27,30,0,20,359,,,76,316,,,,,93,482,34
AYALA,46,295,0,134,10,7,14,0,17,196,,,28,179,,,,,29,239,19
AYALA,47,144,0,103,10,3,10,0,15,77,,,48,164,,,,,18,105,18
AYALA,48,212,0,59,13,5,11,0,11,142,,,23,100,,,,,41,194,26
AYALA*,49,0,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0
AYALA,50,341,0,30,5,23,20,0,29,238,,,14,72,,,,,67,325,34
AYALA,51,271,0,37,1,16,14,0,23,175,,,9,63,,,,,133,322,16
AYALA,52,446,0,100,3,11,10,0,14,204,,,29,143,,,,,52,266,47
AYALA,53,84,0,18,2,2,7,0,14,65,,,11,33,,,,,13,85,17
AYALA,54,298,0,154,14,8,21,0,32,176,,,50,226,,,,,32,229,33
AYALA,55,392,0,213,17,14,36,0,35,282,,,78,322,,,,,70,388,57
AYALA,56,350,0,115,4,8,18,0,45,161,,,39,166,,,,,24,203,34
AYALA,57,354,0,75,6,7,18,0,33,177,,,21,109,,,,,47,242,32
AYALA,58,361,0,79,2,1,18,0,45,187,,,19,101,,,,,48,253,38
AYALA,59,613,0,135,12,9,27,0,72,299,,,35,191,,,,,60,386,49
AYALA,60,142,0,70,6,4,10,0,4,86,,,27,107,,,,,23,119,12
AYALA,61,78,0,63,7,4,14,0,14,83,,,22,96,,,,,23,120,9
AYALA,62,432,0,193,11,24,40,0,65,280,,,50,278,,,,,59,379,47
AYALA,63,131,0,48,12,10,12,0,12,80,,,21,91,,,,,13,105,9
AYALA,64,137,0,60,8,13,7,0,16,80,,,30,111,,,,,3,90,16
AYALA,65,496,0,17,9,9,10,0,21,87,,,9,44,,,,,15,112,46
AYALA,66,437,0,23,4,2,3,0,10,128,,,15,44,,,,,38,169,30
AYALA*,67,91,0,27,4,1,8,0,6,121,,,8,40,,,,,18,147,21
AYALA,68,515,0,56,3,2,25,0,15,308,,,12,73,,,,,83,416,69
AYALA,69,366,0,53,1,1,27,0,22,188,,,16,71,,,,,73,288,21
AYALA,70,679,0,60,6,2,13,0,4,151,,,15,83,,,,,39,203,49
AYALA,71,592,0,28,2,2,7,0,9,194,,,4,36,,,,,39,240,33
AYALA,72,858,0,23,6,3,24,0,5,207,,,16,48,,,,,47,278,42
AYALA,73,943,0,58,7,6,17,0,8,192,,,18,89,,,,,44,253,89
AYALA,74,879,0,50,2,10,11,0,23,167,,,6,68,,,,,31,209,49
AYALA,75,474,0,84,8,7,19,0,22,157,,,34,133,,,,,44,220,54
AYALA,76,331,0,82,6,15,15,0,16,193,,,22,125,,,,,34,242,31
AYALA,77,339,0,77,14,19,15,0,51,139,,,34,144,,,,,29,183,30
AYALA,78,34,0,44,4,7,1,0,14,36,,,12,67,,,,,5,42,10
AYALA*,79,119,0,22,1,11,4,0,15,42,,,9,43,,,,,16,62,12
AYALA,80,201,0,82,13,24,12,0,13,162,,,45,164,,,,,46,220,39
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AYALA,81,34,0,6,2,0,16,0,1,142,,,1,9,,,,,23,181,9
AYALA,82,50,0,9,1,0,6,0,5,83,,,1,11,,,,,21,110,8
AYALA,83,260,0,41,6,9,10,0,20,230,,,14,70,,,,,25,265,35
AYALA,84,255,0,73,11,11,17,0,76,288,,,21,116,,,,,63,368,44
AYALA,85,171,0,113,6,2,6,0,8,54,,,37,158,,,,,11,71,12
COATLAN DEL RIO,86,126,229,24,5,4,28,3,258,0,,,2,35,,,,,,,42
COATLAN DEL RIO,87,164,263,24,3,5,57,6,390,0,,,10,42,,,,,,,66
COATLAN DEL RIO,88,250,63,44,1,0,69,19,21,0,,,4,49,,,,,,,24
COATLAN DEL RIO,89,184,228,59,7,9,82,101,97,0,,,7,82,,,,,,,53
COATLAN DEL RIO,90,29,105,13,2,0,35,19,69,0,,,1,16,,,,,,,28
COATLAN DEL RIO,91,19,54,1,5,0,9,1,59,0,,,0,6,,,,,,,12
COATLAN DEL RIO,92,115,185,47,0,0,31,27,150,0,,,0,47,,,,,,,34
COATLAN DEL RIO,93,210,84,109,3,3,111,32,123,0,,,16,131,,,,,,,29
COATLAN DEL RIO,94,125,180,146,1,1,45,26,38,0,,,8,156,,,,,,,43
COATLAN DEL RIO,95,23,48,127,4,4,4,8,29,0,,,26,161,,,,,,,12
COATLAN DEL RIO,96,30,55,62,1,0,8,4,8,0,,,6,69,,,,,,,13
CUAUTLA,97,433,0,512,55,30,51,0,28,396,,,141,738,,,,,,,75
CUAUTLA,98,151,0,221,24,15,13,0,8,116,,,51,311,,,,,,,21
CUAUTLA,99,271,0,377,29,26,31,0,15,302,,,87,519,,,,,,,49
CUAUTLA,100,247,0,375,23,35,44,0,14,380,,,119,562,,,,,,,71
CUAUTLA,101,184,0,217,21,13,17,0,4,177,,,53,304,,,,,,,31
CUAUTLA,102,509,0,380,32,34,58,0,26,345,,,117,563,,,,,,,66
CUAUTLA,103,253,0,287,14,20,21,0,15,78,,,34,184,,,,,,,25
CUAUTLA,104,134,0,112,15,13,31,0,8,202,,,31,171,,,,,,,23
CUAUTLA,105,113,0,79,14,6,14,0,5,134,,,35,134,,,,,,,19
CUAUTLA,106,207,0,118,22,12,28,0,10,146,,,46,208,,,,,,,38
CUAUTLA,107,173,0,168,26,18,21,0,10,157,,,22,234,,,,,,,29
CUAUTLA,108,271,0,209,30,34,25,0,20,260,,,78,351,,,,,,,51
