ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
10,DURANGO,1,CANATLAN,39,54,6227,5634,,586,,182,,,1234,307,,,,,,,,28,14170,679,14877,23831,0.6243
10,DURANGO,2,CANELAS,14,14,839,,906,35,8,2,16,12,9,8,,,,,,,,0,1835,71,1906,3141,0.6068
10,DURANGO,3,CONETO DE COMONFORT,9,11,358,1839,,77,,10,,,18,12,,,,,,,,1,2314,81,2396,3469,0.6907
10,DURANGO,4,CUENCAME ,40,55,4367,4729,,2720,,66,,,2264,177,,,,,,,,2,14323,520,14845,24670,0.6017
10,DURANGO,5,DURANGO,333,772,126479,,81328,15568,4200,283,1278,5104,7442,3290,1753,1144,1134,1572,1759,924,,190,253258,6053,259501,455230,0.57
10,DURANGO,6,GOMEZ PALACIO,206,428,32556,,58392,1823,2917,654,420,2389,4819,1568,,,,,,,710,165,106248,3421,109834,243294,0.4514
10,DURANGO,7,GRAL. SIMON BOLIVAR,16,23,2688,2405,,102,,3,,,11,44,,,,,,,,0,5253,202,5455,7778,0.7013
10,DURANGO,8,GUADALUPE VICTORIA,26,53,6988,6981,,983,,128,,,827,524,,,,,,,,12,16431,646,17089,28172,0.6066
10,DURANGO,9,GUANACEVI,23,28,2402,2734,,102,,8,,,10,19,,,,,,,,0,5275,296,5571,7419,0.7509
10,DURANGO,10,HIDALGO,8,11,1109,,1159,54,7,2,4,26,8,2,,,,,,,,1,2371,43,2415,3356,0.7196
10,DURANGO,11,INDE,17,17,1355,1462,,55,,4,,,16,6,,,,,,,,0,2898,134,3032,4441,0.6827
10,DURANGO,12,LERDO,80,187,16710,16252,7179,1202,532,697,93,309,5277,1759,,,,,,,,81,50010,2581,52672,103955,0.5067
10,DURANGO,13,MAPIMI,25,40,3552,,5380,105,99,44,66,134,671,108,,,,,,,,0,10159,348,10507,17416,0.6033
10,DURANGO,14,MEZQUITAL,32,58,2273,,8064,5991,80,16,42,449,52,104,,,,,,,,57,17071,1679,18807,25959,0.7245
10,DURANGO,15,NAZAS,17,21,1838,,2147,685,1297,31,207,58,166,18,,,,,,,,0,6447,160,6607,9214,0.7171
10,DURANGO,16,NOMBRE DE DIOS,21,28,1761,,1964,1886,203,360,1004,302,526,873,,,,,,,,0,8879,352,9231,14215,0.6494
10,DURANGO,17,NUEVO IDEAL,29,45,4516,3848,,269,,126,,,968,190,,,,,,,,38,9917,687,10642,20213,0.5265
10,DURANGO,18,OCAMPO,19,18,3090,1875,,194,,16,,,89,20,,,,,,,,0,5284,229,5513,9547,0.5775
10,DURANGO,19,EL ORO,30,31,1785,2090,,268,,45,,,89,55,,,,,,,,10,4332,309,4651,7006,0.6639
10,DURANGO,20,OTAEZ,14,17,482,,1286,27,49,747,8,55,49,12,,,,,,,,0,2715,108,2823,3753,0.7522
