"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN
PRI","PAN
PRD","PRI
PRD","PVEM-PT-RSPD-MOR","PVEM
PT
MOR","PVEM
PT
RSPD","PVEM
RSPD
MOR","PVEM
PT","PVEM
MOR","PVEM
RSPD","PT
RSPD
MOR","PT
MOR","PT
RSPD","RSPD
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND.
NO REG.","VOTOS
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND. 
INDEP.","PVEM
RSPD
MOR...21","PVEM
RSPD
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM
PT
RSP","PVEM
RSP
MOR","PVEM
RSPD
MOR...20","PVEM
RSPD
MOR...24"
"1",1,"B1",18,107,57,1,105,14,6,56,5,2,11,0,0,1,5,1,0,1,7,1,0,0,0,0,178,196,0,9,389,621,0.626409017713366,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",1,"1",18,107,57,1,105,14,6,56,5,2,11,0,0,1,5,1,0,1,7,1,0,0,0,0,178,196,0,9,389,621,0.626409017713366,NA,196,178," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"B1",29,92,39,1,68,5,19,31,0,0,5,0,0,1,2,0,0,0,1,0,0,0,0,0,137,108,0,4,268,398,0.673366834170854,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2,"C1",89,113,45,3,47,6,11,23,2,4,7,0,0,0,2,0,0,1,2,0,0,0,0,0,172,83,0,5,271,398,0.680904522613065,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",2,"2",118,205,84,4,115,11,30,54,2,4,12,0,0,1,4,0,0,1,3,0,0,0,0,0,309,191,0,9,539,796,0.67713567839196,NA,309,191," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,"B1",15,134,57,5,127,15,33,62,5,11,6,0,0,1,7,1,1,1,6,0,0,0,0,2,213,228,0,5,479,714,0.670868347338936,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3,"C1",29,148,39,9,149,20,36,50,4,3,4,1,0,1,1,0,1,1,5,0,0,1,0,0,204,233,1,13,487,714,0.682072829131653,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3,"C2",52,131,42,5,144,17,28,49,7,4,3,0,0,7,4,1,1,1,5,1,0,0,0,0,185,237,1,20,471,714,0.659663865546218,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",3,"3",96,413,138,19,420,52,97,161,16,18,13,1,0,9,12,2,3,3,16,1,0,1,0,2,602,698,2,38,1437,2142,0.670868347338936,NA,698,602," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4,"B1",13,124,44,11,116,8,22,47,2,6,6,2,0,0,1,0,1,1,2,0,0,1,0,1,193,180,0,12,407,677,0.601181683899557,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
